Name,Href,Cuisines
One Bit Burger,/oman/restaurant/663339/one-bit-burger-ghubrah-janubiyyah?aid=1378,"Burgers, American, Pasta"
Shawerma Al Balad,/oman/restaurant/722827/shawerma-al-balad-al-khuwayr-south?aid=1378,"Shawarma, Sandwiches, Arabic"
MLS - Muscat Livestock,/oman/grocery/657825/muscat-live-stock-al-khuwayr-south?aid=1378,Fresh Meat & Fish
Carrefour,/oman/grocery/33966/carrefour-qurm-muscat?aid=1378,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/700730/fashion-eyes-qurm?aid=1378,cosmetics
Al Meera,/oman/grocery/699217/al-meera-panorama-muscat?aid=1378,"Hypermarket, Grocery"
Scientific Pharmacy,/oman/pharmacy/664033/scientific-pharmacy-khuwair-33-muscat?aid=1378,Pharmacy
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1378,"Supermarket , Grocery"
"Irani House Restaurant, khuwair",/oman/restaurant/1217/irani-house-restaurant-khuwair?aid=1378,"Iranian, Seafood, Grills"
Johny Johny Yes Papa,/oman/restaurant/624349/johny-johny-yes-papa-al-khuwayr-south?aid=1378,"Desserts, Beverages, Ice cream"
Drizzle,/oman/restaurant/723225/drizzle-bawshar?aid=1378,"Cafe, Chocolate, Desserts"
Royal Afghan Restaurant,/oman/restaurant/727652/royal-afghan-restaurant-al-khuwayr-south?aid=1378,"Grills, Chicken, Mandi"
Kabsa Station,/oman/restaurant/660745/kabsa-station-al-khuwair?aid=1378,"Arabic, Grills, Chicken"
Caribou Coffee,/oman/restaurant/35779/caribou-coffeekhuwair-33?aid=1378,"Sandwiches, Beverages, Coffee"
The Nawabs,/oman/restaurant/712850/the-nawabs-bawshar?aid=1378,Indian
One Bit Burger,/oman/restaurant/663339/one-bit-burger-ghubrah-janubiyyah?aid=1378,"Burgers, American, Pasta"
Shawerma Al Balad,/oman/restaurant/722827/shawerma-al-balad-al-khuwayr-south?aid=1378,"Shawarma, Sandwiches, Arabic"
MLS - Muscat Livestock,/oman/grocery/657825/muscat-live-stock-al-khuwayr-south?aid=1378,Fresh Meat & Fish
Carrefour,/oman/grocery/33966/carrefour-qurm-muscat?aid=1378,"Hypermarket, Grocery"
Fashion Eyes,/oman/restaurant/700730/fashion-eyes-qurm?aid=1378,cosmetics
Al Meera,/oman/grocery/699217/al-meera-panorama-muscat?aid=1378,"Hypermarket, Grocery"
Scientific Pharmacy,/oman/pharmacy/664033/scientific-pharmacy-khuwair-33-muscat?aid=1378,Pharmacy
Fayha Fresh,/oman/grocery/641716/fayha-fresh-al-khuwayr-north-muscat?aid=1378,"Supermarket , Grocery"
"Irani House Restaurant, khuwair",/oman/restaurant/1217/irani-house-restaurant-khuwair?aid=1378,"Iranian, Seafood, Grills"
Johny Johny Yes Papa,/oman/restaurant/624349/johny-johny-yes-papa-al-khuwayr-south?aid=1378,"Desserts, Beverages, Ice cream"
Drizzle,/oman/restaurant/723225/drizzle-bawshar?aid=1378,"Cafe, Chocolate, Desserts"
Royal Afghan Restaurant,/oman/restaurant/727652/royal-afghan-restaurant-al-khuwayr-south?aid=1378,"Grills, Chicken, Mandi"
Kabsa Station,/oman/restaurant/660745/kabsa-station-al-khuwair?aid=1378,"Arabic, Grills, Chicken"
Caribou Coffee,/oman/restaurant/35779/caribou-coffeekhuwair-33?aid=1378,"Sandwiches, Beverages, Coffee"
The Nawabs,/oman/restaurant/712850/the-nawabs-bawshar?aid=1378,Indian
