Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cakes,Pineapple Cake,1,0,"Whipped cream smothered between soft layers of sponge cake, soaked in pineapple syrup.",330.0
Cakes,Cassata Cake,1,0,Cassata cake consists of sponge cake moistened with fruit juices layered with America ... read more,330.0
Cakes,Black Forest Cake,1,0,Deliciously moist black forest cake is a cut above the rest with homemade whipped ... read more,340.0
Cakes,Butterscotch Cake,1,0,Freshly baked cake made with the goodness of butterscotch flavour and cream.,340.0
Cakes,Strawberry Cake,1,0,"Deliciously moist and flavorful, this strawberry pound cake is a one bowl treat ... read more",330.0
Cakes,Chocolate Chips Cake,1,0,"A delicate chocolate cake studded with chocolate, covered in a creamy frosting and topped with ... read more",360.0
Cakes,Chocolate Pineapple Cake,1,0,"Whipped cream smothered between soft layers of sponge cake, soaked in pineapple syrup.",380.0
Cakes,Chocolate Vanilla Cake,1,0,"It ls made with melted, unsweetened baking chocolate along with evaporated milk and ... read more",370.0
Cakes,Swiss Chocolate Cake,1,0,"It ls made with melted, unsweetened baking chocolate along with evaporated milk and ... read more",380.0
Cakes,Chocolate Mud Cake,1,0,Delicioulsy moist and rich chocolate cake with a desirable mud-like consistency. Contains candle ... read more,400.0
Cakes,Chocolate Oreo Cake,1,0,Oreo cake is the perfect combo of moist chocolate cake from scratch layered ... read more,370.0
Cakes,Chocolate Truffle Cake,1,0,"A chocolate layer cake recipe with dense, moist chocolate cake. Silky chocolate truffle ... read more",450.0
Cakes,Chocolate KitKat Cake,1,0,It's a chocolate layer cake built for breaks with plenty of kitkat bars to ... read more,470.0
Cakes,Chocolate Zebra Cake,1,0,Indulge in a decadent dessert with rich chocolate and distinct zebra stripes.,379.5
Cakes,Full KitKat Chocolate Cake,1,0,It's a chocolate layer cake built for breaks with plenty of Kitkat bars ... read more,680.0
Cakes,Chocolate Love Cake,1,0,"Our special cake for celebrations, dark chocolate cake with chocolate sponge and chocolate ... read more",500.0
Cakes,Midnight Chocolate Cake,1,0,Midnight chocolate cake is a delectable and rich dessert that captures the essence ... read more,370.0
Cakes,Chocolate Stick Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,379.0
Cakes,Chocolate Marble Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,370.0
Cakes,Chocolate Strawberry Cake,1,0,Enjoy our eggless chocolate strawberry cake.,360.0
Cakes,Blueberry Cake,1,0,"Moist, fluffy and soft. Loaded with fresh blueberries and topped with a delicious ... read more",330.0
Cakes,Chocolate Delight Cake,1,0,It consists of chocolate sponge and melted chocolate and chocolate cream inside and all over ... read more,420.0
Cakes,Chocolate Butterscotch Cake,1,0,A rich and indulgent cake with a decadent blend of chocolate and creamy ... read more,360.0
Cakes,Chocolate Flex Cake,1,0,,380.0
Cakes,Chocolate Full KitKat Truffle Cake,1,0,"A chocolate layer cake recipe with dense, moist chocolate cake, silky chocolate truffle ... read more",650.0
Cakes,Death By Chocolate Cake,1,0,"Multiple layers of chocolate sponge cake with whipped cream and chocolate, covered on ... read more",500.0
Cakes,Heart Shape Full KitKat Truffle Cake,1,0,"A chocolate layer cake recipe with dense, moist chocolate cake, silky chocolate truffle ... read more",830.0
Cakes,Special Oreo Chips Cake,1,0,Enjoy our 100 percent eggless cake. Knife with 2 candles are complimentary.,550.0
Cakes,Heart Shape Chocolate Truffle Cake,1,0,Multiple layers of chocolate sponge cake in heart shape with whipped cream and ... read more,500.0
Cakes,Full KitKat Full Gems Cake,1,0,It is a chocolate layer cake built for breaks with plenty of KitKat ... read more,800.0
Cakes,White Forest Cake,1,0,[Veg preparation],350.0
Cakes,Full KitKat Full Ferrero Rocher Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary. Enjoy our ... read more,1725.0
Cakes,Ferrero Rocher Cake,1,0,"Multiple layers of chocolate sponge cake with whipped cream and chocolate, covered on ... read more",650.0
Cakes,Heart Shape Special Oreo Chips Cake,1,0,,650.0
Cakes,Dutch Truffle Cake,1,0,"Multiple layers of chocolate sponge cake with whipped cream and dutch chocolate, covered ... read more",500.0
Cakes,Classic Almond Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,550.0
Cakes,Truffle Toffee Cake,1,0,,500.0
Cakes,Rasmalai Cake,1,0,,600.0
Cakes,Chocolate Nutella Cake,1,0,,600.0
Cakes,Cookies N Cream Cake,1,0,,500.0
Cakes,Walnut Truffle Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,650.0
Cakes,Surprise Bomb Chocolate Cake [500 grams],1,0,,1500.0
Cakes,Anniversary Special Cake,1,0,,600.0
Cakes,Belgian Chocolate Cake,1,0,,550.0
Cakes,Heart Shape Dutch Truffle Cake,1,0,,550.0
Cakes,Special KitKat Cake,1,0,"It is a chocolate layer cake surrounded by KitKat candy bars, topped with ... read more",750.0
Cakes,Fresh Fruit Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,500.0
Cakes,Heart Shape Pineapple Cake,1,0,Served with knife with 2 candles are compliments cake.,380.0
Cakes,Heart Shape Chocolate Vanilla Cake,1,0,Enjoy our 100% eggless cake. Knife and 2 candles are complimentary.,425.0
Cakes,Heart Shape Chocolate Chips Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,420.0
Cakes,Heart Shape Chocolate Mud Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,450.0
Cakes,Heart Shape Black Forest Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,400.0
Cakes,Heart Shape Chocolate KitKat Cake,1,0,Enjoy our 100% eggless cake. Knife with 2 candles are complimentary.,520.0
Cakes,Pinata Cake [500 grams],1,0,Dark chocolate cake with hammer.,675.0
Cakes,Brownie Delight Cake,1,0,,500.0
Cakes,Special KitKat Oreo Cake,1,0,,500.0
Cakes,Special White Chocolate Delight Cake,1,0,,600.0
Cakes,Mother's Day Special Chocolate Cake,1,0,,500.0
Cakes,Chocolate KitKat Pastry [2 Pieces],1,0,,190.0
Cakes,Chocolate Truffle Pastry [2 Pieces],1,0,[Veg preparation],170.0
Cakes,Chocolate Oreo Pastry [2 Pieces],1,0,,149.0
Cakes,Cassata Pastry [2 Pieces],1,0,,140.0
Cakes,Special Family Blow Cake [450 grams],1,0,,300.0
Cakes,Chocolate Mud Pastry [2 Pieces],1,0,,149.0
Cakes,Chocolate Taco Special Pastry,1,0,,149.0
Cakes,Chocolate Chips Muffin [2 Pieces],1,0,,99.5
Cakes,Chocolate Gems Muffin [2 Pieces],1,0,,100.0
Cakes,Chocolate Truffle Muffin [2 Pieces],1,0,,110.0
Cakes,Chocolate KitKat Muffin [2 Pieces],1,0,,100.0
Cakes,Cookies n Cream Muffin [2 Pieces],1,0,,100.0
Cakes,Chocolate Truffle cake [1 jar],1,0,[Veg preparation],190.0
Cakes,Black Forest Cake [1 Jar],1,0,,170.0
Cakes,Ferrero Rocher Cake [1 Jar],1,0,,200.0
Cakes,KitKat Cake [1 Jar],1,0,,195.0
Cakes,Oreo Cake [1 Jar],1,0,,190.0
Cakes,Cocomelon Chocolate Cake [1 kg],1,0,[Veg preparation],1100.0
Cakes,Unicorn Chocolate Cake [1 kg],1,0,,1100.0
Cakes,Spider Man Chocolate Cake [1 kg],1,0,,1100.0
Cakes,Baby Boss Chocolate Cake [1 kg],1,0,,1100.0
Cakes,Car Chocolate Cake [1 kg],1,0,[Veg preparation],1100.0
Cakes,Christmas Special Chocolate Cake,1,0,,600.0
Cakes,Daddys Special Chocolate Cake,1,0,,600.0
Cake [300 grams],Chocolate Chips Cake [300 grams],1,0,"A delicate chocolate cake studded with chocolate, covered in a creamy frosting and ... read more",260.0
Cake [300 grams],Chocolate Stick Cake [300 grams],1,0,It is a chocolate layer cake built for breaks with plenty of KitKat ... read more,260.0
Cake [300 grams],Cassata Cake [300 grams],1,0,,260.0
Cake [300 grams],Oreo Cake [300 grams],1,0,,260.0
Cake [300 grams],Chocolate Swiss Cake [300 grams],1,0,"The chocolate swiss cake has two layers a chocolate buttercream on the outside, ... read more",260.0
Cake [300 grams],Chocolate Mud Cake [300 grams],1,0,,260.0
