Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
IC Super Saver Combo,Combo @289,1,0,1 (7 Inch) Italian Pizza & 1 Nutella Lover Thick Shake,289.0
IC Super Saver Combo,Combo @ 349 Rs,1,0,1 (7 Inch) Green Wave Pizza & 1 Live Ferrero Ecstacy Freezing Stone,349.0
IC Super Saver Combo,Combo @ 519 Rs,1,0,1 (7 Inch) Tandoori Paneer Pizza + 1 (7 Inch) Mexican Pizza + ... read more,519.0
IC Super Saver Combo,Combo @219rs,1,0,2 Pcs Cheese Garlic Bread & 1 Ferrero Rocher Thick Shake,219.0
IC Super Saver Combo,Combo @249rs,1,0,1 (7 Inch) Margherita Pizza & 1 Oreo Vanilla Thick Shake,249.0
IC Super Saver Combo,Combo @399 Rs,1,0,1 (7 Inch) Mexican Pizza & (2 Pcs) Garlic Bread & 2 Cold ... read more,399.0
IC Super Saver Combo,Combo @ 319 Rs,1,0,1 (7 Inch) American Garden Pizza & 1 Exotic Brownie Thick Shake,319.0
IC Super Saver Combo,Combo@279 Rs,1,0,1 (7 Inch) Tandoori Paneer Pizza & (4 Pcs) Cheese Garlic Bread,279.0
Pizza & More,American Garden (7 Inch Pizza),1,0,"Loaded with American Baby Corn, Olives, Jalapenos & Capsicum",199.0
Pizza & More,Cheesee Garlic Bread (4 Pcs),1,0,Garlic & Bread Bakes to Perfection with Cheese,149.0
Pizza & More,Cheesee Margherita (7 Inch Pizza),1,0,"A Classic Combination of Marinara Sauce, Fresh Basil and A Blend of Cheese",179.0
Pizza & More,Made In Italy (7 Inch Pizza),1,0,"Authentic Italian Pizza Toppes with Combination of Oregano, Olives, Jalapeno, Onion, Mozzarella and ... read more",199.0
Pizza & More,Mexican Delight (7 Inch Pizza),1,0,"Signature Slowly cooked pizza sauce with Paprika, Bell Peppers, Sweet Corn, Olives & ... read more",199.0
Pizza & More,Tandoori Zyaka (7 Inch Pizza),1,0,Cottage Cheese with a Spicy Tandoori Zayka,199.0
Pizza & More,Veg Green Wave (7 Inch Pizza),1,0,"Fresh Tomatoes, Onions, Capsicum, Olives & Jalapenos",199.0
Chocolate Thick Shakes,Choco Coffee Crunch Shake,1,0,,179.0
Chocolate Thick Shakes,Chocolate Chip Shake,1,0,,158.0
Chocolate Thick Shakes,Cocoa Mocha Shake,1,0,,189.0
Chocolate Thick Shakes,Double Ferreo Shake,1,0,,249.0
Chocolate Thick Shakes,Double Kit Kat Shake,1,0,,199.0
Chocolate Thick Shakes,Exotic Brownie Chocolate Shake,1,0,,189.0
Chocolate Thick Shakes,Exotic Brownie Vanilla Shake,1,0,,179.0
Chocolate Thick Shakes,Ferreo Rocher Shake,1,0,,219.0
Chocolate Thick Shakes,Fudy Nuttela Brownie Shake,1,0,,199.0
Chocolate Thick Shakes,Kit Kat Thick Shake,1,0,,199.0
Chocolate Thick Shakes,Nutella Hazelnut Shake,1,0,,199.0
Chocolate Thick Shakes,Nutella Lover Shake,1,0,,199.0
Chocolate Thick Shakes,Nutties Shake,1,0,,189.0
