Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Sweets,Patiza [1 Piece],1,0,,35.0
Sweets,Malai Tosh [1 Piece],1,0,,35.0
Sweets,Royal Kesar Malai Roll [1 Piece],1,0,,50.0
Sweets,Gulab Jamun [1 Piece],1,0,,18.0
Sweets,Rasgulla [1 Piece],1,0,,22.0
Sweets,Malai Cham Cham [1 Piece],1,0,,35.0
Sweets,Malai Sandwich [1 Piece],1,0,,35.0
Sweets,Kesar Sandwich [1 Piece],1,0,,35.0
Sweets,Malai Roll [1 Piece],1,0,,35.0
Sweets,Kala Jam [1 Piece],1,0,,35.0
Sweets,Sado Shrikhand,1,0,,40.0
Sweets,Chocolate Shrikhand,1,0,,48.0
Sweets,Mango Badam Shrikhand,1,0,,48.0
Sweets,All Fruit Shrikhand,1,0,,48.0
Sweets,Kesar Pista Shrikhand,1,0,,50.0
Sweets,Dry Fruit Shrikhand,1,0,,50.0
Sweets,Motichoor Tel Laddu,1,0,,42.0
Sweets,Motichoor Ghee Laddu,1,0,,60.0
Sweets,Pista Ghari,1,0,,102.0
Sweets,Kesar Badam Ghari,1,0,,106.0
Sweets,Sada Peda,1,0,,60.0
Sweets,Malai Peda,1,0,,60.0
Sweets,Kesari Malai Peda,1,0,,60.0
Sweets,Thabri Peda,1,0,,60.0
Sweets,Chocolate Peda,1,0,,70.0
Sweets,Real Kesar Peda,1,0,,70.0
Sweets,Kaju Katli,1,0,,106.0
Sweets,Kesar Katli,1,0,,124.0
Sweets,Sangam Katli,1,0,,124.0
Sweets,Dry Fruit Kaju Mixed,1,0,,140.0
Sweets,Soan Papri,1,0,,135.0
Sweets,Sutterfeni,1,0,,150.0
Sweets,Mohan Thal,1,0,,70.0
Sweets,Magas,1,0,,70.0
Sweets,Mysore Sweet,1,0,,70.0
Sweets,Mawa Burfi,1,0,,60.0
Sweets,Mango Burfi,1,0,,60.0
Sweets,Kesariya Kopra Burfi,1,0,,78.0
Sweets,Malai Burfi,1,0,,78.0
Sweets,Trirangi Burfi,1,0,,78.0
Sweets,Milk Cake Burfi,1,0,,78.0
Sweets,Punjabi Milk Cake Burfi,1,0,,78.0
Sweets,Rajwadi Milk Cake Burfi,1,0,,78.0
Sweets,Anjeer Cake Burfi,1,0,,78.0
Sweets,Akhrot Plaza Burfi,1,0,,78.0
Sweets,Rose Burfi,1,0,,78.0
Sweets,Santra Burfi,1,0,,78.0
Sweets,Khoa Burfi,1,0,Fiko.,46.0
Sweets,Dudhi Halwa,1,0,,60.0
Sweets,Chikku Halwa,1,0,,60.0
Sweets,Ice Halwa,1,0,,60.0
Sweets,Anguri Rabdi,1,0,,56.0
Sweets,Anjeer Rabdi,1,0,,56.0
Sweets,Dry Fruit Rabdi,1,0,,60.0
Sweets,Sada Angoor Rabdi,1,0,,50.0
Sweets,Sado Elaichi Matho,1,0,,40.0
Sweets,Pineapple Matho,1,0,,46.0
Sweets,Strawberry Matho,1,0,,46.0
Sweets,Kesar Elaichi Matho,1,0,,46.0
Sweets,Canadian Matho,1,0,,46.0
Sweets,Cadbury Badam Matho,1,0,,46.0
Sweets,Cream Butterscotch Matho,1,0,,48.0
Sweets,Dry Fruit Matho,1,0,,50.0
Snacks and Chaat,Pani Puri [10 Pieces],1,0,,100.0
Snacks and Chaat,Bombay Bhel,1,0,,60.0
Snacks and Chaat,Chole Tikki,1,0,,100.0
Snacks and Chaat,Delhi Chaat,1,0,,85.0
Snacks and Chaat,Dahi Puri,1,0,,85.0
Snacks and Chaat,Raj Kachori,1,0,,85.0
Snacks and Chaat,Samosa [1 Piece],1,0,,24.0
Snacks and Chaat,Kachori [1 Piece],1,0,,24.0
Accompaniments,Punjabi Dahi,1,0,,16.0
Accompaniments,Dahi Handi,1,0,,38.0
Drinks (Beverages),Lassi [200 ml],1,0,,70.0
Drinks (Beverages),Mango Lassi [200 ml],1,0,,80.0
Drinks (Beverages),Dry Fruit Lassi [200 ml],1,0,,80.0
Drinks (Beverages),Cold Coco [200 ml],1,0,,70.0
Drinks (Beverages),Kaju Coco [200 ml],1,0,,90.0
Drinks (Beverages),Taak Chaas [500 ml],1,0,,18.0
Drinks (Beverages),Masala Chaas [180 ml],1,0,,12.0
