Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Bakery,Aata Elaichi Cookies,1,0,,153.0
Bakery,Ajwain Cookies,1,0,,153.0
Bakery,Assorted Cookies,1,0,,382.0
Bakery,Butter Badam Cookies,1,0,,178.0
Bakery,Butter Badam Nan Khatai,1,0,,128.0
Bakery,Chocolate Chips Cookies,1,0,,178.0
Bakery,Coconut Cookies,1,0,,178.0
Bakery,Fruit Cookies,1,0,,178.0
Bakery,Jeera Cookies,1,0,,153.0
Bakery,Kaju Pista Cookies,1,0,,178.0
Bakery,Kesar Badam Pista Cookies,1,0,,191.0
Bakery,Marble Cookies,1,0,,178.0
Bakery,Nan Khatai,1,0,,115.0
Bakery,Roasted Dryfruit Cookies,1,0,,204.0
Bakery,Shahi Jeera Cookies,1,0,,153.0
Bakery,Khari Ajwain,1,0,,77.0
Bakery,Khari Methi,1,0,,77.0
Drinks (Beverages),Malai Lassi,1,0,,86.0
Drinks (Beverages),Mango Lassi,1,0,,100.0
Drinks (Beverages),Masala Milk,1,0,200 Ml,115.0
"Chaat, Snacks & Quick Bites",Cheese Roll (1 Pc),1,0,,64.0
"Chaat, Snacks & Quick Bites",Paneer Puff,1,0,,51.0
"Chaat, Snacks & Quick Bites",Aloo Tikki Chaat,1,0,,129.0
"Chaat, Snacks & Quick Bites",Bhalla Papdi Chaat,1,0,Bhalla Papdi is a popular and delightful Indian street food that offers a ... read more,143.0
"Chaat, Snacks & Quick Bites",Chole Aloo Tikki,1,0,Non Jain,143.0
"Chaat, Snacks & Quick Bites",Dilli Chaat,1,0,1 Plate,143.0
"Chaat, Snacks & Quick Bites",Kachori Chaat (Dahi),1,0,,86.0
"Chaat, Snacks & Quick Bites",Papdi Chaat,1,0,Papdi Chaat is a popular and delightful Indian street food that offers a ... read more,129.0
"Chaat, Snacks & Quick Bites",Samosa Chaat (Dahi),1,0,,86.0
"Chaat, Snacks & Quick Bites",Sandwich Khaman (2 Pc),1,0,,72.0
"Chaat, Snacks & Quick Bites",Bedmi Puri With Aloo Sabji,1,0,"Bedmi Puri - 2 Pc, Aloo Sabji, Masala Onion Laccha & Pickle",129.0
"Chaat, Snacks & Quick Bites",Chole Bhature,1,0,"Bhatura - 2 Pc, Chole With Masala Aloo & Mirchi, Mint Onion Laccha ... read more",200.0
