Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Super Saver Combos - Save Upto 46%,Delhi Tikki Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink and a cookie ... read more,228.0
Super Saver Combos - Save Upto 46%,Bombay Grill Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink and a cookie ... read more,248.0
Super Saver Combos - Save Upto 46%,3 Cheese Melt Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink and any choice ... read more,368.0
Super Saver Combos - Save Upto 46%,Egg 'n Cheese Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink and any choice ... read more,318.0
Super Saver Combos - Save Upto 46%,Chicken Keema Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink�and�a�cookie.,268.0
Super Saver Combos - Save Upto 46%,Roast Chicken Melt Sandwich + Side + Coke,1,0,Enjoy your favourite Grills sandwich with a choice of drink�and�a�cookie.,338.0
Super Saver Combos - Save Upto 46%,Paneer Achari Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,359.0
Super Saver Combos - Save Upto 46%,Crunchy Mexican Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,369.0
Super Saver Combos - Save Upto 46%,Chilli Cheese Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,359.0
Super Saver Combos - Save Upto 46%,Great American BBQ Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,399.0
Super Saver Combos - Save Upto 46%,Chicken Tikka Achari Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,379.0
Super Saver Combos - Save Upto 46%,Pepper Chicken Sandwich + Side + Coke,1,0,Enjoy your favourite Hotseller sub with a choice of cookie and a choice ... read more,389.0
Super Saver Combos - Save Upto 46%,Veg Subs + Side + Coke (Save upto Rs199),1,0,"Enjoy a veg Create Your Own sub of your choice, with your favourite ... read more",359.0
Super Saver Combos - Save Upto 46%,Non-Veg Subs + Side + Coke (Save upto Rs155),1,0,"Enjoy any non-veg sub of your choice, with your favourite drink and a ... read more",379.0
Super Saver Combos - Save Upto 46%,2 Veg Subs + Coke (Save upto Rs169),1,0,Combo of two freshly made veg subs of your choice with a drink. ... read more,439.0
Super Saver Combos - Save Upto 46%,2 Veg Signature Subs + Coke (Save upto Rs219),1,0,Combo of two freshly made veg Hotseller subs of your choice with a ... read more,489.0
Super Saver Combos - Save Upto 46%,2 Veg Premium Subs + Coke (Save upto Rs179),1,0,Combo of two freshly made veg subs of your choice from our premium ... read more,489.0
Super Saver Combos - Save Upto 46%,2 Non-Veg Signature Subs + Coke (Save upto Rs179),1,0,Combo of two freshly made non-veg Hotseller subs of your choice with a ... read more,589.0
Super Saver Combos - Save Upto 46%,Any 2 Veg/Non-Veg Subs + Coke (Save upto Rs200),1,0,Combo of any two freshly made veg/non-veg subs of your choice with a ... read more,539.0
Try New Grills - Hot Sandwiches,Delhi Tikki Sandwich,1,0,Go desi with Delhi Tikki Grill sandwich. Grilled Italian white bread stuffed with ... read more,169.0
Try New Grills - Hot Sandwiches,Bombay Grill Sandwich,1,0,The classic Bombay sandwich to win your hearts. Freshly grilled Italian white bread ... read more,179.0
Try New Grills - Hot Sandwiches,3 Cheese Melt Sandwich,1,0,Have a cheese blast with Three Cheese Grill sandwich. Freshly grilled Italian white ... read more,269.0
Try New Grills - Hot Sandwiches,Egg 'n Cheese Sandwich,1,0,The classic all-day breakfast. Eggwich is a freshly grilled Italian white bread stuffed ... read more,269.0
Try New Grills - Hot Sandwiches,Chicken Keema Grill Sandwich,1,0,Bite into the melt-in-mouth Chicken Keema Grill sandwich. Juicy chicken keema in freshly ... read more,189.0
Try New Grills - Hot Sandwiches,Roast Chicken Melt Grill Sandwich,1,0,Authentic Roast Chicken Melt sandwich. Smoking pepper chicken strips stuffed in freshly grilled ... read more,229.0
