Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Brunt Garlic Rice (250 Ml) + Manchurian Gravy (250 Ml),1,0,,199.0
Combos,Dal Fry (250 Ml) + Jeera Rice (250 Ml),1,0,,199.0
Combos,Hakka Noodle (250 Ml) + Manchurian Gravy (250 Ml),1,0,,199.0
Combos,Manchurian Gravy (250 Ml) + Veg Fried Rice (250 Ml),1,0,,199.0
Combos,Paneer Chilly (250 Ml) + Schezwan Rice (250 Ml),1,0,,249.0
Combos,Paneer Chilly Gravy (250 Ml) + Burnt Garlic Rice (250 Ml),1,0,,249.0
Combos,Thai Curry (250 Ml) + Steam Rice (250 Ml),1,0,,219.0
Combos,Tob Special Biryani (250 Ml) + Raita + Papad Churi,1,0,,199.0
Combos,Tob Special Dal Khichadi (250 Ml) + Curd + Papad Churi,1,0,,199.0
Combos,Veg Fried Rice (250 Ml) + Veg Hakka Noodles (250 Ml),1,0,,199.0
Packed Meal ( Thali ),Make Your Own Special Meal,1,0,Make Your Own Meal,286.0
Packed Meal ( Thali ),Royal Thali,1,0,Paneer Sabji + Mix Veg Sabji + Tawa Chapati + Dal Tadka + ... read more,240.0
Packed Meal ( Thali ),Royal Special Thali,1,0,Paneer Sabji + Mix Veg Sabji + Butter Laccha Paratha + Dal Makhani ... read more,286.0
Packed Meal ( Thali ),Mexican Thali,1,0,Mexican Rice + Mexican Tit Bit + Nachos Chips + Pesto Paneer + ... read more,286.0
Packed Meal ( Thali ),European Thali,1,0,Pink Sauce Pasta + Pesto Paneer + Saute Veg + Italian Rice + ... read more,286.0
Packed Meal ( Thali ),Oriental Thali,1,0,Veg Hakka Noodles + Manchurian Gravy + Crispy Veg + Green Thai Curry ... read more,286.0
Packed Meal ( Thali ),Pav Bhaji Thali,1,0,Pav Bhaji + Kachumber Salad + Veg Pulao + Papad Churi + Gulab ... read more,286.0
Delhi Chat Special,Pani Puri (8 Pcs),1,0,A crispy and delicious snack filled with a flavorful blend of spiced water ... read more,100.0
Delhi Chat Special,Dahi Sev Puri,1,0,A delicious snack made with crispy fried puri and topped with tangy yogurt ... read more,100.0
Delhi Chat Special,Raj Kachori,1,0,"Crispy kachori is stuffed with boiled potatoes, yogurt, chutney and more, creating this ... read more",125.0
Delhi Chat Special,Dahi Papdi Chaat,1,0,"Fried and crispy papdi made freshly with topped with potatoes, chickpeas, chutneys, chaat ... read more",112.5
Delhi Chat Special,Dahi Wada,1,0,An irresistibly creamy soothing dahi with crispy vada served fried to golden perfection.,112.5
Delhi Chat Special,Dahi Gujiya,1,0,Dahi gujiya is a traditional Indian sweet that is made by rolling a ... read more,125.0
Delhi Chat Special,Banarasi Palak Patta Chaat,1,0,"A delicious and healthy chaat dish made with spinach and chickpeas, flavored with ... read more",130.0
Delhi Chat Special,Desi Ghee Aloo Tikki,1,0,"A crispy golden brown potato patty topped with a spicy, creamy, aromatic mixture ... read more",112.5
Delhi Chat Special,Tikki Chole,1,0,A delightfully flavor-packed dish with crispy aloo tikki; served along with flavorful chick ... read more,125.0
Delhi Chat Special,Sindh Punjab Samosa ( 2 Pcs ),1,0,"Sindh’s iconic and most popular street food, the Punjabi samosa is a fried ... read more",35.0
Delhi Chat Special,Samosa Chole ( 1Pcs),1,0,A crispy and savory pastry filled with spiced chickpeas and topped with tangy ... read more,125.0
Delhi Chat Special,Ragda Samosa,1,0,,112.5
Delhi Chat Special,Dal Kachori (2 Pc),1,0,"A spicy and savory dish made with lentil stuffed in a crispy, flaky ... read more",50.0
Delhi Chat Special,Pakwan Chat,1,0,Pakwan chat a savory snack made from a crispy fried flour based flatbread ... read more,125.0
Delhi Chat Special,Dilhiwale Patile Ka Mutter Kulcha,1,0,"A soft and fluffy Indian bread made with a combination of lentils, vegetables ... read more",150.0
Delhi Chat Special,Choley Kulcha,1,0,,185.0
Delhi Chat Special,Choley Bhatura,1,0,Choley bhature is a popular North Indian dish that is a combination of ... read more,235.0
Delhi Chat Special,Pav Bhaji,1,0,Butter laden pavs accompanied by a delicious and healthy gravy of mashed vegetables ... read more,185.0
Delhi Chat Special,Bombay Masala Pav,1,0,"A crispy and soft Indian bread stuffed with flavorful, aromatic and spicy bhaji.",150.0
Delhi Chat Special,Extra Butter Kulcha,1,0,,30.0
Delhi Chat Special,Extra Butter Pav,1,0,,20.0
Delhi Chat Special,Extra Bhature,1,0,"Crispy, fluffy bread paired with a classic, flavorful chickpea curry.",40.0
Steaming Soup,Hong Kong Hot,1,0,"Hong kong style hot pot dish with a delicious combination of chicken, meat, ... read more",150.0
Steaming Soup,Manchow Soup,1,0,A comforting Chinese-style thick soup filled with exotic and hot vegetables.,145.0
Steaming Soup,Thupka,1,0,"Thukpa Is Made Of Noodles, Assorted Vegetables & Tibetian Spices",145.0
Steaming Soup,Asian Green Soup With Herbs,1,0,A light and nourishing soup with a blend of Asian herbs and greens. ... read more,145.0
Steaming Soup,Tom Yum Phak,1,0,Regular Hot & Spicy Thai Soup,145.0
Steaming Soup,Sweet Corn Soup,1,0,"Comforting soup brimming with sweet, wholesome corn.",145.0
Steaming Soup,Tomasil,1,0,Tomato With Basil,145.0
Steaming Soup,Tamatar Dhanya Shorba,1,0,A thick and creamy tomato based soup made with the goodness of vegetables.,145.0
Steaming Soup,Cream Of Tomato Soup,1,0,Tangy & thick tomato soup with a blissful twist of cream.,145.0
Steaming Soup,Tex Mex Green Chili Soup,1,0,"Leafy Green & Bell Pepper Soup With A Hint Of Green Chili, Topped ... read more",145.0
Exotic Soup,Broccoli & Corn Soup,1,0,,137.5
Exotic Soup,Cream Of Broccoli Soup,1,0,"Creamy soup made with fresh broccoli, a hearty and nourishing dish that is ... read more",137.5
Exotic Soup,Cream Of Mushroom Soup,1,0,,137.5
Exotic Soup,Creamy Corn Soup,1,0,A delicious creamy soup with a hint of corn and spices that is ... read more,137.5
Exotic Soup,Herb & Veggie Valencia,1,0,"Fresh and flavorful, this light and satisfying valencia salad is filled with fresh ... read more",137.5
Exotic Soup,Paushtik Subz Shorba,1,0,"A rich, creamy soup with a blend of fresh vegetables and aromatic spices. ... read more",137.5
Exotic Soup,Thai Broccoli Soup,1,0,Thai brocoli Soup is a dish of tender and flavorful broccoli cooked in ... read more,137.5
