Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Wednesday KFC Specials (up to 52% off),Wednesday Chicken Bucket,0,0,Enjoy Special Wednesday Bucket with flat 37% off on 10 pcs of Hot ... read more,1141.35
Wednesday KFC Specials (up to 52% off),Wednesday Chicken Strips Bucket,0,0,Wednesdays are for Fun! Flat 52% off on 12 pc chicken Peri Peri ... read more,831.26
Wednesday KFC Specials (up to 52% off),Wednesday Value Chicken Bucket,0,0,"Wednesday Value Savings of 44% on Bucket of 6 Pc Hot Wings, 6 ... read more",980.36
Wednesday KFC Specials (up to 52% off),Wednesday Value Chicken Meal�Bucket,0,0,"Flat 38% on Bucket of 6 Pc Hot Wings, 6 Pc Peri Peri ... read more",1126.74
Wednesday KFC Specials (up to 52% off),Wednesday Chicken Strips Meal Bucket,0,0,"Saving on 36% on Bucket of 10 Pc Peri Peri Strips, 3 Dips, ... read more",1014.07
Wednesday KFC Specials (up to 52% off),Wednesday Variety Chicken Meal,0,0,"Save 37% on Variety Bucket of 9 Pc Hot & Crispy, 4 Pc ... read more",1427.0
Burgers,Paneer Zinger Burger,1,0,It's Back! Crunchy Indian Paneer Patty Burger with tangy sauce and Veggies,208.57
Burgers,Spicy Zinger Burger and Popcorn Meal,0,0,Caribbean Spicy Zinger Burger with Medium Popcorn and Pepsi PET 475ml at a ... read more,439.05
Burgers,Spicy Zinger Burger,0,0,New Caribbean Spicy Zinger Burger with Spicy Bun & Spicy chilli sauce with ... read more,219.05
Burgers,Spicy Zinger Burger and Chicken Meal,0,0,New Caribbean Spicy Zinger Burger with 1 Pc Hot & Crispy and Pepsi ... read more,379.05
Burgers,Zinger Pro Burger & Popcorn Meal,0,0,New Zinger Pro premium Burger with Medium Popcorn and Pepsi PET 475ml at ... read more,459.05
Burgers,Zinger Pro Burger,0,0,"New premium zinger with crunchy zinger fillet,cheese,lettuce,tomatoes,sauce in sesame bun!",239.05
Burgers,Zinger Pro Burger & Chicken Meal,0,0,New Zinger Pro premium Burger with 1 Pc Hot & Crispy and Pepsi ... read more,399.05
Burgers,Chicken Burger Buddy Meal,0,0,Save Rs. 28 & Share 2 American Classic Chicken Zinger Burgers & a ... read more,528.57
Burgers,Mixed Chicken Zinger Burger Doubles,0,0,Save Rs.41 on Best-seller combo of classic chicken Zinger & Tandoori zinger burgers,368.57
Burgers,Chicken Zinger Burger - Classic with Cheese,0,0,"Signature burger with a crunchy chicken fillet, cheese slice, veggies & a delicious ... read more",224.05
Burgers,Chicken Zinger Burger - Tandoori with Cheese,0,0,Chicken zinger with delicious tandoori sauce & cheese slice,233.57
Burgers,Veg Zinger Burger with Cheese,1,0,"Signature veg burger with crispy patties, cheese slice, veggies & a tangy sauce",213.57
Burgers,Chicken Zinger Burger - Classic,0,0,"Signature burger made with a crunchy chicken fillet, veggies & a delicious mayo ... read more",199.05
Burgers,Veg Zinger Burger,1,0,"Signature veg burger with crispy patties, veggies & a tangy sauce",188.57
Burgers,Chicken Zinger Burger - Tandoori,0,0,Chicken zinger with a delicious tandoori sauce,208.57
Burgers,2 X Chicken Krisper Burgers,0,0,2 Delicious chicken value burgers - at a deal price,259.05
Burgers,2 X Veg Krisper Burgers,1,0,2 Delicious veg value burgers - at a deal price,188.57
All Day Lunch Special Meal Box,All Chicken Box,0,0,"Save Rs. 107 with special Chicken Box of 2 Pc Hot & Crispy, ... read more",399.0
All Day Lunch Special Meal Box,Classic Zinger Box,0,0,All new special Zinger Box with savings of Rs. 76 on Classic American ... read more,399.0
All Day Lunch Special Meal Box,Rice Box Meal,0,0,"Save Rs. 106 with special Rice Box Meal of a Popcorn Rice Bowl, ... read more",399.0
All Day Lunch Special Meal Box,Roll Meal Box,0,0,Save Rs. 95 with special Roll Box Meal of a Classic Chicken Roll ... read more,399.0
All Day Lunch Special Meal Box,Veg Box Meal,1,0,Enjoy special Veg Box Meal with savings of Rs. 101 on Veg Zinger ... read more,399.0
Match Day Combos (Save upto 35%),Cricket Crunch Meal,0,0,"Crunchy Savings of Rs. 75 & Enjoy 2pc Hot & Crispy Chicken, 4 ... read more",449.0
Match Day Combos (Save upto 35%),Ultimate Savings Chicken Bucket,0,0,"Savings of 32% on signature bucket of 4pc Hot & crispy chicken, 6 ... read more",728.57
Match Day Combos (Save upto 35%),Playing 11 Chicken Meal,0,0,Enjoy Special 11 meal by saving Rs. 164 on 3 Pc Chicken Leg ... read more,599.0
Match Day Combos (Save upto 35%),Hitter Chicken Combo,0,0,Hitter huge savings of Rs. 132 on 5 Pc Chicken Leg Piece & ... read more,666.0
Match Day Combos (Save upto 35%),Super Over Meal,0,0,"Favorite combo of Classic Chicken Zinger Burger, Medium French Fries & a chilled ... read more",329.0
Match Day Combos (Save upto 35%),Super 6s Chicken Bucket,0,0,Sixer Savings of Rs. 249 off on Special Bucket of 6 Pc Chicken ... read more,799.0
Match Day Combos (Save upto 35%),Rolls Super Kings,0,0,"Super Savings of Rs. 75 on 2 Classic chicken Roll, 4 Pc Hot ... read more",399.0
Match Day Combos (Save upto 35%),Green Pitch Veg Meal,1,0,Veg Lovers now save Rs. 252 on Veg meal of 2 Veg Zinger ... read more,499.0
Match Day Combos (Save upto 35%),LBW Chicken Bucket,0,0,Leg Piece before any wicket! Deal savings of Rs. 308 on 10 Pc ... read more,899.0
Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 5 Leg Piece Meal,0,0,Leg before any wicket! Save Rs. 131 on 5 Spicy Peri Peri Leg ... read more,659.05
Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 5 Leg Piece & 2 Dips,0,0,"Save Rs 104 on 5 Spicy Peri Peri Leg Pieces, paired with 2 ... read more",528.57
Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 10 Leg Pc & 4 Dips,0,0,Save Rs. 334 on 10 Spicy Peri Peri Leg Pieces & 4 Dips ... read more,968.57
Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri chicken strips - 6 Pc,0,0,Save 13% with on savouring 6 Spicy Peri Peri chicken boneless strips [serves ... read more,308.57
Buckets/ Meals for 1-2 (up to 15% off),Chicken Bucket for Two,0,0,Flat Rs. 115 off with this variety combo of 2pc Hot & Crispy ... read more,599.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken Krisper Burger Combo,0,0,"Save Rs. 57 on Deal combo of 2 chicken value burgers, 2 pc ... read more",539.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken Mingles Bucket Meal,0,0,"Save Rs. 43 on this crowd favorite combo of 4 Hot Wings, 2 ... read more",519.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken Solo Feast,0,0,"Treat yourself with 1 Hot & Crispy chicken, 2 chicken Strips, 2 chicken ... read more",399.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken Mingles Bucket,0,0,"Mingle with 4 Chicken Hot Wings, 2 Chicken peri peri boneless strips & ... read more",399.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken & French Fries Bucket,0,0,Crowd-favorite combo of 2pc Hot & Crispy Chicken with Medium French Fries,299.05
Buckets/ Meals for 1-2 (up to 15% off),Chicken Popcorn & French Fries Bucket,0,0,Large Chicken Popcorn with Med French Fries - at a deal price,328.57
Buckets/ Meals for 1-2 (up to 15% off),2 X Veg Krispers Burger Meal,1,0,"Save Rs. 39 with 2 veg value burgers, crispy Medium French Fries & ... read more",299.05
Buckets/ Meals for 3-4 (up to 32% off),All in One Chicken Bucket,0,0,"Save 21% with variety bucket of 1 Leg Pc, 1 Hot & Crispy, ... read more",568.57
Buckets/ Meals for 3-4 (up to 32% off),Stay Home Chicken Bucket,0,0,"Save Rs. 232 & enjoy 4pc Hot & Crispy Chicken, 4 Hot Wings, ... read more",819.05
Buckets/ Meals for 3-4 (up to 32% off),Big 12 - Chicken Bucket,0,0,"Save 24% on 6pc Hot & Crispy Chicken, 6 Hot Wings & 2 ... read more",768.57
Buckets/ Meals for 3-4 (up to 32% off),Big 8 - Chicken Bucket,0,0,Save 24% on this variety bucket of 4pc Hot & Crispy chicken & ... read more,728.57
Rice Bowlz,HC Rice Bowlz,0,0,Aromatic Hot & Crispy Chicken rice bowl mixed with spicy gravy [serves 1],229.52
Rice Bowlz,Smoky Red Chicken Rice Bowl,0,0,Aromatic Smoky Red Chicken rice bowl mixed with spicy gravy [serves 1],229.52
Rice Bowlz,PC Rice Bowlz,0,0,Aromatic Poprcorn Chicken rice bowl mixed with spicy gravy [serves 1],229.52
Rice Bowlz,Veg Rice Bowlz,1,0,Aromatic Veg rice bowl mixed with spicy gravy [serves 1],199.05
Rice Bowlz,Plain Rice Bowl,1,0,New Plain Rice Bowlz,139.05
Chicken Rolls,Double Chicken Roll Meal for 2,0,0,Save Rs. 23 with 2 KFC Double Chicken Roll with servings of 1 ... read more,548.57
Chicken Rolls,Classic Chicken Roll Meal for 2,0,0,2 units of The classic KFC Chicken Roll with servings of 1 Large ... read more,479.05
Chicken Rolls,Double Chicken Roll Meal for 1,0,0,Save Rs. 24 with a Double Chicken Roll with servings of 1 Large ... read more,379.05
Chicken Rolls,Classic Chicken Roll Meal for 1,0,0,Save Rs. 14 on a classic KFC Chicken Roll with servings of 1 ... read more,339.05
Chicken Rolls,2 Double Chicken Rolls,0,0,"2 Double Chicken Roll with double chicken strip filling, layerful parantha onions and ... read more",328.57
Chicken Rolls,2 Classic Chicken Rolls,0,0,"Save Rs. 10 on 2 Street Syle Roll with Layerful parantha, single chicken ... read more",228.57
Chicken Rolls,Double Chicken Roll & Pepsi Combo,0,0,"Double fun with double chicken strip filling, layerful parantha onions and two spicy ... read more",225.71
Chicken Rolls,Classic Chicken Roll & Pepsi Combo,0,0,"Street Syle Roll with Layerful parantha, single chicken strip, onions and two spicy ... read more",176.19
Chicken Rolls,Double Chicken Roll,0,0,"Double fun with double chicken strip filling, layerful parantha onions and two spicy ... read more",168.57
Chicken Rolls,Classic Chicken Roll,0,0,"Street style roll with single chicken strip, onions and two spicy sauce [1 ... read more",119.05
Value Snackers (Save upto 25%),Chicken Longer Burger & 2 Strips Combo,0,0,"Longgg burger with crunchy chicken, onions & a punchy sauce , served with ... read more",219.05
