Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Brunt Garlic Rice (250 Ml) + Manchurian Gravy (250 Ml),1,0,[ Brunt Garlic Rice (250 Ml) + Manchurian Gravy (250 Ml),199.0
Combos,Dal Fry (250 Ml) + Jeera Rice (250 Ml),1,0,[ Dal Fry (250 Ml) + Jeera Rice (250 Ml),199.0
Combos,Hakka Noodle (250 Ml) + Manchurian Gravy (250 Ml),1,0,[ Hakka Noodle (250 Ml) + Manchurian Gravy (250 Ml),199.0
Combos,Manchurian Gravy (250 Ml) + Veg Fried Rice (250 Ml),1,0,[ Manchurian Gravy (250 Ml) + Veg Fried Rice (250 Ml),199.0
Combos,Paneer Chilly (250 Ml) + Schezwan Rice (250 Ml),1,0,[ Paneer Chilly (250 Ml) + Schezwan Rice (250 Ml),249.0
Combos,Paneer Chilly Gravy (250 Ml) + Burnt Garlic Rice (250 Ml),1,0,[ Paneer Chilly Gravy (250 Ml) + Burnt Garlic Rice (250 Ml),249.0
Combos,Thai Curry (250 Ml) + Steam Rice (250 Ml),1,0,[ Thai Curry (250 Ml) + Steam Rice (250 Ml),219.0
Combos,Tob Special Biryani (250 Ml) + Raita + Papad Churi,1,0,[ Tob Special Biryani (250 Ml) + Raita + Papad Churi,199.0
Combos,Tob Special Dal Khichadi (250 Ml) + Curd + Papad Churi,1,0,[ Tob Special Dal Khichadi (250 Ml) + Curd + Papad Churi,199.0
Combos,Veg Fried Rice (250 Ml) + Veg Hakka Noodles (250 Ml),1,0,[ Veg Fried Rice (250 Ml) + Veg Hakka Noodles (250 Ml),199.0
Packed Meal [ THALI ],European Thali,1,0,Pink Sauce Pasta + Pesto Paneer + Sauté Vegetable + Italian Rice + ... read more,300.0
Packed Meal [ THALI ],Make Your Own Meal ( Thali ),1,0,Make your own special meal like any paneer sabji + veg sabji ... read more,300.0
Packed Meal [ THALI ],Mexican Thali,1,0,Mexican Rice + Mexican TitBit + Nachos Chips + Pesto Paneer + Indian ... read more,300.0
Packed Meal [ THALI ],Oriental Thali,1,0,Veg Hakka Noodles + Manchurian Gravy + Crispy Veg + Green Thai ... read more,300.0
Packed Meal [ THALI ],Pav Bhaji Thali,1,0,Pav Bhaji + Kachumber Salad + Veg Pulao + Papad Churi + Gulab ... read more,300.0
Packed Meal [ THALI ],Royal Special Thali,1,0,Paneer Sabji + Mix Veg Sabji + Butter Laccha Paratha + Dal Makhani ... read more,270.0
Packed Meal [ THALI ],Royal Thali,1,0,Paneer Sabji + Mix Veg Sabji +Tawa Chapati + Dal Tadka + Jeera ... read more,220.0
Tob Snacks,Dal Kachori(2pcs),1,0,,45.0
Tob Snacks,Desi Ghee Aloo Ki Tikki,1,0,,100.0
Tob Snacks,Extra Butter Pav,1,0,,20.0
Tob Snacks,Punjabi Samosa 2PC,1,0,,35.0
Tob Snacks,Extra Butter Kulcha,1,0,,30.0
Tob Snacks,Extra Bhature,1,0,"Crispy, fluffy bread paired with a classic, flavorful chickpea curry.",35.0
Tob Snacks,Dahi Papdi Chaat,1,0,"Fried and crispy papdi made freshly with topped with potatoes, chickpeas, chutneys, chaat ... read more",90.0
Tob Snacks,Samosa Chole [1 Pcs],1,0,,105.0
Tob Snacks,Banarasi Palak Patta Chaat,1,0,,90.0
Tob Snacks,Dahi Wada,1,0,An irresistibly creamy soothing dahi with crispy vada served fried to golden perfection.,90.0
Tob Snacks,Raj Kachori,1,0,"Crispy kachori is stuffed with boiled potatoes, yogurt, chutney and more, creating this ... read more",90.0
Tob Snacks,Tikki Chole,1,0,A delightfully flavor-packed dish with crispy aloo tikki; served along with flavorful chick ... read more,105.0
