Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Appetizer(200 Ml),Lassi (Salty),1,0,,99.0
Appetizer(200 Ml),Lassi (Sweet),1,0,,99.0
Appetizer(200 Ml),Mineral Water (Mrp+Sc),1,0,,20.0
Appetizer(200 Ml),Rajwadi Lassi,1,0,,140.0
Soup(300 Ml),Cream Of Tomato Soup,1,0,,160.0
Soup(300 Ml),Cream Of Veg. Soup,1,0,,160.0
Soup(300 Ml),Hot & Sour Soup,1,0,,160.0
Soup(300 Ml),Lemon Coriander Soup,1,0,,160.0
Soup(300 Ml),Manchow Soup,1,0,,160.0
Soup(300 Ml),Ministrone Soup,1,0,,155.0
Soup(300 Ml),Mushroom Soup,1,0,,160.0
Soup(300 Ml),Sweet Corn Soup(Plain),1,0,,155.0
Soup(300 Ml),Sweet Corn Veg .Soup,1,0,,155.0
Chainese Starter(350 Gm),Babycorn Chilly(Dry),1,0,,250.0
Chainese Starter(350 Gm),Crispy Veg.,1,0,,255.0
Chainese Starter(350 Gm),Mushroom Chilly,1,0,,260.0
Chainese Starter(350 Gm),Paneer 65,1,0,,270.0
Chainese Starter(350 Gm),Paneer Chilly (Dry),1,0,,270.0
Chainese Starter(350 Gm),Schezwan Manchurian(Dry),1,0,,250.0
Chainese Starter(350 Gm),Veg. 65,1,0,,255.0
Chainese Starter(350 Gm),Veg.Lolipop,1,0,,255.0
Chainese Starter(350 Gm),Veg.Manchurian(Dry),1,0,,245.0
Tandoor Starter(8 Pcs),Corn Tikki(Fried),1,0,,250.0
Tandoor Starter(8 Pcs),Paneer Hariyali Tikka,1,0,,270.0
Tandoor Starter(8 Pcs),Paneer Tikka Dry,1,0,,270.0
Tandoor Starter(8 Pcs),Veg.Hara Bhara Kabab(Fried),1,0,,250.0
Punjabi Dishes(350 Gm),Alu Mutter,1,0,,199.0
Punjabi Dishes(350 Gm),Alu Palak,1,0,,199.0
Punjabi Dishes(350 Gm),Baby Corn Butter Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Baby Corn Hara Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Baby Corn Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Chana Masala,1,0,,199.0
Punjabi Dishes(350 Gm),Chana Paneer,1,0,,220.0
Punjabi Dishes(350 Gm),Cheese Anguri(Sweet),1,0,,270.0
Punjabi Dishes(350 Gm),Cheese Butter Masala,1,0,,260.0
Punjabi Dishes(350 Gm),Cheese Corn Palak,1,0,,225.0
Punjabi Dishes(350 Gm),Cheese Corn Tomato,1,0,,225.0
Punjabi Dishes(350 Gm),Cheese Garlik Palak,1,0,,225.0
Punjabi Dishes(350 Gm),Cheese Palak,1,0,,220.0
Punjabi Dishes(350 Gm),Cheese Paneer Bt. Masala,1,0,,260.0
Punjabi Dishes(350 Gm),Corn Palak,1,0,,199.0
Punjabi Dishes(350 Gm),Dal Fry Butter,1,0,,160.0
Punjabi Dishes(350 Gm),Dal Fry,1,0,,150.0
Punjabi Dishes(350 Gm),Dal Palak,1,0,,160.0
Punjabi Dishes(350 Gm),Dal Tadka,1,0,,170.0
Punjabi Dishes(350 Gm),Dum Alu Punjabi,1,0,,230.0
Punjabi Dishes(350 Gm),Garlic Palak,1,0,,210.0
Punjabi Dishes(350 Gm),Green Peace Masala,1,0,,199.0
Punjabi Dishes(350 Gm),Kaju Balti,1,0,,260.0
Punjabi Dishes(350 Gm),Kaju Curry,1,0,,270.0
Punjabi Dishes(350 Gm),Kaju Handi,1,0,,260.0
Punjabi Dishes(350 Gm),Kaju Kadai,1,0,,260.0
Punjabi Dishes(350 Gm),Kaju Khoya (Sweet),1,0,,270.0
Punjabi Dishes(350 Gm),Kaju Navratna(Seweet),1,0,,260.0
Punjabi Dishes(350 Gm),Kaju Tawa,1,0,,260.0
Punjabi Dishes(350 Gm),Kashmiri Dum Alu (Sweet),1,0,,230.0
Punjabi Dishes(350 Gm),Mix Vegetable,1,0,,199.0
Punjabi Dishes(350 Gm),Mushroom Baby Corn Masala,1,0,,250.0
Punjabi Dishes(350 Gm),Mushroom Butter Masala,1,0,,245.0
Punjabi Dishes(350 Gm),Mushroom Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Mushroom Mutter Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Mushroom Paneer Masala,1,0,,250.0
Punjabi Dishes(350 Gm),Navratan Korma(Sweet),1,0,,249.0
Punjabi Dishes(350 Gm),Palak Mutter,1,0,,199.0
Punjabi Dishes(350 Gm),Plain Palak,1,0,,199.0
Punjabi Dishes(350 Gm),Sp. Kaju Mashroom Masala,1,0,,270.0
Punjabi Dishes(350 Gm),Sp. Veg. Topaz(Signature Dish),1,0,,260.0
Punjabi Dishes(350 Gm),Sp.Kaju Angara,1,0,,270.0
Punjabi Dishes(350 Gm),Sp.Kaju Butter Masala,1,0,,270.0
Punjabi Dishes(350 Gm),Sp.Kaju Masala,1,0,,270.0
Punjabi Dishes(350 Gm),Sp.Veg Anagara,1,0,,250.0
Punjabi Dishes(350 Gm),Sp.Veg Chatpata,1,0,,250.0
Punjabi Dishes(350 Gm),Sp.Veg Kheema Masala,1,0,,250.0
Punjabi Dishes(350 Gm),Sp.Veg. Handi,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg. Hydrabadi,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg. Kolhapuri,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg. Tawa Masala,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg. Toofani,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg.Kadai,1,0,,240.0
Punjabi Dishes(350 Gm),Sp.Veg.Patiyala,1,0,,240.0
Punjabi Dishes(350 Gm),Sukhi Bhaji,1,0,,199.0
Punjabi Dishes(350 Gm),Veg. Jaipuri,1,0,,240.0
Punjabi Dishes(350 Gm),Veg.Diwani Handi,1,0,,250.0
Punjabi Dishes(350 Gm),Veg.Lasuni,1,0,,250.0
Punjabi Dishes(350 Gm),Veg.Makhanwala,1,0,,240.0
Punjabi Dishes(350 Gm),Veg.Silsila,1,0,,250.0
Punjabi Dishes(350 Gm),Veg.Tawa Mahefil,1,0,,250.0
Kofta Dishes(350 Gm),Cheese Kofta,1,0,,250.0
Kofta Dishes(350 Gm),Italian Kofta,1,0,,250.0
Kofta Dishes(350 Gm),Kadai Kofta,1,0,,250.0
Kofta Dishes(350 Gm),Kaju Kofta,1,0,,260.0
Kofta Dishes(350 Gm),Kashmiri Kofta (Sweet),1,0,,250.0
Kofta Dishes(350 Gm),Malai Kofta,1,0,,250.0
Kofta Dishes(350 Gm),Nargis Kofta,1,0,,250.0
Kofta Dishes(350 Gm),Navratan Kofta,1,0,,260.0
Kofta Dishes(350 Gm),Veg. Kofta,1,0,,240.0
Paneer Dishes(350 Gm),Balti Paneer,1,0,,260.0
Paneer Dishes(350 Gm),Kaju Paneer,1,0,,260.0
Paneer Dishes(350 Gm),Palak Paneer,1,0,,250.0
Paneer Dishes(350 Gm),Paneer Bhurjee,1,0,,265.0
