Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cakes,Black Forest Cake,1,0,,550.0
Cakes,Pineapple Cake,1,0,,550.0
Cakes,Strawberry Cake,1,0,,550.0
Cakes,White Forest Cake,1,0,,550.0
Cakes,Chocolate Forest Cake,1,0,,550.0
Cakes,Choco Nutty Crunch Cake,1,0,,635.0
Cakes,Chocolate Delight Cake,1,0,,635.0
Cakes,Chocolate Chips Cake,1,0,,635.0
Cakes,Swiss Chocolate Cake,1,0,,635.0
Cakes,Black Gateau Cake,1,0,,635.0
Cakes,Chocolate Flakes Cake,1,0,,635.0
Cakes,Fall in Heaven Cake,1,0,,635.0
Cakes,Caramel Cake,1,0,,635.0
Cakes,Strawberry Chocolate Cake,1,0,,635.0
Cakes,Orange Chocolate Cake,1,0,,635.0
Cakes,Choco Universe Cake,1,0,,635.0
Cakes,Chocolate Dessert Cake,1,0,,635.0
Cakes,Silk Chocolate Cake,1,0,,635.0
Cakes,Mouth Filled Chocolate Cake,1,0,,635.0
Cakes,Roll Chocolate Cake,1,0,,635.0
Cakes,Choco Craving Cake,1,0,,635.0
Cakes,Rich Chocolate Cake,1,0,,635.0
Cakes,Kiwi Strawberry Cake,1,0,,635.0
Cakes,Chocolate Truffle Cake,1,0,,715.0
Cakes,Truffle Premium Cake,1,0,,715.0
Cakes,Almond Truffle Cake,1,0,,715.0
Cakes,Dutch Brownie Cake,1,0,,715.0
Cakes,Truffle Chips Cake,1,0,,715.0
Cakes,Forest Truffle Cake,1,0,,715.0
Cakes,Mousse Delight Cake,1,0,,715.0
Cakes,Brownie Delight Cake,1,0,,715.0
Cakes,Brownie Crumble Cake,1,0,,715.0
Cakes,Rocher Forest Cake,1,0,,715.0
Cakes,Rocher Flakes Cake,1,0,,715.0
Cakes,Premium Butterscotch Cake,1,0,,715.0
Cakes,Premium Black Currant Cake,1,0,,715.0
Cakes,Choco Ectacy,1,0,,715.0
Cakes,Chocolate Velvet Cake,1,0,,715.0
Cakes,Chocolate Crumbs Cake,1,0,,715.0
Cakes,Chocolate Marble Cake,1,0,,715.0
Cakes,Chocolate Crispe Cake,1,0,,715.0
Cakes,Choco Fudge Cake,1,0,,715.0
Cakes,Oreo Delight Cake,1,0,,715.0
Cakes,Frill Drops Chocolate Cake,1,0,,715.0
Cakes,Chocolate Basket Cake,1,0,,715.0
Cakes,White Basket Cake,1,0,,715.0
Cakes,Coffee Delight Cake,1,0,,715.0
Cakes,Mocha Delight Cake,1,0,,715.0
Cakes,Red Velvet Cake,1,0,,715.0
Cakes,Melting Blueberry Cake,1,0,,715.0
Cakes,Mango Magic Cake,1,0,,715.0
Cakes,Rose Gulkand Cake,1,0,,715.0
Cakes,Rasmalai Cake,1,0,,715.0
Cakes,Kitkat Delight Cake,1,0,,800.0
Cakes,Chocolate Almond Cake,1,0,,800.0
Cakes,German Basket Cake,1,0,,800.0
Cakes,German Belgium Chococlate Cake,1,0,,800.0
Cakes,Pistachio Chocolate Cake,1,0,,800.0
Cakes,Truffling Cake Cake,1,0,,800.0
Cakes,Rainbow Cake,1,0,,800.0
Cakes,Hazelnut Cake,1,0,,800.0
Cakes,Fresh Fruit Cake,1,0,,800.0
Cakes,Mawa Rabdi Cake,1,0,,800.0
Cakes,Sitafal Cake,1,0,,800.0
Cakes,Chocolate Rainbow Cake,1,0,,800.0
Cakes,Fererorochar Premium Cake,1,0,,800.0
Cakes,Donut Delight Cake,1,0,,800.0
Cakes,Heart Layered Chocolate Cake,1,0,,800.0
Cakes,Black Orange Chocolate Treat Cake,1,0,,800.0
Cakes,Nutella Cake,1,0,,800.0
Pastries,Black Forest Pastry,1,0,,95.0
Pastries,Pineapple Pastry,1,0,,95.0
Pastries,Strawberry Pastry,1,0,,95.0
Pastries,White Forest Pastry,1,0,,95.0
Pastries,Chocolate Forest Pastry,1,0,,95.0
