Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Breads,Sada Roti,1,0,,11.0
Breads,Tandoori Roti,1,0,,16.0
Breads,Butter Roti,1,0,,20.0
Accompaniments,Fry Papad,1,0,,26.0
Accompaniments,Roasted Papad,1,0,,20.0
Accompaniments,Masala Papad,1,0,,39.0
Starters & Biryani,Chicken 65,0,0,,169.0
Starters & Biryani,Boneless Chicken 65,0,0,,208.0
Starters & Biryani,Chicken Lollipop,0,0,,182.0
Starters & Biryani,Chicken Hyderabadi Rice,0,0,,351.0
Starters & Biryani,Chicken Tikka Rice,0,0,,221.0
