Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cakes,Pineapple Cake Round Shaped,1,0,,299.0
Cakes,Pineapple Cake Heart Shaped,1,0,Universal cake pineapple cake is also heart and round shape.,349.0
Cakes,Strawberry Cake Round Shaped,1,0,A strawberry pastry cake is typically a light cake with layers of sponge ... read more,299.0
Cakes,Strawberry Cake Heart Shaped,1,0,[Veg preparation]Strawberry pastry cake is a delightful dessert that combines the richness of ... read more,349.0
Cakes,Vanilla Cake Round Shaped,1,0,,299.0
Cakes,Vanilla Cake Heart Shaped,1,0,,349.0
Cakes,Kiwi Cake Round Shaped,1,0,,299.0
Cakes,Kiwi Cake Heart Shaped,1,0,,349.0
Cakes,Blueberry Round Shaped Cake,1,0,,299.0
Cakes,Blueberry Heart Shaped Cake,1,0,[Veg preparation],349.0
Cakes,Royal Chocolate Cake Round Shaped,1,0,,299.0
Cakes,Royal Chocolate Cake Heart Shaped,1,0,,349.0
Cakes,Black Forest Cake Round Shaped,1,0,,299.0
Cakes,Black Forest Cake Heart Shaped,1,0,,349.0
Cakes,White Forest Cake Round Shaped,1,0,,299.0
Cakes,White Forest Cake Heart Shaped,1,0,[Veg preparation],349.0
Cakes,Butter Scotch Cake Round Shaped,1,0,,299.0
Cakes,Red Velvet Cake Round Shaped,1,0,,699.0
Cakes,Red Velvet Cake Heart Shaped,1,0,[Veg preparation],749.0
Cakes,Rasmalai Cake,1,0,,549.0
Cakes,Doraemon Face Design Cake,1,0,,399.0
Cakes,Girl Face Design Cake,1,0,,280.0
Cakes,Cassata cake Round Shaped,1,0,,380.0
Cakes,Chocolate Chips Cake Round Shaped,1,0,,399.0
Cakes,Mickey Mouse Cake (1 KG),1,0,,650.0
Cakes,Matki Shaped Cake (1 KG),1,0,,650.0
Cakes,Barbie Doll Girl Cake (1 KG),1,0,,750.0
Cakes,Chocolate Flack Cake,1,0,[Veg preparation],349.0
Cakes,Oreo Forest Cake,1,0,,349.0
Cakes,Oreo KitKat Cake,1,0,,349.0
Cakes,Chocolate Pineapple Cake,1,0,,299.0
Cakes,Heart Shape Chocolate Vanilla Cake,1,0,,299.0
Cakes,Black Forest Oreo Cake,1,0,,349.0
Cakes,Chocolate Mud Cake,1,0,,299.0
Cakes,Strawberry Jelly Cake,1,0,,299.0
Cakes,Chocolate Delight Cake,1,0,,299.0
Cakes,Chocolate Swiss Cake,1,0,,299.0
Cakes,Strawberry Excess Cake,1,0,,299.0
Cakes,Orange Cake,1,0,[Veg preparation],349.0
Cakes,Mango Cake,1,0,,349.0
Cakes,The Chocolate Fantasy Cake,1,0,,299.0
Cakes,Baby Shower Special Cake,1,0,,349.0
Cakes,Chocolate Roses Heart Cake,1,0,,349.0
