Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Main Course,Aloo Mutter,1,0,,175.0
Main Course,Aloo Palak,1,0,,175.0
Main Course,Aloo Suki Bhaji,1,0,,180.0
Main Course,Baby Corn Masala,1,0,,240.0
Main Course,Chana Masala,1,0,,180.0
Main Course,Cheese Angoori (Sweet).,1,0,,220.0
Main Course,Cheese Kofta,1,0,,205.0
Main Course,Corn Palak,1,0,,190.0
Main Course,Dum Aloo,1,0,,185.0
Main Course,Kadai Kofta,1,0,,205.0
Main Course,Kaju Curry,1,0,,270.0
Main Course,Kaju Khoya (Sweet),1,0,,270.0
Main Course,Kaju Kofta,1,0,,210.0
Main Course,Kaju Mushroom,1,0,,220.0
Main Course,Mix Vegetable,1,0,,180.0
Main Course,Mushroom Masala,1,0,,240.0
Main Course,Mushroom Muttar Masala,1,0,,240.0
Main Course,Navratna Korma,1,0,,200.0
Main Course,Paneer Kofta,1,0,,205.0
Main Course,Plain Palak,1,0,,180.0
Main Course,Veg Alpha,1,0,[Chef's Special],215.0
Main Course,Veg Balti,1,0,,240.0
Main Course,Veg Deewani Handi,1,0,,245.0
Main Course,Veg Handi,1,0,,210.0
Main Course,Veg Hara Masala,1,0,,220.0
Main Course,Veg Haydrabadi,1,0,,220.0
Main Course,Veg Hungama.,1,0,,210.0
Main Course,Veg Jaipuri,1,0,,220.0
Main Course,Veg Kadai.,1,0,,210.0
Main Course,Veg Kheema Masala,1,0,,215.0
Main Course,Veg Kofta,1,0,,190.0
Main Course,Veg Kolhapuri,1,0,,220.0
Main Course,Veg Makhnwala,1,0,,200.0
Main Course,Veg Patiyala,1,0,,240.0
Main Course,Veg Tawa Masala,1,0,,210.0
Main Course,Veg Toofani,1,0,,220.0
Main Course,Cheese Butter Masala,1,0,,265.0
Main Course,Lasunia Palak,1,0,,220.0
Main Course,Paneer Balti,1,0,,260.0
Main Course,Paneer Bhurji,1,0,,260.0
Main Course,Paneer Butter Masala,1,0,,230.0
Main Course,Paneer Chatpata,1,0,,235.0
Main Course,Paneer Cheese Masala,1,0,,260.0
Main Course,Paneer Handi Masala,1,0,,250.0
Main Course,Paneer Hara Masala,1,0,,240.0
Main Course,Paneer Hungama,1,0,,235.0
Main Course,Paneer Kadai,1,0,,250.0
Main Course,Paneer Kaju Masala,1,0,,240.0
Main Course,Paneer Korma (Sweet),1,0,,235.0
Main Course,Paneer Lababdar (Sweet),1,0,,235.0
Main Course,Paneer Lasunia,1,0,,240.0
Main Course,Paneer Mushroom Masala,1,0,,245.0
Main Course,Paneer Mutter,1,0,,185.0
Main Course,Paneer Nizamee,1,0,,230.0
Main Course,Paneer Palak,1,0,,210.0
Main Course,Paneer Pasanda,1,0,,250.0
Main Course,Paneer Patiyala,1,0,,245.0
Main Course,Paneer Rajwadi,1,0,,235.0
Main Course,Paneer Shahi,1,0,,235.0
Main Course,Paneer Tawa Masala,1,0,,260.0
Main Course,Paneer Tikka Masala,1,0,,230.0
Main Course,Paneer Toofani,1,0,,240.0
Main Course,Sp.Cheese Begam Bahar,1,0,,285.0
Main Course,Sp.Paneer Alpha,1,0,,285.0
Main Course,Sp.Paneer Angara,1,0,,285.0
Main Course,Dal Fry',1,0,,155.0
Main Course,Dal Fry Butter,1,0,,165.0
Main Course,Dal Palak,1,0,,160.0
Main Course,Dal Tadka',1,0,,170.0
Main Course,Cheese Koftas,1,0,,235.0
Main Course,Kadhai Kofta,1,0,,235.0
Main Course,Kaju Koftas,1,0,,240.0
Main Course,Kashmiri Kofta [sweet],1,0,,205.0
Main Course,Malai Kofta [sweet],1,0,,205.0
Main Course,Nargis Kofta,1,0,,235.0
Main Course,Paneer Koftas,1,0,,235.0
