Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
IPL Specials,Kolkata Peri-Peri Riders,0,0,Peri Peri Fried Chicken Burger + African Peri Peri Regular + Choice Of ... read more,469.0
IPL Specials,Real Chicken Bangalore,0,0,Cheese Chicken Quarter Pounder Burger + African Peri Peri Regular + Choice Of ... read more,429.0
IPL Specials,Delhi Cheesy,1,0,Ultimate Snacker Burger + Cheese Nads 5pcs + Choice Of Drinks,399.0
IPL Specials,Punjab Rings,1,0,Cheesy Cheddar + Onion Rings + Choice Of Drink,399.0
IPL Specials,Gujarat Treasures,1,0,Crispy fries dusted with peri-peri spice,349.0
IPL Specials,Mumbai Indulgence,1,0,Peri- peri fries loaded with house special sauces and molten cheese,399.0
IPL Specials,Chennai Super Wings,0,0,"Best of both worlds, peri-peri dusted cripy fries and 8 pieces chicken wings",599.0
IPL Specials,Savoury Hyderabad,0,0,8 Pieces of peri-peri dusted boneless chicken wings,599.0
IPL Specials,Lucknow Super Gains,0,0,10 Cripsy fried chicken wings coated with spicy peri-peri seasoning,599.0
IPL Specials,The All Rounder,0,0,Grilled Chicken Burger + Chicken Quarter Pounder + 2 choice of Soft Drinks,589.0
IPL Specials,Rajasthan Redhot,0,0,Tandoori Chicken Breast + African Peri Peri Fries + Choice Of Drink,449.0
Burgrill Exclusive,Vegetarian Slider Box,1,0,A sharing box for our most loved vegetarian burgers (Choose any 3)1.Chilli cheese ... read more,439.0
Burgrill Exclusive,Non-vegetarian Slider Box,0,0,(Contains Chicken and Mutton) A sharing box for our most loved non - ... read more,459.0
Burgers,Southern State Burger,1,0,Brown bun - Potato patty - Onions - Chipotle mayo || Serving size ... read more,79.0
Burgers,Spicy Veggie Burger,1,0,Brown bun - Vegetable patty - Onions - Spicy sauce || Serving size ... read more,99.0
Burgers,Chilli Cheese Burger,1,0,Brown bun - Cheese burst patty - Chipotle mayo || Serving Size - ... read more,149.0
Burgers,Veggie B,1,0,Large brown bun - Classic veggie patty - Lettuce - Mint sauce || ... read more,179.0
Burgers,Ultimate Snacker Burger,1,0,Large brown bun - Spiced fries - Potato patty - Double cheese - ... read more,209.0
Burgers,Cheesy Cheddar Paneer Burger,1,0,Large brown bun - Grilled spiced paneer - Cheese - lettuce - Spicy ... read more,229.0
Burgers,Onion Ring Snacker Burger,1,0,Large brown bun - Onion rings - Potato patty - Double cheese - ... read more,229.0
Burgers,Beet-Shroom Burger,1,0,Large brown bun - Beetroot patty - sautéed mushrooms - lettuce - gouda ... read more,239.0
Burgers,Heavy Weight Burger,1,0,Large brown bun - Spinach corn patty - Cheese slice - Grilled paneer ... read more,259.0
Burgers,Chicken Steak Burger,0,0,Brown bun - Chicken patty - Lettuce - Mayo || Serving Size - ... read more,99.0
Burgers,Spiced Grilled Chicken Burger,0,0,Brown bun - Grilled chicken breast - Onions - OG Sauce || Serving ... read more,109.0
Burgers,Chicken Cheeseburger,0,0,Brown bun - Minced chicken patty - Creamy sauce || Serving Size - ... read more,129.0
Burgers,Grilled Chicken Burger,0,0,Large brown bun - Grilled chicken patty - Lettuce - OG sauce || ... read more,189.0
Burgers,Cheese Chicken Quarter Pounder Burger,0,0,Large brown bun - Chicken quarter pounder - Sautéed onions - Lettuce - ... read more,249.0
Burgers,BBQ Pulled Chicken Burger,0,0,Large brown bun - Pulled chicken cooked in BBQ sauce - Sliced onions ... read more,239.0
