Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Veg Combo Meal,1,0,Paneer Chilli Dry [Starter]+Vegetable Buddhas Delight[Main Course]+Veg Fried Rice [Main Course].,850.0
Combos,Dragon Chicken Combo,0,0,Dragon Chicken+Chicken Manchurian Gravy+Chicken Fried Rice,899.0
Soups,Chicken Clear Soup,0,0,,200.0
Soups,Chicken Noodles Soup,0,0,,200.0
Soups,Chicken Wonton Soup,0,0,,200.0
Soups,Chicken Burnt Garlic Soup,0,0,,200.0
Soups,Chicken Spicy Mongolian Soup,0,0,,200.0
Soups,Chicken Lemon Coriander Soup,0,0,,200.0
Soups,Chicken Thai Soup,0,0,,230.0
Soups,Chicken Five Treasure Soup,0,0,,200.0
Soups,Chicken Saiwoo Soup,0,0,,200.0
Soups,Chicken Hakka Soup,0,0,,200.0
Soups,Chicken Talumein Soup,0,0,,200.0
Soups,Chicken Hot and Sour Wonton Soup,0,0,,200.0
Soups,Chicken Lung Fung Soup,0,0,,200.0
Soups,Chicken Tum Yum Thong Soup,0,0,,200.0
Soups,Chicken Thai Tum Yum Soup,0,0,,200.0
Soups,Chicken Golden Dragon Special Soup,0,0,,210.0
Soups,Chicken Hot and Sour Soup,0,0,,200.0
Soups,Chicken Combination Soup,0,0,,200.0
Soups,Chicken Manchow Soup,0,0,,200.0
Soups,Chef Special Chicken Soup,0,0,,270.0
Soups,Chicken Sweet Corn Soup,0,0,,200.0
Soups,Chef Special Fish Soup,0,0,,270.0
Soups,Fish Meat Ball with Vegetable Soup,0,0,,270.0
Soups,Chef Special Prawns Soup,0,0,,270.0
Soups,Prawns Ginger Soup,0,0,,270.0
Soups,Prawns Garlic Soup,0,0,,270.0
Soups,Spicy Seafood Soup,0,0,[Spicy],270.0
Soups,Seafood Soup,0,0,,270.0
Soups,Mixed Seafood Thick Soup,0,0,Fish and prawns.,270.0
Soups,Veg Five Treasure Soup,1,0,,190.0
