Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Sweet,Agra Taj Petha 200G,1,0,"Soft, chewy, sweet cubes of pumkin, speciality of Tajmahal 200gms",60.0
Sweet,Kaju Chocolate Laddu 500 Gm,1,0,,635.0
Sweet,Rasgulla 2 PC,1,0,,49.0
Sweet,Gulab Jamun 2 PC,1,0,,49.0
Sweet,Milk Cake 250 Gm (No Added Sugar),1,0,,215.0
Sweet,Assorted Chikki 400 Gm,1,0,,200.0
Sweet,Haldiram's Special Jalebi (Desi Ghee),1,0,,150.0
Sweet,Lachha Fenni 500 Gm,1,0,,190.0
Sweet,Orange Burfee 125 Gm,1,0,,90.0
Sweet,Assorted Khaleji 120 Gm,1,0,Dates stuffed with dry fruits 120gms,185.0
Sweet,Besan Ladoo 250 Gm,1,0,"Wholesome besan roasted in pure desi ghee, and shaped into delicious dessert balls ... read more",175.0
Sweet,Besan Ladoo 500 Gm,1,0,"Wholesome besan roasted in pure desi ghee, and shaped into delicious dessert balls ... read more",340.0
Sweet,Boondi Ladoo 500 Gm,1,0,"Golden pearls of gram flour cooked in pure desi ghee, with cashews and ... read more",310.0
Sweet,Desi Ghee 500 Ml Tin,1,0,Desi ghee 500 ml tin,323.0
Sweet,Dodha Burfee 500 Gm,1,0,"Thick, creamy milk fudge made with desi ghee, generously topped with shredded coconut ... read more",400.0
Sweet,Dodha Burfee 250Gm,1,0,"Thick, creamy milk fudge made with desi ghee, generously topped with shredded coconut ... read more",200.0
Sweet,Gulab Jamun 12 Pc,1,0,"These divine bits of sweet khoya, soaked in cardamom and flavoured in sugar ... read more",310.0
Sweet,Gulab Jamun 6 Pc,1,0,"These divine bits of sweet khoya, soaked in cardamom and flavoured in sugar ... read more",147.0
Sweet,Gulab Jamun 1 Kg Tin,1,0,"These divine bits of sweet khoya, soaked in cardamom and flavoured in sugar ... read more",225.0
Sweet,Kaju Chocolate Ladoo 250 Gm,1,0,New avatar of ladoo is here - fine cashews and decadent chocolate rolled ... read more,320.0
Sweet,Kaju Katli 250 Gm,1,0,Smooth and creamy diamond-shaped slices of royal cashew goodness. Haldiram's Kaju Katli is ... read more,272.0
Sweet,Kaju Katli 500Gm,1,0,Smooth and creamy diamond-shaped slices of royal cashew goodness. Haldiram's Kaju Katli is ... read more,535.0
Sweet,Sp. Kesheri Peda 250 Gm,1,0,Kesheri peda 250 gm 250 gm,190.0
Sweet,Khajur DRY Fruit Burfee 250 Gm,1,0,Khajur Dry Fruits Burfee will delight everyone's taste buds with the unique taste ... read more,290.0
Sweet,Mathura Peda 250 Gm,1,0,Mathura Peda – a classic Indian sweet made with milk solids and sugar. very ... read more,190.0
Sweet,Milk Cake 250 Gm,1,0,"A classic Indian Sweet , Prepared with milk and sugar , enriched with ... read more",195.0
Sweet,Milk Cake 500Gm,1,0,"A classic Indian Sweet , Prepared with milk and sugar , enriched with ... read more",380.0
Sweet,Mix Baklava 150Gm,1,0,"Baklava is a delicious, flaky dessert made with thin sheets of dough soaked ... read more",150.0
Sweet,Moti Choor Ladoo 250 Gm,1,0,"Besan bits and chopped dry fruits, cooked in desi ghee shaped round ladoos,flavoured ... read more",175.0
Sweet,Mysore Pak 250Gm,1,0,"Complex flavours and simple textures are combined in this classic Mysore Pak recipe, ... read more",188.0
Sweet,Mysore Pak 500 Gm,1,0,"Complex flavours and simple textures are combined in this classic Mysore Pak recipe, ... read more",365.0
Sweet,Assorted Peda 500,1,0,"An assortment of bite-sized treats made with luscious dry fruits, these squares are ... read more",375.0
Sweet,Rajasthani Pedha 250 Gm,1,0,"A Rajasthani sweet infused with the richness of tradition , goodness of condensed ... read more",190.0
Sweet,Rajasthani Pedha 500 Gm,1,0,"A Rajasthani sweet infused with the richness of tradition , goodness of condensed ... read more",370.0
Sweet,Rasgulla 12 Pc,1,0,"Juicy, fluffy, indulgent treats of rasgulla soaked in sugar syrup. 12 PC",310.0
Sweet,Rasgulla 6 Pc,1,0,"Juicy, fluffy, indulgent treats of rasgulla soaked in sugar syrup. 6 PC",147.0
Sweet,Shrikhand 100Gm,1,0,"Shrikhand is a semi soft, sweetish sour, whole milk product prepared from lactic ... read more",28.0
Sweet,Sp Malai Pedha 250 Gm,1,0,"""Malai Peda is one of the famous Indian mithai (dessert). These soft melt ... read more",185.0
Sweet,Strawerry Delight 125Gm,1,0,Strawerry delight 125gm 125gm,175.0
Sweet,Atta Laddu 250 Gm,1,0,Atta Laddu Delicious and mouth watering sweets from the house of Haldiram's 250 ... read more,160.0
Sweet,Roasted Chana Ladoo 250 Gm,1,0,Roasted Channa Laddu Delicious and mouth watering sweets from the house of Haldiram's ... read more,160.0
Sweet,Assorted Dryfruit Bites 350 Gm,1,0,"An assortment of bite-sized treats made with luscious dry fruits, these squares are ... read more",480.0
Sweet,Mava Chocolate Roll,1,0,,1150.0
Sweet,Kaju Soan Cake 250Gm,1,0,"Kaju Soan Cake as soft as melt-in-mouth,flavorful and nutritious delight made from handpicked ... read more",300.0
Sweet,Chery Delight 175Gm,1,0,Chery Delight 175gm,175.0
Holi Combos,Mawa Gujiya 180 Gm,1,0,"Fresh and Authentic Gujiya, Hygienically prepared from the premium quality Ingredients.",145.0
Loose Sweets,Mango Dryfruit Bite 1 Kg,1,0,,1294.0
Loose Sweets,Blueberry Dryfruit Bite 1 Kg,1,0,,1294.0
Loose Sweets,Pineapple Dryfruit Bite 1 Kg,1,0,,1294.0
Loose Sweets,Sp.Kanpuri Laddu 1 Kg,1,0,"A sweet from Kanpur, India, made with roasted gram flour, ghee, sugar, and ... read more",189.0
Loose Sweets,Balu Shahi Loose,1,0,""" Balu Shahi is a round, deep-fried North Indian sweet made from flour, ghee, ... read more",178.0
Namkeens,Ratlami Sev 200 Gm,1,0,,47.0
Namkeens,Loose Bhujia Sev 500gm,1,0,,175.0
Namkeens,Mixture 200 Gm,1,0,"Haldiram's chatpata namkeen mixture is made with crunchy peanuts, roasted green peas, and ... read more",45.0
Namkeens,Dal Biji 200 Gm,1,0,,50.0
Namkeens,Gathiya 200gm,1,0,,45.0
Namkeens,Chana Nuts 200Gm,1,0,"""Chana Nuts is a low-calorie snack. A healthy snack you can munch on ... read more",50.0
Namkeens,Falhari Chiwda 200 Gm,1,0,"""A wholesome mix of fried potato sticks, crunchy peanuts and Haldiram's trademark masala, ... read more",47.0
Namkeens,Moong Dal 200Gm,1,0,Split moong beans coated in a delectable selection of spices. An all-time flavourite ... read more,55.0
Namkeens,Aloo Bhujia 200Gm Tube,1,0,The ultimate comfort snack - spicy potato and besan noodles that will keep ... read more,60.0
Namkeens,Khata Metha 200Gm Tube,1,0,"Deliciously sweet and sour, this mix of fried green peas, boondi, lemon sev ... read more",50.0
Namkeens,Spicy Peant 200Gm Tube,1,0,"it is a tangy snack made with peanuts, covered with a gram four ... read more",60.0
Namkeens,Chana Jor Gram 200Gm Tube,1,0,CHANA JOR GRAM 200GM tub .,60.0
Namkeens,Chatpatadal 200Gm Tube,1,0,Chatpata Dal is a classic Haldiram's snack that is equal parts tangy and ... read more,60.0
Namkeens,Rice Kadubale 150Gm,1,0,Rice kadubale 150gm,80.0
Namkeens,Spicy Mix 150Gm,1,0,Spicy mix 150gm,80.0
Packmate,Chocolate Tokani300,1,0,Chocolate tokani300,300.0
Packmate,Assorted Delight Gift Pack (16 Piece),1,0,,650.0
Packmate,Chocolate Tokani 600,1,0,Chocolate tokani 600,600.0
Bengali sweets,Indrapuri,1,0,Indrapuri Delicious and mouth watering Bengali sweets from the house of Haldiram's,40.0
Bengali sweets,Gud Laccha Rabdi 90 Gm,1,0,,60.0
Bengali sweets,Rasgulla Wet (Gila),1,0,,51.0
