Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Accompaniments,Special Classic Lassi,1,0,Special classic lassi.,90.0
Accompaniments,Sweet Lassi,1,0,,70.0
Accompaniments,Buttermilk,1,0,,30.0
Accompaniments,Masala Chaas,1,0,,40.0
Accompaniments,Plain Dahi,1,0,,75.0
Accompaniments,Boondi Raita,1,0,,79.0
Accompaniments,Pineapple Raita,1,0,,85.0
Accompaniments,Veg Raita,1,0,,79.0
Accompaniments,Tomato Salad,1,0,,85.0
Accompaniments,Green Salad,1,0,,90.0
Accompaniments,Masala Papad,1,0,,55.0
Accompaniments,Fried Papad,1,0,,35.0
Accompaniments,Roasted Papad,1,0,,20.0
Soups,Cream of Tomato Soup,1,0,"A rich tangy & cream tomato soup, served with golden fried croutons.",159.0
Soups,Veg Sweet Corn Soup,1,0,,159.0
Soups,Veg Manchow Soup,1,0,"All time favorite Chinese soup made with soya sauce, chillies, veggies & topped ... read more",159.0
Soups,Veg Hot & Sour Soup,1,0,Spicy Chinese vegetable broth soup with delicious flavors of Chinese sauce.,159.0
Soups,Veg Mushroom Soup,1,0,[Jain Preparation] A mushroom broth seasoned with herbs & some sauce.,159.0
Pizza,Mushroom Cheese Pizza [7 inches],1,0,Mushroom with some spicy sauce and a lots of cheese.,209.0
Pizza,French Fries,1,0,Figure chips,119.0
Starters,Paneer Tikka Dry,1,0,Cube of paneer marinated in aromatic spices & grilled in tandoori to give ... read more,340.0
Starters,Veg Manchurian Dry,1,0,"An exotic Indo Chinese made of mixed vegetables ball, deep fried & cooked ... read more",219.0
Starters,Veg 65 Dry,1,0,[Jain Preparation] Crispy crunchy deep fried veg fingers tossed in tangy Indo Chinese ... read more,219.0
Starters,Paneer Chilli Dry,1,0,"A creamy, spicy & tangy pepper soup with chunks of tomato.",279.0
Starters,Paneer Manchurian Dry,1,0,"A deep fried veggies ball & paneer cubes cottage mixed with onion, capsicum ... read more",269.0
Starters,Paneer 65 Dry,1,0,All time favorite Chinese starter Mongolian is paneer cubes with deep fried aromatic ... read more,279.0
Starters,Mushroom Chilli Dry,1,0,"Bottom mushroom deep fried in oil mixed aromatic with onion, capsicum veggies & ... read more",279.0
Starters,Hara Bhara Kebab Dry,1,0,Hara bhara kebab dry.,229.0
Starters,Veg Spring Roll,1,0,,229.0
