Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Snacks and Chaat,Punjabi Samosa,1,0,,45.0
Snacks and Chaat,Special Nylon Fafda,1,0,,120.0
Snacks and Chaat,Vagharela Khaman,1,0,,75.0
Snacks and Chaat,Methi Na Gota,1,0,,100.0
Snacks and Chaat,Special Jain Rajwadi Samosa,1,0,,70.0
Snacks and Chaat,Special Lilva Kachori,1,0,Lilva ni kachori is delicious winter snack made with green peas and tuvar.,130.0
Snacks and Chaat,Special Cheese Paneer Samosa,1,0,"Samosa stuffed with cheese, capsicum chilli and paneer.",70.0
Snacks and Chaat,Onion Tikki Bhajiya,1,0,,100.0
Snacks and Chaat,Dal Kanda Samosa,1,0,10-11 Pieces In 250 Gms,100.0
Snacks and Chaat,Chinese Samosa,1,0,,60.0
Snacks and Chaat,Crunchy and Crispy Patra,1,0,,150.0
Snacks and Chaat,Special Masala Khaman,1,0,,80.0
Snacks and Chaat,Nylon Khaman,1,0,,75.0
Snacks and Chaat,Batata Puri,1,0,,100.0
Snacks and Chaat,Tameta Puri,1,0,,130.0
Snacks and Chaat,Dal Vada,1,0,"Dal vada [13 vada, 250 grams].",100.0
