Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Mango Specials,Eggless Fresh Mango & Custard Cake [1/2kg],1,0,"Fresh mango pieces, mango diplomat cream and mango jam layered on vanilla sponge, ... read more",650.0
Mango Specials,Eggless Mango Baked Cheesecake [1/2kg],1,0,"Mango and vanilla cheesecake marbled and baked on a biscuit base, with a ... read more",775.0
Mango Specials,Mango & Baked Yoghurt Cup [100g],1,0,"Baked yoghurt with a mango glaze, garnished with whipped cream & a dice ... read more",175.0
Mango Specials,Fresh Mango Tart [1 Piece],1,0,"Sweet tart shell, filled with house-made mango jam, vanilla sponge and topped with ... read more",150.0
Cakes,Strawberry Custard Cake [1/2kg],1,0,"Strawberry jam and custard cream layered between soft vanilla sponge, decorated with strawberry ... read more",500.0
Cakes,Eggless Rich Chocolate Cake [1/2kg],1,0,A traditional cake made by layering chocolate sponge with rich and smooth chocolate ... read more,595.0
Cakes,Eggless Choco-Vanilla Oreo Cake [1/2kg],1,0,"A house-made Oreo & chocolate spread, an Oreo & vanilla cream and a ... read more",530.0
Cakes,Eggless Butterscotch & Milk Chocolate Cake [1/2kg],1,0,"A moist butterscotch cake made with vanilla cream, house-made butterscotch sauce, crunchy butterscotch, ... read more",595.0
Cakes,Eggless Black Forest Cake [472g],1,0,"A classic cake with layers of chopped cherries, whipped cream & chocolate sponge, ... read more",625.0
Cakes,Eggless Dutch Truffle Cake [1/2kg],1,0,Dark chocolate ganache with chocolate sponge.,625.0
Cakes,Eggless Fresh Cream Pineapple Cake [1/2kg],1,0,Fresh cream cake with home made pineapple compote.,650.0
Cakes,Chocoholic Cake [1/2kg],1,0,"Three layers of chocolate mousse: white, milk and dark chocolate mousse layered in ... read more",725.0
Cakes,Hazelnut Praline Mousse Cake [1/2kg],1,0,"Homemade Hazelnut praline, chocolate mousse sandwiched between chocolate sponge cake and covered with ... read more",800.0
Cakes,Eggless Dutch Truffle Cake [1kg],1,0,Dark chocolate ganache with chocolate sponge.,1250.0
Pastries,Strawberry Custard Pastry [1 Piece],1,0,"Strawberry jam and custard cream layered between soft vanilla sponge, decorated with strawberry ... read more",100.0
Pastries,Eggless Choco-Vanilla Oreo Pastry [1 Piece],1,0,"A house-made Oreo & chocolate spread, an Oreo & vanilla cream and a ... read more",113.0
Pastries,Eggless Rich Chocolate Pastry [1 Piece],1,0,"Chocolate sponge layered with rich and smooth chocolate cream, and decorated with dark ... read more",125.0
Pastries,Eggless Butterscotch & Milk Chocolate Pastry [1 Piece],1,0,"Moist butterscotch pastry made with vanilla cream, homemade butterscotch sauce, crunchy butterscotch ... read more",120.0
Pastries,Black Forest Pastry [1 Piece],1,0,"Traditional Black Forest pastry made with cherries, vanilla and chocolate cream layered between ... read more",130.0
Pastries,Eggless Dutch Truffle Pastry [1 Piece],1,0,Dark chocolate ganache with chocolate sponge.,130.0
Pastries,Eggless Fresh Cream Pineapple Pastry [1 Piece],1,0,Fresh cream cake with home made pineapple compote.,135.0
Pastries,Chocoholic Pastry [1 Piece],1,0,"Three layers of chocolate mousse: white, milk and dark chocolate mousse.",150.0
Pastries,Hazelnut Praline Mousse Pastry [1 Piece],1,0,"Homemade Hazelnut praline, chocolate mousse sandwiched between chocolate sponge cake and covered with ... read more",170.0
Brownies,Eggless Outrageous Chocolate Brownie [1 Piece],1,0,Outrageous eggless brownie is loaded with chocolate and made with flax seeds and ... read more,120.0
Brownies,Eggless Walnut Brownie [1 Piece],1,0,Eggless chocolate brownie topped with toasted walnuts.,110.0
Brownies,Eggless Millionaire Brownie [1 Piece],1,0,Soft buttery caramel sandwiched between our chocolate chip brownie and layer of dark ... read more,120.0
Brownies,Eggless Choco Chip Brownie [1 Piece],1,0,Eggless Chocolate brownie with chocolate chips.,110.0
Brownies,Eggless Cookie Brownie [1 Piece],1,0,"Eggless chocolate chip brownie base, topped with a layer of chocolate chip cookie ... read more",110.0
Brownies,Eggless Nutella Brownie [1 piece],1,0,"Eggless chocolate brownie topped with homemade hazelnut praline, hazelnut chunks & nutella.",120.0
Brownies,Assorted Eggless Brownies Box [6 Pcs],1,0,"An assortment of signature Theobroma eggless brownies - Walnut brownie (1), Choco Chip ... read more",660.0
Brownies,Assorted Eggless Brownies Box [9 Pcs],1,0,"An assortment of signature Theobroma eggless brownies - Walnut Brownies (2), Choco Chip ... read more",1020.0
Brownies,Assorted Eggless Brownies Box [12 Pcs],1,0,"An assortment of signature Theobroma eggless brownies - Walnut brownies (2), Choco Chip ... read more",1320.0
Desserts & Cupcakes,Chocolate & Hazelnut Cupcake [1 Piece],1,0,Dense chocolate cupcake filled with chocolate hazelnut spread & topped with hazelnut buttercream ... read more,120.0
Desserts & Cupcakes,Vanilla & Blueberry Cupcake [1 Piece],1,0,Moist & fluffy vanilla cupcake filled with blueberry jam & topped with blueberry ... read more,120.0
Desserts & Cupcakes,Red Velvet Cupcake [1 Piece],1,0,Moist red velvet cupcake with lemon cream cheese frosting.,120.0
Desserts & Cupcakes,Chocolate Cupcake [1 Piece],1,0,Chocolate cupcake with chocolate buttercream frosting.,120.0
Desserts & Cupcakes,Chocolate Mousse Cup [100g],1,0,Light and cream chocolate mousse.,155.0
Desserts & Cupcakes,Chocolate Tart [1 Piece],1,0,Thick chocolate ganache in a tart.,170.0
Desserts & Cupcakes,Tiramisu Cup [110g],1,0,"Traditional mascarpone cream layered on a coffee-flavored vanilla cake, topped with Belgian cocoa ... read more",175.0
Desserts & Cupcakes,Assorted Cupcakes Box [4 Pcs],1,0,"An assortment of signature Theobroma cupcakes - Eggless chocolate cupcake (1), Eggless Red ... read more",480.0
Sandwiches & Savouries,Spicy Paneer Roll [1 Piece],1,0,Soft turmeric flavoured bread with paneer filling.,60.0
Sandwiches & Savouries,Spicy Paneer Puff [1 Piece],1,0,"Baked laminated puff pastry with a spicy paneer filling,",65.0
Sandwiches & Savouries,Paneer Junglee Sandwich [100g],1,0,"Grated fresh malai paneer with fresh mint, ketchup, chilly, coriander & cheese mashed ... read more",100.0
Croissants & Danishes,Butter Croissant [1 Piece],1,0,Flaky pastry laminated with butter.,90.0
Croissants & Danishes,Pain Au Chocolat [1 Piece],1,0,Chocolate folded between flaky Danish pastry dough.,105.0
Matchday Combos @15% OFF,Choice of Croissant/Danish + Choice of Beverage,1,0,Any croissant/danish & beverage of choice,230.0
Matchday Combos @15% OFF,Choice of Eggless Brownie + Choice of Beverage,1,0,Any eggless brownie & beverage of choice,250.0
Matchday Combos @15% OFF,Choice of Eggless Pastry + Choice of Beverage,1,0,Any eggless pastry & beverage of choice,270.0
Matchday Combos @15% OFF,Choice of Veg Sandwich/Savoury + Choice of Beverage,1,0,Any veg sandwich/savoury & beverage of choice,200.0
Matchday Combos @15% OFF,Choice of Dessert/Cupcake + Choice of Beverage,1,0,Any eggless dessert/cupcake & beverage of choice.,260.0
Matchday Combos @15% OFF,Choice of Beverage + Eggless Brownie + Veg Sandwich/Savoury,1,0,"Any beverage, eggless brownie & veg sandwich/savoury of choice.",310.0
Matchday Combos @15% OFF,Choice of Beverage + Eggless Pastry + Veg Sandwich/Savoury,1,0,"Any beverage, pastry & veg sandwich/savoury of choice.",330.0
