Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Biryani,Special Chicken Dum Biryani,0,0,Richly flavored aromatic rice and marinated chicken cooked in dum style in a ... read more,234.0
Combos,Red Chicken with Chicken 65 [250 grams],0,0,Red Chicken [A delightfully flavor-packed combo of mouthwatering red chicken]+Chicken 65+Chutney,549.0
Combos,Chicken Tangdi with Chicken Lollipop,0,0,A flavour packed combo of chicken tangdi kebab with bone and a hot ... read more,579.0
Combos,Chicken Boneless with Chicken Kaleji,0,0,,459.0
Starters,Chicken 65 [250 grams],0,0,Succulent chicken chunks dipped in a seasoned batter and fried to golden perfection ... read more,270.0
Starters,Red Chicken,0,0,Spicy red coconut milk gravy with protein rich chicken.,270.0
Starters,Green Chicken,0,0,,270.0
Starters,Chicken Leg Fry,0,0,Cooked on the stovetop by marinating the chicken drumsticks in some spices.,270.0
Starters,Chicken Chest Fry,0,0,,270.0
Starters,Chicken Tangdi,0,0,A flavour packed combo of chicken tangdi with curd and herbs marinated over ... read more,290.0
Starters,Chicken Lollipop,0,0,A hot and spicy appetizer made with drummettes or whole chicken wings.,290.0
Starters,Chicken Boneless,0,0,Chunks of grilled chicken [tandoori chicken] cooked in a smooth buttery and creamy ... read more,290.0
Starters,Chicken Khaleji,0,0,Made with chicken liver. A little something different from traditional curry recipes.,135.0
Starters,Leg Piece,0,0,A chicken leg or drumstick kabab made by marinating the leg pieces in ... read more,245.0
Starters,Chicken Tikka Roasted [7 Pieces],0,0,,290.0
Starters,Special Chicken Cheese Leg,0,0,,310.0
Starters,Special Chicken Cheese Tikka [8 Pieces],0,0,,310.0
Starters,Chicken Satpuda,0,0,,175.0
