Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
IPL Special,Combo 3,1,0,"Mojito, Fresh Lime Soda, Tandoori Paneer S/w, Vol u Vent Pie, Coffee Toffee ... read more",700.0
Cakes,Black Forest,1,0,"Black Forest Cake consists of layers of chocolate sponge with grated chocolate, whipped ... read more",375.0
Cakes,Brownie Ala Mode,1,0,"Gooey brownie cake and truffle mixed, topped with chocolate sponge, and finished with ... read more",775.0
Cakes,Choco Ecstacy Cake,1,0,Chocolate sponge with chocolate ganache and chocolate chips. Coated with chocolate sponge crumbs ... read more,495.0
Cakes,Choco Vanilla Cake,1,0,"Chocolate sponge with layers of eclair chococlate ganache and vanilla cream, with an ... read more",390.0
Cakes,Chocolate Caramel Cake,1,0,"Chocolate sponge, with a thin layer of fresh cream, caramel sauce, and sprinkled ... read more",525.0
Cakes,Chocolate Nutties Cake,1,0,Chocolate sponge with chocolate mousse loaded with nutties.,750.0
Cakes,Death By Chocolate Cake,1,0,"Four layered cakes with the base of brownie, tiered with chocolate sponge, filled ... read more",990.0
Cakes,Dutch Truffle Cake,1,0,Chocolate sponge layered with rich chocolate truffle. It's a no cream cake but ... read more,495.0
Cakes,Ferrero Rocher And Nutella,1,0,Chocolate sponge with Nutella cream and pieces of hazelnut. Garnished with rocher pieces.,660.0
Cakes,German Chocolate Cake,1,0,"Layers of moist chocolate sponge, chocolate mousse, and pure chocolate truffle, tasting rich ... read more",495.0
Cakes,Rich Choco Mousse Cake,1,0,Chocolate sponge with the rich mousse cream.,450.0
Cakes,Triple Truffle Cake,1,0,A four layered cake with different flavours in each layer. The initial layer ... read more,690.0
Cakes,Blueberry Cake,1,0,Moist vanilla sponge coated with the blueberry cream and topped with the blueberry ... read more,500.0
Cakes,Fresh Fruit Cake,1,0,"Moist vanilla sponge, layered with fresh cream, loaded with fresh seasonal fruits.",1000.0
Cakes,Pineapple Cake,1,0,"A homemade style, soft vanilla sponge with pieces of pineapple. Garnished with pineapple ... read more",375.0
Cakes,Fancy Cake,1,0,"A chocolate mousse cake shaped into a mouse, bee, teddy & coffee mug ... read more",580.0
Cakes,Red Velvet Frost Cake,1,0,"Red Velvet Sponge layered with cream cheese, topped with red velvet crumbs.",550.0
Cakes,Butterscotch Cake,1,0,"Cake layered with butterscotch cream to provide a rich, gooey texture and with ... read more",385.0
Cakes,Chocolate Chip Sponge,1,0,,250.0
Cakes,Gud Aata Sponge,1,0,,550.0
Cakes,Marble Sponge,1,0,,250.0
Cakes,Vanilla Sponge,1,0,,235.0
Patesserie,Chocolate Sandwich,1,0,Belgium Mousse Sandwiched in Dark Chocolate sponge soaked in rich truffle added with ... read more,200.0
Patesserie,Coffee Toffee Trio Pastry,1,0,,120.0
