Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Scoops,Bean Vanilla,1,0,There'S Nothing Plain About This Vanilla Icecream. Carefully Crafted With A Blend Of ... read more,66.95
Scoops,Strawberry,1,0,Rich And Creamy Strawberry Icecream Made With Organic Strawberries Picked From The Fields ... read more,66.95
Scoops,Milk Mango,1,0,Mangoes From Iceberg Organic Farms Grown Using Jeevamrutham Are The Flag Bearers Of ... read more,75.42
Scoops,Chocolate Chips,1,0,Delicious Organic Dark Choco Chips From Pasha Chocolate Company And Organic Chocolate From ... read more,75.42
Scoops,Chickoo,1,0,Fleshy Brown Sapota/Chickoo Procured From The Organic Certified Fields Of Nashik Goes Into ... read more,83.9
Scoops,Vanilla Caramel Brownie,1,0,Brownies Made With All Organic Ingredients In Our Kitchen Are Added To Our ... read more,83.9
Scoops,Caramel Nuts,1,0,Caramel Sauce Made With Organic Sugar And Organically Certified Nuts Blended To Perfection. ... read more,83.9
Scoops,Jaggery Almond,1,0,Organic Jaggery From Sugarcane Fields Of Haridwar And Organic Californian Almonds Are Combined ... read more,83.9
Scoops,Red Velvet,1,0,"Red Velvet Cakes Made In Our Kitches Using Organic Cocoa, Organic Buttermilk And ... read more",83.9
Scoops,Malai Kulfi,1,0,Ever Traditional And Popular Desi Malai Kulfi Made With All Organic Ingredients. (Our ... read more,83.9
Scoops,Black Currant,1,0,True Black Currants Are Procured From Himalayan Range For The Authentic Dark Berry ... read more,83.9
Scoops,Tender Coconut,1,0,It'S By Nature The Purest Foods Of All.All Coconuts Are Organic By Nature.(Our ... read more,83.9
Scoops,Honeymoon Delight,1,0,,83.9
Scoops,Cookies And Cream,1,0,,83.9
Scoops,Belgian Dark Chocolate,1,0,Only Organic Dark Chocolate Form Belgium Goes Into Making Of This Dark And ... read more,92.37
Scoops,Nutella Blend,1,0,"Organic Hazelnuts, Organic Cocoa, Organic Butter And Organic Sugar Forms This Lip Licking ... read more",92.37
Scoops,Guava Fruit,1,0,Organic Fleshy And Pink Gauvas From Tamilnadu Forms The Base Of The Grainy ... read more,92.37
Scoops,Sitaphal,1,0,"Creamy ,Organic And Pulpy Sitaphals From Beed Farms Are Used In Making This ... read more",92.37
Scoops,Sugarfree Nutty Vanilla,1,0,Our Classic Organic Vanilla Bean Icecream Is Made Using Stevia Leaves Instead Of ... read more,100.85
Scoops,Choco Brownie Fudge,1,0,,109.32
Scoops,Apricot Delight,1,0,Organic Jackfruits sourced from the misty woods of wayanad goes into the making ... read more,117.8
Scoops,Charcoal,1,0,The Ashes Of Burnt Coconut Shell Mixed With Caramel Sauce Forms The Base ... read more,143.22
Scoops,Lotus Biscoff,1,0,,117.8
