Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Fries & Sides,Fries (Large),1,0,"World Famous Fries, crispy, golden, lightly salted and fried to perfection! Also known ... read more",139.05
Fries & Sides,Fries (Medium),1,0,"World Famous Fries, crispy, golden, lightly salted and fried to perfection! Also known ... read more",119.05
Fries & Sides,Fries (Regular),1,0,"World Famous Fries, crispy, golden, lightly salted and fried to perfection! Also known ... read more",78.1
Fries & Sides,Veg Pizza McPuff,1,0,"Crispy brown crust with a generous filling of rich tomato sauce, mixed with ... read more",60.95
Coffee & Beverages (Hot and Cold),Cappuccino Coffee (S),1,0,"A refreshing espresso shot of 100% Arabica beans, topped with steamed milk froth. ... read more",164.76
Coffee & Beverages (Hot and Cold),Cappuccino Coffee (R),1,0,"A refreshing espresso shot of 100% Arabica beans, topped with steamed milk froth. ... read more",200.0
Coffee & Beverages (Hot and Cold),Hot Chocolate (S),1,0,Sinfully creamy chocolate whisked with silky streamed milk,183.81
Coffee & Beverages (Hot and Cold),Hot Chocolate (R),1,0,Sinfully creamy chocolate whisked with silky streamed milk,216.19
Coffee & Beverages (Hot and Cold),Latte Coffee (S),1,0,"A classic combination of the signature McCafe espresso, smooth milk, steamed and froth",169.52
Coffee & Beverages (Hot and Cold),Latte Coffee (R),1,0,"A classic combination of the signature McCafe espresso, smooth milk, steamed and frothed",200.0
Coffee & Beverages (Hot and Cold),Mocha Coffee (S),1,0,"A delight of ground Arabica espresso, chocolate syrup and steamed milk",210.48
Coffee & Beverages (Hot and Cold),Mocha Coffee (R),1,0,"A delight of ground Arabica espresso, chocolate syrup and steamed milk",236.19
Coffee & Beverages (Hot and Cold),Berry Lemonade Regular,1,0,"A refreshing drink, made with the delicious flavors of berries. 354 ml.",132.38
Coffee & Beverages (Hot and Cold),Chocolate Flavoured Shake,1,0,"The classic sinful chocolate shake, a treat for anytime you need one. Now ... read more",175.24
Coffee & Beverages (Hot and Cold),Strawberry Shake,1,0,An all time favourite treat bringing together the perfect blend of creamy vanilla ... read more,175.24
Coffee & Beverages (Hot and Cold),American Mud Pie Shake,1,0,Creamy and rich with chocolate and blended with nutty brownie bits for that ... read more,195.24
Coffee & Beverages (Hot and Cold),Mango Smoothie,1,0,"A delicious mix of mangoes, soft serve mix and blended ice",210.48
Coffee & Beverages (Hot and Cold),Mixed Berry Smoothie,1,0,"A mix of mixed berries, blended together with our creamy soft serve",210.48
Coffee & Beverages (Hot and Cold),Mocha Frappe,1,0,The perfect mix of indulgence and bold flavours. Enjoy a delicious blend of ... read more,278.1
Coffee & Beverages (Hot and Cold),McCafe-Ice Coffee,1,0,Classic coffee poured over ice with soft servefor a refreshing pick-me-up,200.0
