Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Momos,Veg Fried Momos [6 Pieces],1,0,,150.0
Momos,Paneer Steamed Momos [6 Pieces],1,0,,180.0
Momos,Paneer Fried Momos [6 Pieces],1,0,,180.0
Momos,Cheese Steamed Momos [6 Pieces],1,0,,180.0
Momos,Cheese Fried Momos [6 Pieces],1,0,,180.0
Momos,Ultra Lokhra Momos [6 Pieces],1,0,,330.0
Momos,Veg Steamed Momos [6 Pieces],1,0,,150.0
Momos,Cheese Momos [18 Pieces],1,0,Chesse steam 6 pieces + chesse fried 6 pieces + shangrilla momos 6 ... read more,550.0
Momos,Paneer Cheese Russian Momos [6 Pieces],1,0,,300.0
Momos,Veg Lokhra Momos [6 Pieces],1,0,Cheesey flavour momos.,280.0
Momos,Cheese Lokhra Momos [6 Pieces],1,0,Chesse flavour momos with extra cheese.,300.0
Momos,Paneer Lokhra Momos [6 Pieces],1,0,Chesse flavour with panner.,300.0
Momos,Veg Russian Momos [6 Pieces],1,0,,280.0
Momos,Veg Shangrila Momos [6 Pieces],1,0,,280.0
Momos,Veg Cheese Gravy Momos [6 Pieces],1,0,,270.0
Momos,Cheesy Cheese Gravy Momos [6 Pieces],1,0,,290.0
Momos,Paneer Cheese Gravy Momos [6 Pieces],1,0,,290.0
Momos,Mint Nawabi Tandoori Momos [6 Pieces],1,0,Mint flavour,280.0
Momos,Paneer Cheese Tikka Momos [9 Pieces],1,0,Momos,300.0
Momos,Cheese Tandoori Momos [6 Pieces],1,0,Chesse flavour tandoor,290.0
Momos,Paneer Tandoori Momos [6 Pieces],1,0,,290.0
Momos,Angara Spicy Tandoori Momos [6 Pieces],1,0,Spicy flavour,280.0
Momos,Green Garlic Tandoori Momos [6 Pieces],1,0,Garlic flavour,280.0
Momos,Paneer Shangrila Momos [6 Pieces],1,0,,300.0
Momos,Bansa Tandoori Momos [6 Pieces],1,0,Capsicum flavour,280.0
Momos,Mixed Fried Momos [6 Pieces],1,0,,180.0
Momos,Mixed Veg Steamed Momos [6 Pieces],1,0,,180.0
Momos,Cheesy Gravy Mixed Momos [7 Pieces],1,0,,300.0
Momos,Tandoori Special Momos [12 Pieces],1,0,Angara Spicy Flavour Momos [6 Pieces]+Garlic Flavour Momos [6 Pieces],500.0
Momos,Paneer Special Momos [12 Pieces],1,0,Paneer Shangrila Momos [6 Pieces]+Paneer Tandoori Momos [6 Pieces],550.0
