Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Biscuit Pie with Cheese Garlic Bread,1,0,Biscuit Pie+Cheese Garlic Bread+Cold Coffee,349.0
Combos,Chatpata Cheese Grilled Sandwich [3 Breads] with Veg Cheese Time Pass,1,0,Chatpata Cheese Grilled Sandwich [3 Breads]+Veg Cheese Time Pass+2 Cold Coffee,349.0
Combos,2 Chocolate Brownie with Vanilla Ice Cream,1,0,,199.0
Combos,Chatpata Burger with Salted Fries,1,0,Chatpata Burger+Salted Fries+Cold Coffee,149.0
Combos,Chatpata Burger + Chocolate Milkshake,1,0,Chatpata Burger+Salted Fries+Chocolate Milkshake,199.0
Combos,Chatpata Burger with Chocolate Thickshake,1,0,Chatpata Burger+Salted Fries+Chocolate Thickshake,199.0
Pizza,Margherita Pizza [7 inches],1,0,,139.0
Pizza,American Garden Pizza [7 inches],1,0,,159.0
Pizza,Chatpata Cheese Pizza [7 inches],1,0,,159.0
Pizza,Tandoori Paneer Pizza [7 inches],1,0,,179.0
Pizza,Peri Peri Paneer Pizza [7 inches],1,0,,179.0
Burgers and Sandwiches,Chatpata Burger,1,0,,55.0
Burgers and Sandwiches,Peri Peri Burger,1,0,,59.0
Burgers and Sandwiches,Schezwan Burger,1,0,,59.0
Burgers and Sandwiches,Tandoori Burger,1,0,,59.0
Burgers and Sandwiches,American Burger,1,0,,59.0
Burgers and Sandwiches,Double Tikki Burger,1,0,,99.0
Burgers and Sandwiches,Double Cheese Burger,1,0,,99.0
Burgers and Sandwiches,Bread Butter Bread Sandwich,1,0,2 Breads.,49.0
Burgers and Sandwiches,Bread Butter Jam Sandwich,1,0,2 Breads.,59.0
Burgers and Sandwiches,Bombay Veg Sandwich,1,0,3 Breads.,99.0
Burgers and Sandwiches,Bread Butter Cheese Sandwich,1,0,2 Breads.,69.0
Burgers and Sandwiches,Bombay Veg Cheese Sandwich,1,0,3 Breads.,149.0
Burgers and Sandwiches,Veg Cheese Grilled Sandwich,1,0,,139.0
Burgers and Sandwiches,Chatpata Cheese Grilled Sandwich,1,0,,139.0
Burgers and Sandwiches,American Cheese Grilled Sandwich,1,0,,139.0
Burgers and Sandwiches,Peri Peri Cheese Grilled Sandwich,1,0,,149.0
Burgers and Sandwiches,Melting Cheese Sandwich,1,0,,249.0
Burgers and Sandwiches,Bread Butter Jam Cheese Sandwich,1,0,2 Breads.,79.0
