Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
South Indian,Sada Uttapam,1,0,,80.0
South Indian,Onion Uttapam,1,0,,95.0
South Indian,Tomato Uttapam,1,0,,95.0
South Indian,Masala Uttapam,1,0,,105.0
South Indian,Paneer Paper Butter Dosa,1,0,,105.0
South Indian,Cheese Paper Butter Dosa,1,0,,130.0
South Indian,Cheese Paneer Paper Butter Dosa,1,0,,140.0
South Indian,Mayonnaise Dosa,1,0,,120.0
South Indian,Cheese Mayonnaise Dosa,1,0,,170.0
South Indian,Mysore Masala Dosa,1,0,,130.0
South Indian,Paneer Mysore Butter Masala Dosa,1,0,,170.0
South Indian,Cheese Mysore Butter Masala Dosa,1,0,,195.0
South Indian,Cheese Paneer Mysore Butter Masala Dosa,1,0,,205.0
South Indian,Schezwan Paper Dosa,1,0,,65.0
South Indian,Schezwan Masala Dosa,1,0,,120.0
South Indian,Schezwan Rice Dosa,1,0,,130.0
South Indian,Schezwan Paneer Masala Oil Dosa,1,0,,185.0
South Indian,Schezwan Cheese Paneer Masala Dosa,1,0,,220.0
South Indian,Noodles Oil Dosa,1,0,,130.0
South Indian,Peri Peri Paper Dosa,1,0,,80.0
South Indian,Peri Peri Masala Dosa,1,0,,120.0
South Indian,Peri Peri Paneer Dosa,1,0,,170.0
South Indian,Masala Dosa,1,0,,95.0
South Indian,Butter Paneer Masala Dosa,1,0,,160.0
South Indian,Butter Cheese Masala Dosa,1,0,,180.0
South Indian,Butter Cheese Paneer Masala Dosa,1,0,,195.0
South Indian,Dosa,1,0,,55.0
South Indian,Butter Paneer Sada Dosa,1,0,,105.0
South Indian,Butter Cheese Sada Dosa,1,0,,130.0
South Indian,Butter Cheese Paneer Sada Dosa,1,0,,140.0
Momos,Veg Steamed Moms,1,0,,65.0
Momos,Veg Fried Moms,1,0,,80.0
