Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Cakes,White Forest Cake,1,0,White forest cake consist of vannila sponge and white flakes.,400.0
Cakes,Pineapple Cake,1,0,Pineapple cake made up of fresh vannila sponge and filled with pineapple crush ... read more,400.0
Cakes,Strawberry Cake,1,0,Strawberry cake made up of strawberry crush and vannila sponge,400.0
Cakes,Orange Cake,1,0,"A decadent orange cake with a luscious citrusy flavor and soft, moist texture. ... read more",400.0
Cakes,Mango Cake,1,0,A delightful mango cake that will make you feel light as a feather.,400.0
Cakes,Butterscotch Cake,1,0,"A moist and delicious cake with a rich butterscotchy flavor, perfect for celebrations ... read more",400.0
Cakes,Black Forest Cake,1,0,"All time faviourt cake of all ages, black forest cake consist of chocolate ... read more",450.0
Cakes,Blueberry Cake,1,0,Best in fruit flavour blueberry cake is here. blueberry cake made up of ... read more,475.0
Cakes,Chocolate Vanilla Cake,1,0,"Chocolate Vanilla cake is a decadent dessert with rich, moist chocolate cake layered ... read more",475.0
Cakes,Butterscotch Chocolate Cake,1,0,"A decadent, moist chocolate cake with a butterscotchy flavour that will satisfy your ... read more",475.0
Cakes,Chocolate Chips Cake,1,0,All time faviourte of all cake lovers chocolate chips is here.,475.0
Cakes,Red Velvet Cake,1,0,whattttt!!! cheese cake at regular price. Red velvet cake made up of cheese ... read more,550.0
Cakes,Extra Chocolate Chips Cake,1,0,Need some extra!!! we listned you and here it is cholate chips with ... read more,550.0
Cakes,Rocher Rocker Cake,1,0,Ready to blast taste of Ferrero Rocher. cake purely made up of rocher ... read more,600.0
Cakes,Truffle Chocolate Cake,1,0,Truffle loaded cake . made up of puerly chocolate and not anything more.,600.0
Cakes,Chocolate Crunchy Cake,1,0,Crunchy chocolate made up of crunchy buttrescotch and loaded with soo many material ... read more,600.0
Cakes,KitKat Chocolate Cake,1,0,Kitkat lovers want some kitkat in your cake then chose it.,600.0
Cakes,Oreo Chocolate Cake,1,0,"A decadent dessert, Oreo chocolate cake is a rich and moist chocolate cake ... read more",600.0
Cakes,Cassata Cake,1,0,The cake which bring delight in mouth of all the ages casata. cake made ... read more,625.0
Cakes,Chocolate Almond Cake,1,0,Ahhh!!! almond lovers a special cake made up of almonds and almonds.,625.0
Cakes,Fudge Chocolate,1,0,Owww::::is that yummy chocolate with nuts...,625.0
Cakes,Nutella Cake,1,0,Chocolatey goodness paired with nutty undertones a classic indulgence.,625.0
Celebration Special,Assorted Cookies [250gm],1,0,"Assorted cookies 150 gm are a collection of a variety of cookies, including ... read more",190.0
Celebration Special,Assorted Cookies [500gm],1,0,Enjoy a range of mouthwatering cookies to indulge your sweet tooth.,380.0
Cookies,Badam Katri Cookies [250 grams],1,0,A sweet and satisfying dessert made with soft and chewy cookies made with ... read more,170.0
Cookies,Chocolate Chips Cookies [250 grams],1,0,,170.0
Cookies,Pure Ghee Nankhatai [250 grams],1,0,Pure ghee nankhatta is a traditional Indian dessert made with pure ghee and ... read more,245.0
