Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Upwas Fast Specials,Sabudana Kheer Dry Fruits Mix [250 grams],1,0,Sweet kheer mixed with dry fruits. Fried with desi ghee.,229.0
Upwas Fast Specials,Rice ki Kheer Mixed Dry Fruits [250 grams],1,0,Chawal. Mixed with dry fruits. Fried with desi ghee.,239.0
Upwas Fast Specials,Makhana Kheer Mixed Dry Fruits [250 grams],1,0,Upwas special makhana kheer fried with desi ghee & dry fruits mix.,249.0
Upwas Fast Specials,Sabudana Vada with Hari Chutney and Kaju Makhana,1,0,Sabudana  Vada [2 Vada] +Hari Chutney+Kaju Makhana+Kismis+Sweet [ 2Peda]+3 Puri.,499.0
Upwas Fast Specials,Banarasi Upwas Sabudana Khichdi [Large],1,0,Fried with desi ghee.,189.0
Upwas Fast Specials,Banarasi Special Sabudana Meal,1,0,[Upwas Special] Sabudana vada served with traditional tamatar/hari chutney. Fried with desi ghee.,99.0
Upwas Fast Specials,Banarasi Sabudana Dahi Vada,1,0,Fried with desi ghee.,123.0
Upwas Fast Specials,"Banarasi Sabudana Khichdi Upwas [Mini Pack, 250 grams]",1,0,Fried with desi ghee.,123.0
Upwas Fast Specials,Banarasi Navratri Fresh Upwas or Farhal Thali [Serves 1],1,0,2 Poori [Singhare Ke Atte]+Aloo Ki Sabji+Mungfali+Sabudana Vada [2 Pieces] with Chutney+Meetha Dry ... read more,429.0
Upwas Fast Specials,Mixed Banarasi Sabudana Dahi Chutney [2 Pieces],1,0,Banarasi sabudana.,137.0
Upwas Fast Specials,Banarasi Sabudana Pitha Thali,1,0,Fried with desi ghee. 2 Pitha Chilla+Hari Chutney,147.0
Upwas Fast Specials,Sabudana Meetha/Farhal/Fast/Upwas/Special [ 300gm ],1,0,Sabudana Meetha Mixture Namkeen+Dry Fruits Mix Namkeen [100 grams]Fried with desi ghee.give you ... read more,207.0
Upwas Fast Specials,Banarasi Aloo Peanut Fry [450 grams],1,0,Farhal/upwas/fast special dish. Fried with desi ghee.,203.0
Upwas Fast Specials,Banarasi Upwas Aloo Pakode [ 450gm ],1,0,Fried with desi ghee.,223.0
Upwas Fast Specials,Banarasi Upwas Special Aloo ki Kees [450 grams],1,0,Farhal/upwas/fast aspecial dish. Fried with desi ghee. give you enough energy for the ... read more,229.0
Upwas Fast Specials,Special Ghee Fried Aloo/Farhal/Upwas/Fast Special,1,0,Meetha Allo [ 250gm ] + Namkeen Allo [ 250gm ] Fried aloo for ... read more,307.0
Upwas Fast Specials,Sabudana Roll,1,0,These are filling and give enough energy for the day while you are ... read more,131.0
Upwas Fast Specials,Banarasi Upwas and Farahal Special Thali,1,0,The Paratha Ganesh Chaturthi Special Upwas/Farahal/Fast Thali+Sabudana Khichadi+2 Sabudana Vada+Hari Chutney+Fried Singdana+Fried Aloo+ ... read more,601.0
Upwas Fast Specials,Banarasi Special Farali Pattice Tikha,1,0,Fresh farali special meetha pattice with meetha tikha chutney.,187.0
Upwas Fast Specials,Upwas Combo,1,0,2 Poori+Jeera Hari Mirch Fried Aloo ki Sabji+Sabudana Khichdi+Hari Mirch Fried Moongfali+Sabudana Vada ... read more,697.0
Upwas Fast Specials,Shallow Fried MaKhana [450 grams],1,0,Shallow Fried MaKKhana Upwas Special Dish,317.0
Upwas Fast Specials,Shallow Fried Mung Fali [ 250 grams],1,0,,223.0
Upwas Fast Specials,Banarasi Special Live Potato Chips,1,0,"Banarasi special homemade live potato chips, farali upvas fast special.",99.0
Upwas Fast Specials,Farali / Upwas / Vrat Thali,1,0,Sabudana Vada [2 Vada]+Hari Chutney+Kaju Makhana+Kismis + Sweet [2 Peda ] + 3 ... read more,499.0
Upwas Fast Specials,Sabudana with Aloo Mix Stuffed Paratha,1,0,With hari chutney for upvas/farali.Fried with desi ghee.give you enough energy for the ... read more,199.0
Upwas Fast Specials,Finger Chips Upwas [ 250gm ],1,0,"Finger Chips + Hari Chutney , For fast special",187.0
Upwas Fast Specials,Plain Curd / Dahi for Upwas [ 250gm ],1,0,Best for fasting.,57.0
Upwas Fast Specials,Masala Curd [250 grams],1,0,Best for fasting.,67.0
Upwas Fast Specials,Plain Buttermilk / Chass for Upwas [ 250 grams],1,0,Best for fasting.,47.0
