Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Holi Specials,Special Dhani Nu Bhusu,1,0,A special dish that has a unique blend of flavors. It is a ... read more,139.0
Holi Specials,Tikhi Bundi,1,0,,139.0
Holi Specials,Tikhi Papdi,1,0,Tikhi Papadi is a popular Rajasthani snack that consists of a crispy shell ... read more,139.0
Mahashivratri Specials,Mitho Farali Chevdo,1,0,Farali mithu chevdo is a popular snack that is enjoyed by many people.,140.0
Mahashivratri Specials,Ratalu Kand,1,0,A traditional Rajasthani sweet dish that is rich in flavours and textures.,240.0
Rasawala Specials,Rasawala Idada [1 Plate],1,0,"A lipsmacking plate of Rasawalas Idada, perfect for a light snack or a ... read more",70.0
Rasawala Specials,Rasawala Patra [1 Plate],1,0,A delectable vegetable dish made with tender patra leaves and aromatic spices. A ... read more,80.0
Chandi Padva Specials,Surti Bhusu,1,0,"A traditional Gujarati snack, Surtis love to indulge in this spicy, tangy, and ... read more",139.0
Chandi Padva Specials,Punjabi Samosa [1 Piece],1,0,"A crispy and flaky pastry stuffed with spiced potatoes, served with chutneys and ... read more",40.0
Chandi Padva Specials,Dal Samosa,1,0,A delicious and traditional Indian snack that is filled with a spicy lentil ... read more,140.0
Chandi Padva Specials,Chinese Samosa,1,0,A crispy and delicious samosa filled with a flavorful and aromatic filling of ... read more,140.0
Fafda Jalebi,Fafda,1,0,"Fafda is a crispy, light snack made with a mixture of gram flour ... read more",190.0
Fafda Jalebi,Kesariya Jalebi [Ghee],1,0,"A light and sweet dish made from a batter of flour and sugar, ... read more",170.0
Fafda Jalebi,Jalebi and Fafda Combo [250 grams],1,0,Ghee Jalebi [250 grams]+Hot Fafda [250 grams],379.0
Fafda Jalebi,Jalebi and Fafda Combo [500 grams],1,0,Ghee Jalebi [500 grams] + Hot Fafda [500 grams],679.0
Surti Sarasiya Khaja,Surti Sarasiya Khaja,1,0,"A crispy, fried pastry filled with a sweet, aromatic filling of coconut and ... read more",190.0
Khaman,Rasawala Khaman,1,0,Freshly made Rasawala Khaman [1 Plate].,70.0
Khaman,Plain Khaman,1,0,A soft and spongy steamed cake made from a fermented batter of gram ... read more,60.0
Khaman,Vagharela Khaman,1,0,"A crispy, soft, and fluffy snack made from chickpea flour, served with a ... read more",85.0
Khaman,Tam Tam Khaman,1,0,A soft and fluffy snack that is bursting with the flavors of ginger ... read more,89.0
Khaman,Amiri Khamani,1,0,A spicy Persian dish with tender lamb cooked in a flavorful stew of ... read more,90.0
Khaman,Nylon Khaman,1,0,A soft and spongy cake made with the goodness of rice flour and ... read more,90.0
Khaman,Garlic Amiri Khamani,1,0,"A rich and flavorful dish made with soft and buttery dumplings, tossed in ... read more",89.0
Locho,Plain Locho,1,0,A traditional Indian street food consisting of tender lamb pieces cooked in a ... read more,70.0
Locho,Oil Locho,1,0,A traditional Rajasthani dish that consists of crispy fried dumplings served in a ... read more,90.0
Locho,Butter Locho,1,0,"A crispy, goldenbrown bread topped with rich butter and served with tangy chutney, ... read more",170.0
Locho,Cheese Butter Locho,1,0,A lipsmacking snack that is perfect for any party or gathering.,190.0
Idada,Plain Idada,1,0,"A crispy, golden brown, and flaky pastry filled with a savory mixture of ... read more",60.0
Idada,Vagharela Idada,1,0,"A traditional Konkani dish made with a combination of rice, lentils, vegetables, and ... read more",85.0
Idada,Oil Idada,1,0,"A delicious snack made with a rich blend of oil and spices, this ... read more",70.0
Patra,Plain Patra,1,0,Crispy fried rice rolls filled with a blend of aromatic spices and fresh ... read more,80.0
Patra,Vagharela Patra,1,0,"Crispy, flaky, and bursting with flavors, this vegetarian dish is a musttry for ... read more",100.0
Khandvi,Plain Khandvi,1,0,,70.0
Khandvi,Vaghareli Khandvi,1,0,,89.0
Snacks,Locho Khiru,1,0,Loho Khir A delicious Goan dish prepared with tender pieces of meat marinated ... read more,90.0
Snacks,Idada Khiru,1,0,"A traditional Indian pudding made from black gram flour, sugar, and milk.",90.0
