Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combo,Bread Basket Combo,1,0,Tandoori Roti+Kulcha+Naan+Lachha Paratha+Missi Roti,195.0
Soups and Salads,Cream of Tomato Soup,1,0,,180.0
Soups and Salads,Minestrone Broth Soup,1,0,,195.0
Soups and Salads,Cream of Mushroom and Roasted Garlic Soup,1,0,,235.0
Soups and Salads,Veg Lemon Coriander Soup,1,0,,170.0
Soups and Salads,Veg Hot and Sour Soup,1,0,,170.0
Soups and Salads,Veg Manchow Soup,1,0,,170.0
Soups and Salads,Veg Sweet Corn Soup,1,0,,180.0
Soups and Salads,Non Veg Lemon Coriander Soup,0,0,,235.0
Soups and Salads,Non Veg Hot and Sour Soup,0,0,,235.0
Soups and Salads,Non Veg Manchow Soup,0,0,,235.0
Soups and Salads,Non Veg Sweet Corn Soup,0,0,,235.0
Soups and Salads,Mutton Paya Shorba,0,0,,245.0
Soups and Salads,Mutton Pudina Shorba,0,0,,245.0
Soups and Salads,Russian Salad,1,0,,185.0
Soups and Salads,Classic Chicken Salad,0,0,,295.0
Starters,Chilli Chicken,0,0,,325.0
Starters,Burnt Garlic Chicken,0,0,,325.0
Starters,Schezwan Chicken,0,0,,325.0
Starters,Chicken Malai Tikka,0,0,,340.0
Starters,Chicken Pepper Dry,0,0,,360.0
Starters,Pineapple Chicken Tikka,0,0,,375.0
Starters,Chapli Kebab,0,0,,375.0
Starters,Peshawari Tangdi,0,0,,425.0
Starters,Pineapple Cheesy Chicken,0,0,,425.0
Starters,Galouti Kebab,0,0,[Chef's Special],550.0
Starters,Gosht Pudina Seekh,0,0,,490.0
Starters,Mutton Gilafi Seekh Kebab,0,0,,510.0
Starters,Mutton Chaap,0,0,,455.0
Starters,Mutton Pepper Dry,0,0,,550.0
Starters,Butter Garlic Fish,0,0,,455.0
Starters,Lemon Lasooni Fish Tikka,0,0,,455.0
Starters,Burn Garlic Fish,0,0,,455.0
Starters,Fried Basa Fish Tawa,0,0,,455.0
Starters,BBQ Chilli Garlic Prawns,0,0,,455.0
Starters,Tadoori Prawns,0,0,,455.0
Starters,Corn Salt and Pepper,1,0,,195.0
Starters,Veg Manchurian Dry,1,0,,230.0
Starters,Chilli Paneer,1,0,,235.0
Starters,Sesame Honey Chilli Potato,1,0,,250.0
Starters,Crispy Chilli Mushroom,1,0,,295.0
Starters,Till Dahi Kebab,1,0,,295.0
Starters,Cajun Spicy Potato,1,0,,295.0
Starters,Bharwan Kumbh,1,0,,305.0
Starters,Lemon Garlic Tikka,1,0,,305.0
Starters,Tandoori Paneer Tikka,1,0,,305.0
Starters,Honey Chilli Pineapple,1,0,,325.0
Starters,Cheese Tandoori Soya Chaap,1,0,,325.0
Main Course,Veg Kadhai,1,0,,315.0
Main Course,Sabji Nizami ka Mela,1,0,,325.0
Main Course,Mushroom Matar,1,0,,325.0
Main Course,Dingri Masala,1,0,,325.0
Main Course,Palak Paneer,1,0,,340.0
Main Course,Paneer Tikka Masala,1,0,,340.0
Main Course,Paneer Rogani,1,0,,345.0
Main Course,Paneer Butter Masala,1,0,,360.0
Main Course,Paneer Methi Malai Matar,1,0,,360.0
Main Course,Paneer Khurchan,1,0,,365.0
Main Course,Kaju Masala,1,0,,375.0
Main Course,Kaju Curry,1,0,,375.0
Main Course,Cheese Kofta Lababdar,1,0,,375.0
Main Course,Paneer Angara,1,0,,385.0
Main Course,Dal Fry,1,0,,170.0
Main Course,Dal Tadka,1,0,,180.0
Main Course,Dal Makhani,1,0,,260.0
Main Course,Butter Chicken Masala,0,0,,350.0
