Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Chinese,Paneer Chilli,1,0,"Paneer chunks sauteed well spices, chillies, onion, capsicum and soy sauce, packed with ... read more",210.0
Chinese,Manchurian Dry,1,0,A crunchy and spicy dish of battered vegetable balls served with a sweet ... read more,160.0
Chinese,Schezwan Manchurian,0,0,"A delectable combination of schezwan manchurian and crispy fried chicken, that is perfect ... read more",190.0
Chinese,Fried Rice,0,0,Fried rice is a dish prepared with long grain rice that is cooked ... read more,150.0
Chinese,Manchurian Fried Rice,1,0,A Chinese fried rice dish with a spicy and tangy flavor. It is ... read more,160.0
Chinese,Schezwan Fried Rice,1,0,"A flavourful fried rice with a spicy, tangy and sweet flavour, this dish ... read more",190.0
Chinese,Chinese Bhel,1,0,"A Chinese twist on the classic Indian treat with crispy bhel, onions, coriander ... read more",165.0
Chinese,Bombay Bhel,1,0,A flavorful and crispy Indian street food dish made with a mixed of ... read more,165.0
Chinese,Manchurian Gravy,0,0,A rich and creamy gravy with juicy chicken chunks and a spicy twist ... read more,160.0
Chinese,Paneer Manchurian,1,0,Crispy fried paneer cubes tossed in a spicy and tangy sauce.,210.0
Chinese,Hakka Noodles,1,0,"A traditional Chinese dish with a savory, spicy and tangy flavor, hakka noodles ... read more",160.0
Chinese,Paneer Noodles,1,0,,190.0
Chinese,Paneer Rice,1,0,"A delectable rice dish made with paneer and spices, this dish is a ... read more",190.0
Chinese,Mushroom Rice,1,0,"A savory rice dish made with mushrooms, tomatoes and spices.",200.0
Chinese,Manchow Soup,1,0,Soupy goodness with a mouthwatering blend of vegetables and spices. This soup is ... read more,135.0
Chinese,Paneer Satay,1,0,,250.0
Chinese,Baby Corn Chilli,1,0,"Baby corn in a spicy and tangy sauce, perfect for a light meal.",200.0
Chinese,Nashik Korean Rice,0,0,"A savory and spicy rice dish, made with Korean flavors and spices. A ... read more",200.0
Chinese,Nashik Korean Noodles,0,0,A flavourful and wholesome bowl of Korean noodles topped with tender slices of ... read more,210.0
Jalebi Sp.,Kesaria Jalebi [250 grams],1,0,Pure sumul ghee special  jalebi with kesar garnished.,150.0
French Fries,French Fries,1,0,"French fries, chaat masala.",100.0
French Fries,Peri Peri French Fries,1,0,"French fries, peri peri masala, chaat masala.",90.0
French Fries,Cheese French Fries,1,0,"French fries, melt cheese, chaat masala.",130.0
French Fries,Chipotle Cheese Fries,1,0,Mexican cheesy chipotle sauce & white creamy cheese.,150.0
French Fries,Jalapeno Cheese Fries,1,0,"Jalapeno sauce, white cheese on fries, garnished with jalapeno slice.",140.0
French Fries,3 Cheese Fries,1,0,"Italian oregano cheese, orange cheese on fries sprinkled with yummilicious grated cheese.",180.0
French Fries,Pizza Cheese Fries,1,0,A perfect blend of pizza gravy & white cheese garnished with black olives.,140.0
French Fries,Say Cheese Fries,1,0,Fries loaded with orange cheese.,140.0
French Fries,Smoky Cheese Fries,1,0,Peri peri tossed fries with barbecue & orange cheese.,160.0
French Fries,Peri Peri Cheese Fries,1,0,"A delicious snack, bursting with flavors and perfect for a rainy day.",165.0
Special Malai Kulfi,Mawa Malai Kulfi,1,0,Kesar rabdi and malai kulfi.,55.0
Special Malai Kulfi,Kesar Badam Pista Kulfi,1,0,"Badam, pista, kesar and malai rabdi.",60.0
Special Malai Kulfi,Kaju Anjeer Kulfi,1,0,"Kaju, anjeer, kesar and malai rabdi.",60.0
Special Malai Kulfi,Sitaphal Kulfi,1,0,Sitafal pulps and malai rabdi.,60.0
Special Momos,Classic Veg Steamed Momos [5 Pieces],1,0,Momos.,110.0
Special Momos,Cheese Fried Momos [5 Pieces],1,0,"Mixed vegetable, schezwan chutney, mayonnaise chutney and green chutney.",120.0
