Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Salads,Italian Sprout Salad,1,0,Prepared with Amul Cheese.,200.0
Salads,Green Salad,1,0,Prepared with Amul Cheese.,230.0
Salads,American Salad,1,0,Prepared with Amul Cheese.,250.0
Pizza and Pasta,Mexican Cheese Pizza,1,0,Prepared with Amul Cheese.,360.0
Pizza and Pasta,Margherita Cheese Pizza,1,0,Prepared with Amul Cheese.,200.0
Pizza and Pasta,Onion Capsicum Pizza,1,0,Prepared with Amul Cheese.,200.0
Pizza and Pasta,Veg Cheese Pizza,1,0,Prepared with Amul Cheese.,210.0
Pizza and Pasta,Corn Cheese Pizza,1,0,Prepared with Amul Cheese.,260.0
Pizza and Pasta,Paneer Cheese Pizza,1,0,Prepared with Amul Cheese.,270.0
Pizza and Pasta,Paneer Hot and Spicy Pizza,1,0,Prepared with Amul Cheese.,290.0
Pizza and Pasta,Mushroom Corn Cheese Pizza,1,0,Prepared with Amul Cheese.,300.0
Pizza and Pasta,Creamy Cheese Pizza,1,0,Prepared with Amul Cheese.,290.0
Pizza and Pasta,Paneer Tikka Pizza,1,0,Prepared with Amul Cheese.,300.0
Pizza and Pasta,Veg Exotic Pizza,1,0,Prepared with Amul Cheese.,310.0
Pizza and Pasta,Paneer Chop Pizza,1,0,Prepared with Amul Cheese.,350.0
Pizza and Pasta,Italian Pizza,1,0,Prepared with Amul Cheese.,350.0
Pizza and Pasta,Barbeque Paneer Cheese Pizza,1,0,Prepared with Amul Cheese.,360.0
Pizza and Pasta,Paneer Creamy Pizza,1,0,Prepared with Amul Cheese.,360.0
Pizza and Pasta,Cheese Burst Pizza,1,0,Prepared with Amul Cheese.,400.0
Pizza and Pasta,Seven Cheese Pizza,1,0,Prepared with Amul Cheese.,410.0
Pizza and Pasta,Kiran Special Pizza,1,0,[Chef's Special] Prepared with Amul Cheese.,450.0
Pizza and Pasta,Jain Swaminarayan Italian Pizza,1,0,[Jain Preparation] Prepared with Amul Cheese.,350.0
Pizza and Pasta,Alfredo Pasta,1,0,Prepared with Amul Cheese.,270.0
Pizza and Pasta,White Sauce Pasta,1,0,Prepared with Amul Cheese.,280.0
Pizza and Pasta,Schezwan Pasta,1,0,Prepared with Amul Cheese.,290.0
Pizza and Pasta,Pesto Pasta,1,0,Prepared with Amul Cheese.,280.0
Pizza and Pasta,Arrabiata Pasta,1,0,Prepared with Amul Cheese.,300.0
Pizza and Pasta,Mexican Cheesy Pasta,1,0,Prepared with Amul Cheese.,300.0
Pizza and Pasta,Pink Sauce Pasta,1,0,Prepared with Amul Cheese.,350.0
Pizza and Pasta,Maggi Pasta,1,0,Prepared with Amul Cheese.,340.0
Pizza and Pasta,Mix Sauce Pasta,1,0,Prepared with Amul Cheese.,350.0
Pizza and Pasta,Kiran Special Pasta,1,0,[Chef's Special] Prepared with Amul Cheese.,380.0
Burgers and Sandwiches,Veg Cheese Burger,1,0,Prepared with Amul Cheese.,120.0
Burgers and Sandwiches,Italian Burger,1,0,Prepared with Amul Cheese.,150.0
Burgers and Sandwiches,Mexican Burger,1,0,Prepared with Amul Cheese.,170.0
Burgers and Sandwiches,Cheese Supreme Burger,1,0,Prepared with Amul Cheese.,180.0
Burgers and Sandwiches,Cheese Schezwan Burger,1,0,Prepared with Amul Cheese.,160.0
Burgers and Sandwiches,Cheese Tandoori Burger,1,0,Prepared with Amul Cheese.,180.0
Burgers and Sandwiches,Wrested Pepper Garlic Burger,1,0,Prepared with Amul Cheese.,180.0
Burgers and Sandwiches,Mushroom Cheese Burger,1,0,Prepared with Amul Cheese.,190.0
Burgers and Sandwiches,Nachos Jalepeno Cheese Burger,1,0,Prepared with Amul Cheese.,190.0
Burgers and Sandwiches,Onion Melt Tower Burger,1,0,Prepared with Amul Cheese.,200.0
Burgers and Sandwiches,Special Burger Pizza Burger,1,0,Prepared with Amul Cheese.,250.0
Burgers and Sandwiches,Special Keto Cheese Burger,1,0,Prepared with Amul Cheese.,290.0
Burgers and Sandwiches,Kiran Special Burger,1,0,[Chef's Special] Prepared with Amul Cheese.,300.0
Burgers and Sandwiches,Only Chee Grilled Sandwich,1,0,Prepared with Amul Cheese.,130.0
Burgers and Sandwiches,Veg Cheese Grilled Sandwich,1,0,Prepared with Amul Cheese.,170.0
Burgers and Sandwiches,Schezwan Cheese Grilled Sandwich,1,0,Prepared with Amul Cheese.,190.0
