Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos and Thali,Gujarati Mini Lunch,1,0,1 sabji+3 Fulka Roti Ghee+Dal+Rice+Papad+Butter Milk+Salad+Achar[Subject to Availability],175.2
Combos and Thali,Punjabi Mini Lunch,1,0,Paneer sabji 1 + 3 Butter Roti + Jeera Rice + Dal Fry ... read more,196.0
Combos and Thali,Gujarati Thali,1,0,2 Sabji+ 3 Fulka Roti Ghee+Teekha Dal Rice+Veg Raita+1 Papad+1 Butter Milk+Salad+Achar+Sweet,216.0
Combos and Thali,Punjabi Thali,1,0,Paneer Masala Sabji+Mix Veg Sabji+3 Tandoori Butter Roti/3 Chapati Butter Roti+Dal Fry+Jeera Rice+Gulab ... read more,239.2
Combos and Thali,Gujarati Sabji Combo,1,0,Gujarati Sabji [250 ml]+3 Phulka Ghee Roti+Buttermilk+Papad+Salad+Achar,175.2
Combos and Thali,Paneer Sabji Combo,1,0,Paneer Sabji [250 ml] grams]+3 Chapati Roti Butter/3 Tandoor Roti Butter+Buttermilk+Papad+Salad+Achar,188.0
Combos and Thali,Punjabi Veg Sabji Combo,1,0,Veg Punjabi Sabji [250 Ml ]+3 Chapati Roti Butter/3 Tandoori Roti Butter+Buttermilk+Papad+Salad+Achar,188.0
Combos and Thali,Dal Bati with Rice,1,0,Bati [4 Pieces]+Dal+Rice+Papad+Salad+Achar,223.2
Combos and Thali,Dal Bati + Churma Combo,1,0,Bati [4 Pieces]+Dal+Bati Churma+Papad+Salad+Lahsun Chatni+Achar,223.2
Combos and Thali,Kadhi Chawal,1,0,,159.2
Combos and Thali,Rajma Chawal,1,0,A wholesome dish consisting of a delicious red rajma gravy served with rice. ... read more,196.0
Combos and Thali,Chole Chawal,1,0,,196.0
Combos and Thali,Dal Makhani Rice Bowl,1,0,,196.0
Combos and Thali,Jeera Rice with Dal Fry,1,0,Jeera Rice+Dal Fry+Buttermilk+Roasted Papad+Salad+Achar [Salad-Subject to Availability],196.0
Chole Bhature,Chole Bhature,1,0,2 Pic Bhature + Chole,196.0
Chole Bhature,Paneer Chole Bhature,1,0,2 Bhature + Chole + Salad + Achar,212.0
