Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Thali,Veg Punjabi Thali [Mini],1,0,Veg Sabji+4 Butter Chapati+Dal Fry+Jeera Rice+Pickle+Papad [Subject to Availability],125.4
Thali,Paneer Punjabi Thali [Mini],1,0,Paneer Sabji+4 Butter Chapati+Dal Fry+Jeera Rice+Pickle+Papad [Subject to Availability],131.4
Thali,Punjabi Thali,1,0,Paneer Sabji+Veg Sabji+5 Chapati+Dal+Jeera Rice+Pickle+Salad+Papad +Buttermilk+Gulab Jamun [1 Piece] [Subject to Availability],179.4
Thali,Punjabi Maharaja Thali,1,0,Kaju Curry+Paneer Butter Masala+3 Tawa Paratha+Jeera Rice+Dal Tadka+Pickle+Buttermilk+Salad+Papad+Gulab Jamun [1 Piece] [Subject to ... read more,209.4
Chole Bhature,Punjabi Chole Bhature,1,0,,91.8
Pav Bhaji,Pav Bhaji [2 Pav],1,0,,102.0
Pav Bhaji,Jain Pav Bhaji [2 Pav],1,0,,122.4
Pav Bhaji,Cheese Bhaji,1,0,,132.6
Pav Bhaji,Masala Pav,1,0,,102.0
Main Course,Aloo Matar,1,0,,78.0
Main Course,Aloo Palak,1,0,,78.0
Main Course,Aloo Gobhi,1,0,,78.0
Main Course,Aloo Jeera,1,0,,78.0
Main Course,Mix Veg,1,0,,78.0
Main Course,Chana Masala,1,0,,78.0
Main Course,Sev Tomato,1,0,,78.0
Main Course,Bhindi Fry,1,0,,78.0
Main Course,Bhindi Masala,1,0,,78.0
Main Course,Plain Palak,1,0,,78.0
Main Course,Lehsuni Palak,1,0,,78.0
Main Course,Laddu Gopal Special Veg,1,0,,156.0
Main Course,Veg Garlic Masala,1,0,,144.0
Main Course,Veg Tawa Masala,1,0,,126.0
Main Course,Veg Angara,1,0,,144.0
Main Course,Veg Toofani,1,0,,144.0
Main Course,Veg Handi,1,0,,126.0
Main Course,Veg Kadai,1,0,,126.0
Main Course,Veg Kolhapuri,1,0,,126.0
Main Course,Veg Hyderabadi,1,0,,126.0
