Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Mushroom Soup,1,0,,150.0
Soups,Cream Tomato Soup,1,0,,150.0
Soups,Ministrone Soup,1,0,Not for jain.,150.0
Soups,Veg Sweet Corn Soup,1,0,,150.0
Soups,Hot & Sour Soup,1,0,,150.0
Soups,Manchow Soup,1,0,,150.0
Starters,Veg Hara Bhara Kabab,1,0,This item is not for jain people.,255.0
Starters,Hariyali Tikka,1,0,,277.0
Starters,Paneer Tikka Dry,1,0,,277.0
Main Course,Veg Angara,1,0,,264.0
Main Course,Veg Lazeez,1,0,,264.0
Main Course,Veg Maharaja,1,0,,264.0
Main Course,Veg Lababdar,1,0,,264.0
Main Course,Veg Garlic Masala,1,0,,270.0
Main Course,Special Cheese Butter Masala,1,0,,283.0
Main Course,Special Kaju Masala,1,0,,283.0
Main Course,Special Kaju Curry,1,0,,283.0
Main Course,Special Sweet Kaju Khoya,1,0,,283.0
Main Course,Special Veg City Corner,1,0,,250.0
Main Course,Special Veg Tawa,1,0,,264.0
Main Course,Special Veg Kadai,1,0,,264.0
Main Course,Special Veg Kolhapuri,1,0,,264.0
Main Course,Special Veg Balti,1,0,,264.0
Main Course,Special Veg Handi,1,0,,264.0
Main Course,Special Veg Hyderabadi,1,0,,264.0
Main Course,Special Veg Toofani,1,0,,264.0
Main Course,Veg Jaipuri,1,0,,250.0
Main Course,Mushroom Masala,1,0,,280.0
Main Course,Mushroom Matar Masala,1,0,,280.0
Main Course,Veg Makhanwala,1,0,,250.0
Main Course,Sweet Navratna Korma,1,0,,250.0
Main Course,Sweet Dum Aloo Kashmiri,1,0,,250.0
Main Course,Dum Aloo Punjabi,1,0,,250.0
Main Course,Stuffed Shimla Mirchi Masala,1,0,,250.0
Main Course,Stuffed Tomato,1,0,,250.0
Main Course,Green Peas Masala,1,0,,250.0
Main Course,Mix Vegetable,1,0,,190.0
Main Course,Chana Masala,1,0,,230.0
Main Course,Palak Matar,1,0,,230.0
Main Course,Aloo Matar,1,0,,230.0
Main Course,Aloo Sukhi Bhaji,1,0,,230.0
Main Course,Dal Fry,1,0,,120.0
Main Course,Dal Butter Fry,1,0,,157.0
Main Course,Dal Tadka,1,0,,157.0
Main Course,Paneer Angara,1,0,,280.0
Main Course,Paneer Lazeez,1,0,,280.0
Main Course,Paneer Maharaja,1,0,,280.0
Main Course,Paneer Lababdar,1,0,,280.0
Main Course,Paneer Chatpata,1,0,,280.0
Main Course,Special Kaju Paneer,1,0,,280.0
Main Course,Special Paneer Tawa Masala,1,0,,280.0
Main Course,Special Paneer Handi,1,0,,280.0
Main Course,Special Paneer Kadai,1,0,,280.0
Main Course,Special Paneer Balti,1,0,,280.0
Main Course,Special Paneer Cheese Masala,1,0,,280.0
Main Course,Special Paneer Toofani,1,0,,280.0
Main Course,Special Paneer Nizami,1,0,,280.0
Main Course,Paneer Tikka Masala,1,0,,280.0
Main Course,Paneer Butter Masala,1,0,,280.0
Main Course,Paneer Mushroom Masala,1,0,,280.0
Main Course,Paneer Hara Masala,1,0,,280.0
Main Course,Sweet Shahi Paneer,1,0,,280.0
Main Course,Paneer Bhurji,1,0,,280.0
Main Course,Palak Paneer,1,0,,280.0
Main Course,Paneer Matar,1,0,,235.0
Main Course,Cheese Begum Bahar,1,0,,290.0
