Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Samosa and Kachori,Samosa [2 Pieces],1,0,,42.85
Samosa and Kachori,Kachori [2 Pieces],1,0,,41.14
Samosa and Kachori,Aloo Tikki [2 Pieces],1,0,,68.57
Samosa and Kachori,Cutlet [2 Pieces],1,0,,68.57
Samosa and Kachori,Chole Tikki,1,0,Jain preparation not available.,74.29
Samosa and Kachori,Ragda Patties,1,0,Jain preparation not available.,68.57
Samosa and Kachori,Ragda Kachori,1,0,Jain preparation not available.,68.57
Samosa and Kachori,Ragda Samosa,1,0,Jain preparation not available.,68.57
Samosa and Kachori,Potli Samosa [2 Pieces],1,0,[Max 5 Plate] Please confirm the availability of this item by calling the ... read more,68.57
Snack Special Items,Chole Kulcha [2 Kulcha],1,0,Jain Preparation Not Available,107.0
Snack Special Items,Chole Bhature [1 Bhature],1,0,,107.0
Snack Special Items,Dahi Vada [2 Vada],1,0,,74.0
Snack Special Items,Dahi Kachori,1,0,,74.0
Bengali Sweets,Angoor Rabdi,1,0,,137.14
Bengali Sweets,Rasmalai [2 Pieces],1,0,,114.29
Bengali Sweets,Lachha Rabdi,1,0,,137.14
Bengali Sweets,Rasgulla [5 Pieces],1,0,,95.23
Bengali Sweets,Rasgulla [10 Pieces],1,0,,190.48
Bengali Sweets,Rajbhog [2 Pieces],1,0,,68.57
Holi Specials,Thandai,1,0,,95.23
Zomato Exclusive Items,Baklava [12 Pieces],1,0,,517.0
Zomato Exclusive Items,Baklava [24 Pieces],1,0,,977.0
Zomato Exclusive Items,Fancy Sweet [1 Box],1,0,,356.0
Zomato Exclusive Items,Walnut Basket,1,0,,575.0
Zomato Exclusive Items,Jordan Dates,1,0,,862.0
Zomato Exclusive Items,Apricot Balls,1,0,,356.0
Packed Sweets,"Mix Delight Round [18 Pieces, 450 grams]",1,0,,628.57
Packed Sweets,Motichoor Ladoo [500gm],1,0,,321.5
Packed Sweets,Soan Papdi [250gm],1,0,,154.76
Packed Sweets,Soan Papdi [500gm],1,0,,309.52
Mava Sweets,Kalakand,1,0,,178.57
Mava Sweets,Milk Cake,1,0,,178.57
Mava Sweets,Plain Peda,1,0,,172.0
Mava Sweets,Kesar Peda,1,0,,154.29
Mava Sweets,Surti Peda,1,0,,172.0
Mava Sweets,Bounty Peda,1,0,,171.43
Mava Sweets,Amrut Peda,1,0,,171.43
Mava Sweets,Kopraa Paak,1,0,,142.86
Mava Sweets,Dudhi Halwa,1,0,,172.0
Mava Sweets,Chocolate Burfi,1,0,,172.0
Mava Sweets,Chocolate Roll,1,0,,142.86
Mava Sweets,Strawberry Roll,1,0,,154.29
Mava Sweets,Caramel Roll,1,0,,154.29
Mava Sweets,Mawa Tosh,1,0,,171.43
Mava Sweets,Anjeer Mawa Cassatta,1,0,,171.43
