Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Vada Pav,Additional Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,55.0
Vada Pav,Butter Grill Vadapav,1,0,"A deep fried potato dumplings places inside a bread bun (pav), with garlic ... read more",55.0
Vada Pav,Cheese Blast Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,70.0
Vada Pav,Fusion Kanda Bhaji Pav,1,0,,100.0
Vada Pav,Fusion Potato Bhaji Pav,1,0,,100.0
Vada Pav,Fusion Vadapav,1,0,A deep fried potato/kanda bhajji/Potato bhajji/Ultapav dumpling placed inside a bread bun (pav) ... read more,100.0
Vada Pav,Jain Butter Grill Vadapav,1,0,A Maharashtrian vegetarian fast food consisting of Pure Jain vada between the Pav ... read more,55.0
Vada Pav,Jain Vadapav,1,0,A Maharashtrian vegetarian fast food consisting of Pure Jain vada between the Pav ... read more,40.0
Vada Pav,Kanda Bhaji Pav,1,0,A deep onion dumpling placed inside a bread bun (pav) sliced almost in ... read more,50.0
Vada Pav,Mayo Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,70.0
Vada Pav,Mumbaiya Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,40.0
Vada Pav,Peri Peri Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,70.0
Vada Pav,Potato Bhaji Pav,1,0,A deep potato slice dumpling placed inside a bread bun (pav) sliced almost ... read more,50.0
Vada Pav,Schezwan Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,70.0
Vada Pav,Tandoori Vadapav,1,0,A deep fried potato dumpling placed inside a bread bun (pav) sliced almost ... read more,70.0
Ultapav,Fusion Ulta Pav,1,0,Ulta Vada Pav IsMade With A Spicy Potato Stuffed Bun. The Spicy Potato ... read more,100.0
Ultapav,Jain Fusion Ulta Pav,1,0,A Spicy and lip smacking jain vada masala is stuffed upon the bread(pav) ... read more,100.0
Ultapav,Jain Ulta Pav,1,0,A Spicy and lip smacking jain vada masala is stuffed upon the bread(pav) ... read more,55.0
Ultapav,Ulta Pav,1,0,A Spicy and lip smacking potato masala is stuffed upon the bread(pav) and ... read more,50.0
Kothambir Wadi,Kothambir Wadi (2Pc),1,0,Kothimbir vadi is a delicious savory crisp snack from the Maharashtrian cuisine made ... read more,85.0
Kothambir Wadi,Kothambir Wadi (4Pc),1,0,Kothimbir vadi is a delicious savory crisp snack from the Maharashtrian cuisine made ... read more,140.0
Kothambir Wadi,Kothambir Wadi Chaat,1,0,"A piece of broken Kothamir wadi, with drizzle yogurt, green chutney, sweet chutney, ... read more",85.0
Kothambir Wadi,Kothambir Wadi Pav Grill,1,0,A deep fried kothambir wadi placed inside a bread bun (pav) sliced almost ... read more,65.0
Kothambir Wadi,Kothambir Wadi Pav,1,0,A deep fried kothambir wadi placed inside a bread bun (pav) sliced almost ... read more,55.0
Misal Pav,Cheese Misal Pav,1,0,"A Spicy Curry made of sprouts and served with bread (Pav) 2pcs, the ... read more",155.0
Misal Pav,Dahi Misal Pav,1,0,A Spicy Curry made of sprouts with Dahi and served with bread (Pav) ... read more,140.0
Misal Pav,Jain Misal Pav,1,0,"A Spicy Curry made of jain ingredients, sprouts and served with bread (Pav) ... read more",140.0
