Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Double Bonanza,Double Patties Crispy Chicken Burger,0,0,"Bun, Garlic Mayo, Lettuce, Tomatoes, 2 Breaded Fried Chicken Patties, Peri Peri Mayo, ... read more",299.0
Double Bonanza,Double Patties Crispy Veg Burger,1,0,"Bun, Garlic Mayo, Lettuce, Tomatoes, 2 Super Veg Patties, Mexican Mayo, 2 Cheese ... read more",213.0
Double Bonanza,Double Patties Fiery Paneer Burger,1,0,"Bun, Plain Mayo, Lettuce, Tomatoes, 2 Breaded Spicy Paneer Patty, Peri Peri Mayo, ... read more",299.0
Extra Dips,Atomic Mayo,1,0,,41.0
Extra Dips,Bbq Sauce,1,0,,41.0
Extra Dips,Cheesy Mayo,1,0,,41.0
Extra Dips,Chilli Garlic Mayo,1,0,,41.0
Extra Dips,Chipotle Mayo,1,0,,41.0
Extra Dips,Garlic Mayo,1,0,,41.0
Extra Dips,Mango Jalapeno Dip,1,0,,41.0
Extra Dips,Mexican Mayo,1,0,,41.0
Extra Dips,Peri Peri Mayo,1,0,,41.0
Extra Dips,Red Devil Sauce,1,0,,41.0
Extra Dips,Salsa Suace,1,0,,41.0
Extra Dips,Spicy Jalapeno Mayo,1,0,,41.0
Extra Dips,Plain Creamy Mayo,1,0,,41.0
Fish Burger,Crunchy Fish Fillet Burger,0,0,A Basa Fish Filet Breaded And Fried To Perfection Served With Your Choice ... read more,266.0
Fish Sides,Crunchy Fish Shots W/ Dip,0,0,,320.0
Fish Sides,Crunchy Prawns W / Dip,0,0,,274.0
Green Appetisers,Cheese Coin,1,0,,138.0
Green Appetisers,Herbs N Cheese Finger With Dip,1,0,,149.0
Hot & Happening,Atomic Spicy Chicken Burger,0,0,"Bun, Atomic Spicy Mayo, Lettuce, Crunchy Fried Chicken Fillet And Cheese Slice",224.0
Hot & Happening,Atomic Spicy Paneer Burger,1,0,"[veg preparation] Bun, Atomic Spicy Mayo, Lettuce, Breaded Spicy Paneer Patty And Cheese ... read more",213.0
Hot & Happening,Favourite Peri Peri Chicken Burger,0,0,"Bun, Peri Peri Mayo, Lettuce, Onions, Jalapenos, Crunchy Fried Chicken Fillet, Cheese Slice",224.0
Hot & Happening,Favourite Peri Peri Veg Burger,1,0,"[veg preparation] Bun, Peri Peri Mayo, Lettuce, Onions, Jalapenos, Veggie Patty And Cheese ... read more",170.0
Hot & Happening,Hot Garlic Chicken Burger,0,0,"Bun, Garlic Mayo, Lettuce, Spiced Chicken Thigh Patty, Cheese Slice",213.0
Hot & Happening,Hot Garlic Paneer Burger,1,0,"[veg preparation] Bun, Garlic Mayo, Lettuce, Breaded Spicy Paneer Patty, Cheese Slice",202.0
Hot & Happening,Hot N Spicy Chicken Burger,0,0,"Bun, Peri Peri Mayo, Lettuce, Spiced Chicken Thigh Patty, Cheese Slice",213.0
Hot & Happening,Hot N Spicy Paneer Burger,1,0,"[veg preparation] Bun, Peri Peri Mayo, Lettuce, Breaded Spicy Paneer Patty, Cheese Slice",202.0
Hot & Happening,Pepper Chicken Burger,0,0,"Bun, Pepper Mayo, Green Bell Peppers, Onions, Jalapenos, Crunchy Fried Chicken Fillet, Cheese ... read more",224.0
Hot & Happening,Pepper Paneer Burger,1,0,"[veg preparation] Bun, Pepper Mayo, Green Bell Peppers, Onions, Jalapenos, Breaded Spicy Paneer ... read more",213.0
