Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Hot And Sour Soup,1,0,"Julienne cut vegetables with Chinese sauce, very tasty and delightful.",164.0
Soups,Lemon Coriander Soup,1,0,A refreshing soup bursting with zesty lemon and fragrant coriander flavors.,171.0
Soups,Manchaw Soup Jain,1,0,,164.0
Soups,Manchow Soup,1,0,A comforting Chinese-style thick soup filled with exotic and hot vegetables.,164.0
Soups,Mushroom Soup,1,0,,190.0
Soups,Noodles Soup,1,0,A hearty and comforting soup packed with flavorful noodles and vegetables.,164.0
Soups,Sweet Corn Soup,1,0,"Comforting soup brimming with sweet, wholesome corn.",164.0
Soups,Sweet Corn Soup Jain,1,0,,164.0
Soups,Tomato Soup,1,0,A indulging soup that is packed with the tanginess and goodness of tomatoes.,164.0
Soups,Tomato Soup Jain,1,0,,164.0
Soups,Veg Clear Soup,1,0,,164.0
Soups,Veg Clear Soup Jain,1,0,,164.0
Chinese Starters Dry&Gravy,Baby Corn 65 Dry,1,0,,280.0
Chinese Starters Dry&Gravy,Baby Corn 65 Gravy,1,0,,280.0
Chinese Starters Dry&Gravy,Baby Corn Chilli Dry,1,0,,290.0
Chinese Starters Dry&Gravy,Baby Corn Chilli Gravy,1,0,,266.0
Chinese Starters Dry&Gravy,Baby Corn Chilly Jain,1,0,,290.0
Chinese Starters Dry&Gravy,Baby Corn Crispy Dry,1,0,,290.0
Chinese Starters Dry&Gravy,Babycorn Crispy Jain,1,0,,290.0
Chinese Starters Dry&Gravy,Chana Chilli Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Chana Chilli Gravy,1,0,,275.0
Chinese Starters Dry&Gravy,Chana Chilli Jain,1,0,,275.0
Chinese Starters Dry&Gravy,Chinese Bhel Dry Cold ( Bombay Style ),1,0,,275.0
Chinese Starters Dry&Gravy,Corn Chilli Dry,1,0,,305.0
Chinese Starters Dry&Gravy,Corn Chilli Gravy,1,0,,305.0
Chinese Starters Dry&Gravy,Corn Chilly Jain,1,0,,305.0
Chinese Starters Dry&Gravy,Gobi Chilli Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Gobi Chilli Gravy,1,0,,275.0
Chinese Starters Dry&Gravy,Gobi Manchurian Dry,1,0,"A delightfully tasty dish with gobi coated in Manchurian sauces, assorted spices and ... read more",275.0
Chinese Starters Dry&Gravy,Gobi Manchurian Gravy,1,0,Gobi Manchurian is a popular Indo-Chinese dish where crispy cauliflower florets are tossed ... read more,275.0
Chinese Starters Dry&Gravy,Honey Potato Chilli Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Honey Potato Chilli Gravy,1,0,,275.0
Chinese Starters Dry&Gravy,Mushroom 65 Dry,1,0,,310.0
Chinese Starters Dry&Gravy,Mushroom 65 Gravy,1,0,,310.0
Chinese Starters Dry&Gravy,Mushroom Chilli Dry,1,0,Mushrrom chilly dry is a popular Indo-Chinese starter made by seasoning fried mushroom ... read more,310.0
Chinese Starters Dry&Gravy,Mushroom Chilli Gravy,1,0,,310.0
Chinese Starters Dry&Gravy,Mushroom Manchurian Dry,1,0,,325.0
Chinese Starters Dry&Gravy,Mushroom Manchurian Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer 65 Dry,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer 65 Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer 65 Jain,1,0,,325.0
Chinese Starters Dry&Gravy,Paneer Chilli Dry,1,0,A delightfully flavorful dish prepared with soft paneer and cooked with flavorful chili ... read more,330.0
Chinese Starters Dry&Gravy,Paneer Chilli Gravy,1,0,"Paneer based Chinese dish, cooked in spices of garlic and ginger with chilly. ... read more",330.0
Chinese Starters Dry&Gravy,Paneer Chilly Jain,1,0,,325.0
Chinese Starters Dry&Gravy,Paneer Finger Dry,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Finger Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Finger Jain,1,0,,325.0
Chinese Starters Dry&Gravy,Paneer Garlic Dry,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Garlic Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Hong Kong Dry,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Hong Kong Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Hong Kong Jain,1,0,,325.0
Chinese Starters Dry&Gravy,Paneer Manchurian Dry,1,0,"Crispy, savory and full of flavor, this Chinese-inspired dish is made with tender ... read more",330.0
Chinese Starters Dry&Gravy,Paneer Manchurian Gravy,1,0,A savory Chinese main course featuring chunks of paneer in a flavorful and ... read more,330.0
Chinese Starters Dry&Gravy,Paneer Manchurian Jain,1,0,,325.0
Chinese Starters Dry&Gravy,Paneer Mushroom Chilli Dry,1,0,,335.0
Chinese Starters Dry&Gravy,Paneer Mushroom Chilli Gravy,1,0,,316.0
Chinese Starters Dry&Gravy,Paneer Satay Dry,1,0,,330.0
Chinese Starters Dry&Gravy,Paneer Satay Gravy,1,0,,330.0
Chinese Starters Dry&Gravy,Potato Chilli Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Potato Chilli Gravy,1,0,,253.0
Chinese Starters Dry&Gravy,Veg 65 Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Veg 65 Gravy,1,0,,275.0
Chinese Starters Dry&Gravy,Veg 65 Jain,1,0,,275.0
Chinese Starters Dry&Gravy,Veg Chilli Dry,1,0,,275.0
Chinese Starters Dry&Gravy,Veg Chilli Gravy,1,0,,275.0
Chinese Starters Dry&Gravy,Veg Chilly Jain,1,0,,275.0
