Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Meal For 1,Dal Khichdi + Veg Raita,1,0,Dal Khichdi (300 Ml) Veg Raita (200 Ml),260.0
Meal For 1,Jeera Rice + Dal Fry,1,0,Jeera Rice (300 Ml) Dal Fry (200 Ml),235.0
Meal For 1,Paneer Butter Masala + 2 Butter Roti,1,0,Paneer Butter Masala (200 Ml),250.0
Meal For 1,Paneer Tikka Masala + 2 Butter Roti,1,0,Paneer Tikka Masala (200 Ml),250.0
Meal For 1,Steam Rice + Dal Makhani,1,0,Steam Rice (300 Ml) Dal Makhani (200 Ml),250.0
Meal For 1,Veg Pulav + Dal Makhani,1,0,Veg Pulav (300 Ml) Dal Makhani (200 Ml),260.0
Mocktails,Hawaiian Delight,1,0,"Fresh Pineapple, Pineapple Juice, Coconut Milk, Ice cream",240.0
Mocktails,Jamaican Snowfall,1,0,"Coffee, Chocolate Ice Cream, Cream",275.0
Mocktails,Long Island Iced Tea,1,0,Lemon Iced Tea,185.0
Mocktails,Mai Thai,1,0,"Pineapple Juice, Pineapple Crush and Cranberry Juice",250.0
Continental Soups,Broccoli Almond,1,0,,190.0
Continental Soups,Cream Of Garlic,1,0,,165.0
Continental Soups,Cream Of Mushroom,1,0,,165.0
Continental Soups,Cream Of Tomato,1,0,,155.0
Continental Soups,Cream Of Vegetable,1,0,,165.0
Continental Soups,Mexican Tortilla,1,0,,170.0
Continental Soups,Minestrone,1,0,,165.0
Chinese Soups,Burmese Soup,1,0,,175.0
Chinese Soups,Green Asian Soup,1,0,,175.0
Chinese Soups,Hawa Hawai Soup,1,0,,175.0
Chinese Soups,Hot & Sour,1,0,,165.0
Chinese Soups,Lemon Coriander,1,0,,165.0
Chinese Soups,Manchow,1,0,,165.0
Chinese Soups,Shanghai Soup,1,0,,170.0
Chinese Soups,Sweet Corn,1,0,,165.0
Chinese Soups,Tum Yum,1,0,,165.0
Chinese Soups,Vegetable Clear,1,0,,155.0
Accompaniments,Boondi Raita,1,0,,145.0
Accompaniments,Fried Papad,1,0,,45.0
Accompaniments,Green Salad,1,0,,135.0
Accompaniments,Masala Onion,1,0,,135.0
Accompaniments,Pineapple Raita,1,0,,175.0
Accompaniments,Pudina Pyaaz Ka Raita,1,0,,145.0
Accompaniments,Roasted Papad,1,0,,35.0
Accompaniments,Russian Salad,1,0,,190.0
Accompaniments,Tossed Salad,1,0,,165.0
Accompaniments,Vegetable Raita,1,0,,145.0
Indian Starters,Hara Bhara Kebab,1,0,,255.0
Indian Starters,Pepper Corn Tikki,1,0,,255.0
Indian Starters,Rajwadi Roll,1,0,,255.0
Indian Starters,Sunheri Tikki,1,0,,275.0
Indian Starters,Veg Bullets,1,0,,270.0
Chinese Starters,Babycorn Mushroom Red Chilly Pepper,1,0,,310.0
Chinese Starters,Basil Chilly Paneer,1,0,,305.0
Chinese Starters,Belgiun Cottage Cheese,1,0,,325.0
Chinese Starters,Chilly Paneer,1,0,,305.0
Chinese Starters,Crispy Vegetables,1,0,,265.0
Chinese Starters,Honey Chilly Paneer,1,0,,305.0
Chinese Starters,Humpty Dumpty,1,0,,265.0
Chinese Starters,Kung Pao Veg,1,0,,280.0
Chinese Starters,Malaysian Paneer,1,0,,315.0
Chinese Starters,Mushroom In Chilly Garlic Sauce,1,0,,310.0
Chinese Starters,Mushroom Spicy Coriander,1,0,,310.0
Chinese Starters,Paneer Lemon Butter,1,0,,315.0
Chinese Starters,Peri Peri Balls,1,0,,270.0
Chinese Starters,Shanghai Paneer,1,0,,305.0
Chinese Starters,Sizzling Chilly Potato,1,0,,255.0
Chinese Starters,Tangy Paneer,1,0,,305.0
Chinese Starters,Thai Chi Paneer,1,0,,305.0
Chinese Starters,Vegetable Cilantro Chilly,1,0,,265.0
Chinese Starters,Vegetable Green Balls,1,0,,265.0
Chinese Starters,Vegetable Lollipop,1,0,,265.0
Chinese Starters,Vegetable Manchurian Dry,1,0,,265.0
Tandoori Starters,Angara Paneer Tikka,1,0,,285.0
Tandoori Starters,Banarasi Subziyon Ki Seekh,1,0,,270.0
Tandoori Starters,Banjara Paneer Tikka,1,0,,285.0
Tandoori Starters,Bhuna Paneer Tikka,1,0,,285.0
Tandoori Starters,Chatpati Broccoli,1,0,,270.0
Tandoori Starters,Cheesy Paneer Tikka,1,0,,315.0
Tandoori Starters,Chilli Malai Paneer Tikka,1,0,,295.0
Tandoori Starters,Dehati Seekh,1,0,,270.0
Tandoori Starters,Five Spice Paneer Tikka,1,0,,295.0
Tandoori Starters,Hyderabadi Paneer Tikka,1,0,,285.0
Tandoori Starters,Hydrabadi Cheesy Tikka,1,0,,315.0
Tandoori Starters,Kaju Paneer Ki Seekh,1,0,,285.0
Tandoori Starters,Lassunia Paneer Tikka,1,0,,295.0
Tandoori Starters,Malai Broccoli,1,0,,270.0
Tandoori Starters,Multani Mushroom,1,0,,305.0
Tandoori Starters,Mushroom Tikka,1,0,,305.0
Tandoori Starters,Tandoori Manchurian,1,0,,285.0
Tandoori Starters,Tikka Paneer,1,0,,285.0
Continental Starters,Banana Fries,1,0,,175.0
Continental Starters,Bruschetta,1,0,"Sliced garlic bread topped with bell peppers, herbs, cheese & baked",255.0
Continental Starters,Cheese Corn Balls,1,0,"Cheeeesy, balls stuffed with cheese, corn & herbs",315.0
Continental Starters,Cheese Dip French Fries,1,0,Finger Cut potato with Cheese Dip,205.0
Continental Starters,French Fries,1,0,Deep fried finger cuts of potatoes,175.0
Continental Starters,Garlic Butter Pan Fried Mushroom,1,0,"Dice Mushroom, Bell peppers and Onion tossed in Garlic with Butter",315.0
Continental Starters,Paneer Parmegiano,1,0,"Paneer stuffed with onion, cheese & herbs, coated with Penko, grilled on tawa, ... read more",355.0
Continental Starters,Paneer Titbit,1,0,"Triangle shaped paneer, deep fried and tossed with tomato concasse.",315.0
Continental Starters,Quesadilla,1,0,"Soft tortillas with a filling of beans, corn & cheese, grilled and served ... read more",320.0
Continental Starters,Terrific Nachos,1,0,Crispy corn tortilla chips topped with cheese sauce & refried beans,255.0
Pasta,Fettuccine Formaggio,1,0,,355.0
Pasta,Fettuccine Spicy Chimichuri,1,0,,365.0
Pasta,Fusilli Arrabiata Sauce,1,0,,335.0
Pasta,Macroni Basil Formaggio,1,0,,365.0
Pasta,Macroni Del Barone Sauce,1,0,,335.0
Pasta,Penne Alfredo Sauce,1,0,,335.0
Pasta,Penne Basil Pesto,1,0,,355.0
Pasta,Speghetti Aglio Olio,1,0,,335.0
Baked Dishes,Amazing Lasagna,1,0,Lasagna sheets layered with blanched spinach & corn cooked in b,350.0
Baked Dishes,Chilly Corn Macroni,1,0,"Macroni, Corn, Chatpata Chilly mixed with Red & white Sauce, Cheese & Baked",350.0
Baked Dishes,Five Cheese Alforno,1,0,"Spinach, Corn & Paneer Rolled on Pasta Sheet, Topped with Tomota Concasse, Cheese ... read more",350.0
Baked Dishes,Spicy Italian Rice,1,0,Rice & Vegeyable mixed with spicy italian sauce topped with mozzarella & baked,350.0
Baked Dishes,Vegetable Au Gratin,1,0,Veggies with b,350.0
Pizzas,Classic Margarita Pizza,1,0,"Tomato , cheese, basil (10 inches)",310.0
Pizzas,Mac N Cheese Pizza,1,0,,330.0
Pizzas,Mexicana Pizza,1,0,"Spicy tomato sauce, capsicum, refried beans, onion, mozzarella (10 inches)",330.0
Pizzas,Pepper Paneer Pizza,1,0,"Paneer, Bell pepper, Spicy tomato sauce, Pizza Seasoning (10 inches)",330.0
Pizzas,Pizza Napoli,1,0,"Fresh tomato sauce, mozzarella, onion, capsicum, sun-dried tomato & jalapeno marinated in chilly ... read more",330.0
Pizzas,Smokey Fusion Pizza,1,0,"Bbq paneer, onion, capsicum, cheese (10 inches)",320.0
Pizzas,Traffic Jam Pizza,1,0,"Onion, Capsicum, Tomato, Corn, Baby Corn, Bell Pepper, Jalapeno, Olives,Pizza sauce, mozzarella (10 ... read more",365.0
Pizzas,Vegetable Verdure Pizza,1,0,"Grilled vegetables, mozzarella cheese (10 inches)",320.0
Indian Main Course,Aloo Chutney Wala,1,0,Aloo cookes in Chatpata Palak Gravy,260.0
Indian Main Course,Amritsari Paneer Bhurji,1,0,"Traditional Paneer Bhurji, Medium Spicy",300.0
