Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Healthy Bowls,Curry For Life Chicken,0,0,(Slurrp Version of Japanese curry with chicken katsu served with steamed rice),530.0
Healthy Bowls,Curry For Life Veg [o],1,0,(Slurrp Version of Japanese curry with paneer katsu served with steamed rice),530.0
Healthy Bowls,Fungi Bowl (Chicken),0,0,(Asian Flavoured rice sauted with mushroom) Add chicken,450.0
Healthy Bowls,Fungi Bowl Veg,1,0,(Asian Flavoured rice sauted with mushroom) Add paneer,450.0
Healthy Bowls,Ghee Rosat Chicken,0,0,,470.0
Healthy Bowls,Ghee Rosat Mushroom,1,0,,450.0
Healthy Bowls,Oriental Rice Bowl Chicken,0,0,,400.0
Healthy Bowls,Oriental Rice Bowl Veg,1,0,,400.0
Gym Box,Chicken Gym Box,0,0,"Juicy grilled chicken perfect for the fitness enthusiast, 250 gms chicken, 2 boiled ... read more",470.0
Gym Box,Egg Gym Box,0,0,A hearty egg based meal packed with protein and essential vitamins and minerals ... read more,390.0
Gym Box,Veg Gym Box,1,0,A box full of fresh and healthy vegetables that are perfect for those ... read more,450.0
Gym & Lean,Chicken Steak,0,0,"150Grms grilled whole chicken bresat tossed seasoned with herbs, served with sauce n ... read more",470.0
Gym & Lean,Creamy Mushroom Chicken Steak,0,0,Creamy mushroom chicken steak A delicious and creamy dish with succulent chicken steak ... read more,480.0
Gym & Lean,Creamy Mushroom Paneer Steak,1,0,Creamy mushroom paneer steak A delicious and creamy dish with succulent paneer steak ... read more,470.0
Gym & Lean,Fish Steak,0,0,A classic dish with a modern twist. garlic souse create a beautiful contrast ... read more,490.0
Gym & Lean,Mexican Chicken Platter,0,0,Mexican rice and Mexican creamy gravy served with salad,470.0
Gym & Lean,Mexican Paneer Platter,1,0,Mexican rice and Mexican creamy gravy served with salad,450.0
Gym & Lean,Paneer Steak,1,0,"150Grms grilled paneer tossed with herbs, served with sauce n exotic veggies",450.0
Gym & Lean,Roasted Chicken Lollipop,0,0,Chicken drum sticks roasted with herbs and mild spicing.,490.0
Gym & Lean,Stuffed Chicken Steak With Pepper Sauce,0,0,,540.0
Soup & Salads,Broccoli Almond Soup,1,0,,350.0
Soup & Salads,Chicken Egg Drop,0,0,"A comforting, warm bowl of rich broth with tender pieces of chicken and ... read more",350.0
Soup & Salads,Egg Drop,0,0,,300.0
Soup & Salads,Fusion Khow Suey Chicken,0,0,,430.0
Soup & Salads,Fusion Khow Suey Veg,1,0,,400.0
Soup & Salads,Roasted Tomato & Basil Soup With Cheese Toast,1,0,,350.0
Soup & Salads,Veg Clear,1,0,,270.0
Soup & Salads,Avo Caprese Salad,1,0,"Avocado, cherry tomato, romaine lettuce & ice burg lettuce dressed with chipotle sauce.",550.0
Soup & Salads,Avocado Siracha Chicken Salad,0,0,"Grilled chicken breast with cherry tomato, romaine lettuce , ice burg lettuce ... read more",520.0
Soup & Salads,Avocado Siracha Egg Salad,0,0,,480.0
Soup & Salads,Grilled Paneer,1,0,"Paneer, bell peppers, onions, tomatoes grilled with a chilli herb dressing.",380.0
Soup & Salads,Pesto Chicken Salad,0,0,,450.0
Soup & Salads,Pesto Paneer Salad,1,0,150gm Paneer tossed with pesto sauce & exotic veggies,440.0
Soup & Salads,Roasted Chicken Salad,0,0,150gm Chicken chunks roasted with vegetables and herbs.,400.0
Soup & Salads,Roasted Egg Salad,0,0,4 Boiled eggs tossed with exotic vegetables and herbs.,370.0
Soup & Salads,Roasted Veggie Salad,1,0,,380.0
Soup & Salads,Veggie Paneer Salad,1,0,,380.0
Kathi Rolls,Chicken Tikka Roll,0,0,"A spicy, flavorful, juicy, and tender chicken tikka roll in a soft and ... read more",420.0
Kathi Rolls,Egg Tikka Roll,0,0,"A delicious egg roll wrapped in a soft, puffy, leavened bread. A perfect ... read more",350.0
Kathi Rolls,Mushroom Tikka Roll,1,0,"A delightful combination of soft mushroom tikka, vegetables and spices wrapped in a ... read more",350.0
Kathi Rolls,Paneer Tikka Roll,1,0,"A delightful combination of soft paneer chunks, vegetables and spices wrapped in a ... read more",350.0
Eggs,Baked Egg With Pesto & Chicken,0,0,Pesto sauce and chicken are baked with 2 eggs,450.0
Eggs,Bakes Eggs With Mushroom & Spinach,0,0,A savory and hearty baked egg dish loaded with flavorful mushrooms and nutritious ... read more,430.0
Eggs,Chicken & Cheese Omlette,0,0,,400.0
Eggs,Mushroom & Cheese Omlette,0,0,Omlette egg content,380.0
Eggs,Stuffed Mushroom & Chicken Cheese Omlette,0,0,3 Egg omlette is stuffed with sauted mushroom and cheese and also comes ... read more,430.0
Eggs,Stuffed Spinach & Mushroom,0,0,Egg content,410.0
Kebab And Tikka,Chicken Malai Tikka,0,0,"Tender pieces of chicken marinated in a creamy, aromatic, and flavorful sauce with ... read more",520.0
Kebab And Tikka,Egg Tikka,0,0,,380.0
Kebab And Tikka,Garlic Chicken Tikka,0,0,"A succulent, juicy and flavorful dish made with tender chicken pieces, marinated in ... read more",490.0
Kebab And Tikka,Kulhar Dum Murg,0,0,,520.0
Kebab And Tikka,Middle Eastern Fish Tikka,0,0,,540.0
Kebab And Tikka,Mushroom Tikka,1,0,Delicious Indian dish with tender mushrooms roasted to perfection with fragrant spices.,420.0
Kebab And Tikka,Mustard Fish Tikka,0,0,"Tasty and mouthwatering Mustard fish tikka, a delicious Indian dish",540.0
Kebab And Tikka,Mutton Shami Kabab,0,0,,620.0
Kebab And Tikka,Peri Peri Tikka Chicken,0,0,"Tender chicken marinated in aromatic Indian spices, grilled to perfection",490.0
Kebab And Tikka,Peri Peri Tikka Fish,0,0,,540.0
Kebab And Tikka,Peri Peri Tikka Paneer,1,0,Delicious Indian dish with tender paneer roasted to perfection with fragrant spices.,440.0
Kebab And Tikka,Malai Paneer Tikka,1,0,,500.0
