Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Manchow Soup,1,0,"A thick soup made from finely cut vegetables, tomatoes and ginger garlic with ... read more",220.0
Soups,Veg Clear Soup [400 ml],1,0,A thick soup made from finely cut vegetables boiled with water topped with ... read more,220.0
Soups,Lemon Coriander Soup,1,0,"A clear vegetable soup made with mixed vegetables, lemon and coriander leaves. Its ... read more",220.0
Soups,Hot and Sour Soup,1,0,,220.0
Chinese,Manchurian Dry,1,0,"A crispy starter snack of fried veg balls tossed in the spicy, sweet, ... read more",249.0
Chinese,Schezwan Manchurian Dry,1,0,,239.0
Chinese,Paneer Manchurian Dry,1,0,[Veg preparation],259.0
Chinese,Veg 65 [450 ml],1,0,,249.0
Chinese,Paneer 65,1,0,500 ml Plastic Container,289.0
Chinese,Paneer Butter Pepper Garlic,1,0,"Paneer cubes stir fried with pepper, garlic, capsicum, Chinese sauces and topped with ... read more",289.0
Chinese,Paneer Chilli Dry,1,0,"A delicious starter snack, paneer fried with flavorful spicy tangy sauce with capsicum ... read more",309.0
Chinese,Sauteed Paneer with Exotic Vegetable [500 ml],1,0,,329.0
Chinese,Crispy Veg Butter Pepper Garlic [650 ml],1,0,[Veg preparation],299.0
Chinese,Crispy Corn in Salt N Pepper [450 ml],1,0,,219.0
Chinese,Crispy Corn in Schezwan Sauce [450 ml],1,0,,219.0
Chinese,Crispy Veg in Schezwan Sauce [650 ml],1,0,,239.0
Chinese,Crispy Paneer with Schezwan Sauce,1,0,,299.0
Chinese,Vegetable Chinese Gravy,1,0,500 ml Plastic Container,219.0
Chinese,Manchurian Gravy,1,0,"A Chinese main course with fried veg balls tossed in the spicy, sweet, ... read more",229.0
Chinese,Mixed Chinese Gravy,1,0,,259.0
Chinese,Paneer Chinese Gravy,1,0,500 ml Plastic Container,265.0
Chinese,Bombay Style Bhel [Sweet],1,0,,199.0
Chinese,Chinese Bhel,1,0,"Fried noodles, perked up with crunchy veggies like cabbage, carrot, capsicum and spring ... read more",239.0
Chinese,Taiwan Bhel,1,0,660 ml Silver Container,249.0
Chinese,Vegetable Fried Rice,1,0,Rice stir fried with vegetables in a traditional wok with spicy masala.,209.0
Chinese,Schezwan Fried Rice,1,0,"Hot and spicy fried rice with bursting flavors of ginger, garlic, soya sauce ... read more",219.0
Chinese,Burnt Garlic Fried Rice,1,0,Rice stir fried with vegetables and burnt garlic in a traditional wok with ... read more,229.0
Chinese,Singapore Fried Rice,1,0,660 ml Silver Container,239.0
Chinese,Manchurian Fried Rice,1,0,,239.0
Chinese,Mexican Rice [650 ml] with Veg Gravy [300 ml],1,0,"A fusion meal lightly spiced rice with corn, tomato, garlic, onion and jalapeno ... read more",329.0
Chinese,Mexican Rice [650 ml] with Paneer Gravy [300 ml],1,0,"A fusion meal lightly spiced rice with corn, tomato, garlic, onion and jalapeno ... read more",349.0
