Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Starters,Paneer Banjara Tikka,1,0,"Tender pieces of paneer, marinated in a blend of aromatic spices and cooked ... read more",345.0
Starters,Paneer Tikka,1,0,"A juicy, meltinyourmouth, tender paneer tikka with a rich, aromatic flavour.",345.0
Starters,Paneer Nawabi Tikka,1,0,Tender and succulent paneer tikka pieces cooked in a creamy and aromatic sauce. ... read more,370.0
Starters,Paneer Cheesy Tikka,1,0,Paneer are the star of this dish. They are stuffed with a delicious ... read more,370.0
Starters,Hara Bhara Kabab,1,0,"The hara bhara kebab are made from a mixture of chicken and spinach, ... read more",305.0
Starters,Makkai Tikki,1,0,"Crisp, tasty and flavorful, our Makkhi Tikki is a delectable snack that is ... read more",305.0
Starters,Pudina Peanut Kabab,1,0,A succulent and aromatic dish that is bursting with the flavors of mint ... read more,305.0
Starters,Hyderabadi Mirch Kabab,1,0,"A flavorful, juicy, and succulent kebab made with a blend of spices and ... read more",305.0
Starters,Peshawari Kabab,0,0,"Tender chunks of minced lamb blended with aromatic spices, cooked on a traditional ... read more",305.0
Starters,Crispy Vegetables,1,0,"Crispy fried vegetables a crunchy, flavorful dish of fresh vegetables coated in a ... read more",310.0
Starters,Vegetable Lollipop,1,0,A sweet and savory appetizer with a crispy exterior and a soft and ... read more,325.0
Starters,Vegetable Manchurian Dry,1,0,This is the Indo Chinese starter dish where fried vegetable balls are coated ... read more,325.0
Starters,Vegetable 65,1,0,"A crispy and flavorful dish with a generous helping of vegetables, perfect to ... read more",325.0
Starters,Mushroom Spicy Coriander,1,0,"A delicious and spicy dish made with mushrooms and coriander leaves, which is ... read more",355.0
Starters,Baby Corn Mushroom Red Chilli Pepper,1,0,A spicy and flavorful dish that pairs baby corn and mushroom with red ... read more,355.0
Starters,Baby Corn Mushroom Salt and Pepper,1,0,Baby corn is a sweet and crunchy vegetable that goes well with the ... read more,355.0
Starters,Chilli Crispy Thread Paneer,1,0,A crispy snack with a burst of flavor from the chilli and garlic ... read more,365.0
Starters,Chilli Paneer,1,0,"A delicious dish made with spicy red chillies and paneer, which is sure ... read more",365.0
Starters,Paneer Shanghai,1,0,A spicy and tangy dish made with paneer cubes cooked in a special ... read more,365.0
Starters,Thai Paneer Chilli,1,0,"A spicy, tangy and delectable Thai dish made with paneer cubes, bell peppers ... read more",365.0
Starters,Pare Pare Paneer,1,0,"A rich and creamy paneer dish, this dish is perfect for a hearty ... read more",320.0
Main Course,Milano Tarkari,1,0,"Diced vegetables, bell pepper, coconut cream cooked onion gravy.",425.0
Main Course,Sabzi Begam Bahar,1,0,This is combination of two on the same platter.,425.0
Main Course,Nargisi Kofta,1,0,Mix vegetables kofta stuffed with paneer served with onion and tomato gravy.,425.0
Main Course,Paneer Delhi Bikaner,1,0,A Delhi style stuffed paneer tossed with whole spices in traditional bikaner style ... read more,455.0
Main Course,Paneer Khurchan,1,0,"Historic dish with paneer raked from heavy bottomed pan, capsicum and onion in ... read more",455.0
Main Course,Paneer Lababdar,1,0,Soft paneer batons tossed in chef special jain makhani gravy without any third ... read more,455.0
Main Course,Kaju Butter Masala,1,0,Fried cashew nuts cooked in a mild onion and white gravy with a ... read more,475.0
Main Course,Dal Fry,1,0,"An Indian delicious dish made with lentils, spices and herbs.",215.0
