Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Fried Rice and Chowmein,Fried Rice,1,0,,99.0
Fried Rice and Chowmein,Egg Schezwan Rice,0,0,,81.0
Fried Rice and Chowmein,Egg Jeera Rice,0,0,,72.0
Fried Rice and Chowmein,Egg Bhurji Rice,0,0,,81.0
Fried Rice and Chowmein,Egg Fried Rice,0,0,,99.0
Fried Rice and Chowmein,Egg Chicken Fried Rice,0,0,,126.0
Fried Rice and Chowmein,Veg Paneer Chowmein,1,0,,90.0
Fried Rice and Chowmein,Mix Veg Chowmein,1,0,,99.0
Fried Rice and Chowmein,Mushroom Chowmein,1,0,,117.0
Fried Rice and Chowmein,Egg Chowmein,0,0,,81.0
Fried Rice and Chowmein,Chicken Chowmein,0,0,,90.0
Fried Rice and Chowmein,Egg Chicken Chowmein,0,0,,90.0
Fried Rice and Chowmein,Double Egg Chicken Chowmein,0,0,,99.0
Fried Rice and Chowmein,Mixed Chowmein,0,0,"Egg, chicken and prawns.",117.0
Main Course,Chana Paneer,1,0,,90.0
Main Course,Matar Paneer,1,0,,99.0
Main Course,Palak Paneer,1,0,,126.0
Main Course,Paneer Masala,1,0,,135.0
Main Course,Mushroom Masala,1,0,,135.0
Main Course,Kaju Paneer,1,0,,144.0
Main Course,Paneer Handi,1,0,,144.0
Main Course,Kaju Mushroom,1,0,,171.0
Main Course,Mushroom Handi,1,0,,189.0
Main Course,Egg Keema,0,0,,72.0
Main Course,Egg Kadhi,0,0,,81.0
Main Course,Lahsan Tadka,0,0,,54.0
Main Course,Egg Bhurji,0,0,,81.0
Main Course,Fish Masala,0,0,,90.0
Main Course,Mutton Keema,0,0,,99.0
Main Course,Chicken Curry,0,0,,117.0
Main Course,Chicken Kassa,0,0,,126.0
Main Course,Chicken Tikka Butter Masala,0,0,,126.0
Main Course,Chicken Stick Kabab Butter Masala,0,0,,135.0
Main Course,Chicken Butter Masala,0,0,,135.0
Main Course,Chicken Leg Butter Masala,0,0,,135.0
Main Course,Crab Curry,0,0,,135.0
