Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Classic Jumbo Burger with French Fries and Any One Mojito,1,0,"Classic jumbo burger contain special herb potato patty, onion with fresh soft buns ... read more",140.0
Combos,Mix Veg Fried Momos(6 pcs) + French Fries + Any One Mojito,1,0,"Classic veg fried momos served with special dips, french fries and any one ... read more",164.0
Combos,Exotica Pizza [7 inches] with Cheese Garlic Bread and Any One Mojito,1,0,"Olive, jalapeno, capsicum, red paprika, onion with special sauce & lots of mozzarella ... read more",212.0
Combos,"Classic Burgers [Jumbo, 3 Pieces]",1,0,Classic jumbo burgers which contains tasty herb potato patty imprisoned with onion and ... read more,116.0
Combos,Barbeque Burger with Mexican Burger and French Fries,1,0,Barbeque Burger+Mexican Burger+French Fries+Any One Mojito,236.0
Combos,Pink Sauce Pasta with Cheese Garlic Bread and Any One Mojito,1,0,Penne pasta tossed in cheesy & creamy fusion pink sauce along with sweet ... read more,212.0
Burgers,Classic Jumbo Burger [1 Piece],1,0,Tasty herb potato patty imprisoned with onion & tasty sauce between fresh soft ... read more,48.0
Burgers,Peri Peri Burger [1 Piece],1,0,Enjoy the flavor of peri peri with tasty herb potato patty with special ... read more,56.0
Burgers,Spicy Barbeque King Burger [1 Piece],1,0,Top selling spicy burger topped with super spicy sauce with tasty herb potato ... read more,56.0
Burgers,Indian Delight Burger [1 Piece],1,0,Top selling spicy burger topped with super spicy sauce with tasty herb potato ... read more,56.0
Burgers,Punjabi Tadka Burger [1 Piece],1,0,Top selling spicy burger topped with super spicy sauce with tasty herb potato ... read more,56.0
Burgers,Double Tikki Burger [1 Piece],1,0,Two tasty herb potato patty imprisoned with onion & tasty sauce between fresh ... read more,72.0
Burgers,Mexican King Burger [1 Piece],1,0,"Perfect crispy tikki delight with delicious mexican tangy taste topped with jalapeno, corn ... read more",80.0
Burgers,Barbecue King Burger [1 Piece],1,0,Tasty herb potato patty with authentic barbeque flavor imprisoned with onion & tasty ... read more,72.0
Burgers,7 Saucy King Burger [1 Piece],1,0,"Delicious paneer tikka fried to perfection with makhani sauce, spices, shredded onion, packed ... read more",104.0
