Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Friends & Family Combo (Save upto 20%),6 Crispy Veg,1,0,Qty: 822 Gms| Kcal: 2173.2 | Carbs 320.4 Gms| Sugar: 39 Gms| Fat: ... read more,350.0
Friends & Family Combo (Save upto 20%),4 Crispy Veg + 2 Medium Fries,1,0,4 Crispy Veg + 2 Medium Fries Qty: 728 Gms| Kcal: 2101.2 | ... read more,400.0
Friends & Family Combo (Save upto 20%),Veggie Strips(5Pcs) + 1 Dip,1,0,Veggie Strips(5Pcs) + 1 Dip Qty: 105 Gms| Kcal: 328.1 | Carbs 33.5 ... read more,72.81
Friends & Family Combo (Save upto 20%),Boneless Chicken Wings(4pcs)+1Fiery Hell Dip,0,0,Boneless Chicken Wings (4pcs) with 1 Fiery Hell Dip,172.81
Friends & Family Combo (Save upto 20%),Boneless Chicken Wings(7Pcs)+1Fiery Hell Dip,0,0,,272.81
Friends & Family Combo (Save upto 20%),Hot 'N' Saucy Bite,1,0,MRP 318 | Hot n Saucy + Med Fries. Qty: 369 Gms| Kcal: 1014.5 ... read more,270.0
Friends & Family Combo (Save upto 20%),Fire Me Up,0,0,MRP 318 | Fiery Chicken Burger + Med Fries. Qty: 361 Gms| Kcal: 920.5 ... read more,270.0
Friends & Family Combo (Save upto 20%),1 Crispy Veg Double Patty+1 Classic Cold Coffee,1,0,Save Rs. 50 | 1 Crispy Veg Double Patty+1 Classic Cold Coffee Qty: ... read more,243.0
Friends & Family Combo (Save upto 20%),1 Crispy Chicken+1 Classic Cold Coffee,0,0,Save Rs. 50 | 1 Crispy Chicken+1 Classic Cold Coffee Qty: 475 ... read more,243.0
Friends & Family Combo (Save upto 20%),2 Classic Cold Coffee @139 each,1,0,2 Classic Cold Coffee Qty: 700 Gms| Kcal: 430 | Carbs 48.3 Gms| ... read more,278.0
Friends & Family Combo (Save upto 20%),1 Jr Veg Whopper +1 Chocolate Thick Shake,1,0,Save Rs. 49 | 1 Jr. Veg Whopper +1 Chocolate Thick Shake Qty: ... read more,269.0
Friends & Family Combo (Save upto 20%),1 Jr Chicken Whopper+1 Chocolate Thick Shake,0,0,Save Rs 49 | 1 Jr. Chicken Whopper+1 Chocolate Thick Shake Qty: 167 ... read more,289.0
Friends & Family Combo (Save upto 20%),Fiery Twins,0,0,MRP 398 | 2 Fiery Chicken Burgers. Qty: 494 Gms| Kcal: 1176 | ... read more,338.0
Friends & Family Combo (Save upto 20%),Hot 'N' Saucy Twins,1,0,MRP 398 | 2 Hot N Saucy Burgers. Qty: 510 Gms| Kcal: 1364 ... read more,338.0
Friends & Family Combo (Save upto 20%),2 Crispy Veg Double Patty + 1King Fries + 1Veggie strips,1,0,Qty: 605 Gms| Kcal: 1772 | Carbs 745 Gms| Sugar: 23.9 Gms| Fat: ... read more,387.0
Friends & Family Combo (Save upto 20%),Crispy Veg + Med Fries + Chocolate Thick Shake,1,0,Save Rs 99 | Crispy Veg + Medium Fries + chocolate thick shake ... read more,265.0
Friends & Family Combo (Save upto 20%),Crispy Chicken + Med Fries + Chocolate Thick Shake,0,0,Save Rs 99 | Crispy Chicken + Medium Fries + chocolate thick shake ... read more,285.0
Friends & Family Combo (Save upto 20%),BK Veggie + Med Fries + Chocolate Thick Shake,1,0,Save Rs 99 | BK Veggie + Medium Fries + chocolate thick shake ... read more,314.0
Friends & Family Combo (Save upto 20%),BK Chicken + Med Fries + Chocolate Thick Shake,0,0,Save Rs 99 | BK Chicken + Medium Fries + chocolate thick shake ... read more,334.0
Friends & Family Combo (Save upto 20%),Veg Whopper + Med Fries + Chocolate Thick Shake,1,0,Save Rs 99 | Veg Whopper + Med Fries + Chocolate thick shake ... read more,374.0
