Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Sandwiches & Open Toast,Exotic Veg Club Sandwich,1,0,A healthy and tasty sandwich made with a slice of vegetables including bell ... read more,260.1
Sandwiches & Open Toast,Chilli Cheese Chutney Club Sandwich,1,0,A sandwich with a tangy chutney and oodles of cheese with our special ... read more,305.1
Sandwiches & Open Toast,Tandoori Paneer Club Sandwich,1,0,"A delectable and flavourful veg sandwich with soft, melt in the mouth paneer ... read more",305.1
Sandwiches & Open Toast,Indian Style Masala Sandwich,1,0,A delectable sandwich with a spicy and flavorful filling made with Indian spices. ... read more,134.1
Sandwiches & Open Toast,Tomato Cheese Pesto Sandwich,1,0,"A delicious sandwich with a burst of flavor, this tomato and cheese sandwich ... read more",152.1
Sandwiches & Open Toast,The Runner Exotic Veg Sandwich,1,0,A healthy and tasty sandwich made with a slice of vegetables including bell ... read more,152.1
Sandwiches & Open Toast,Chutney Grilled Cheese Sandwich,1,0,A sandwich with a tangy chutney and noodles of cheese with our special ... read more,170.1
Sandwiches & Open Toast,Creamy Chilli Cheese Sandwich,1,0,"A delicious sandwich with a creamy and spicy flavour, perfect for a quick ... read more",179.1
Sandwiches & Open Toast,Roasted Malai Veg Sandwich,1,0,"A scrumptious sandwich filled with a delectable mixed of roasted vegetables and malai, ... read more",152.1
Sandwiches & Open Toast,Indian Tandoori Paneer Sandwich,1,0,"A delectable and flavourful veg sandwich with soft, melt in the mouth paneer ... read more",197.1
Sandwiches & Open Toast,Coleslaw Malai Sandwich,1,0,,107.1
Sandwiches & Open Toast,Zucchini & Bell Pepper Sandwich,1,0,,215.1
Sandwiches & Open Toast,Exotic Veg Open Toast,1,0,,179.1
Sandwiches & Open Toast,Schezwan Cheese Open Toast,1,0,,152.1
Sandwiches & Open Toast,Paneer Bhurji Open Toast,1,0,,179.1
Sandwiches & Open Toast,Garlic Cheese Open Toast,1,0,Garlic cheese open toast is a simple yet flavourful dish. That combines the ... read more,152.1
Sandwiches & Open Toast,Paneer Tikka Open Toast,1,0,"Paneer Tikka Open Toast is a delightful fusion dish that combines the smoky, ... read more",179.1
Sandwiches & Open Toast,Margherita Cheese Open Toast,1,0,,134.1
Starters,Tandoori Pan Fried Paneer,1,0,A classic dish prepared with tender paneer pieces in a delicately spiced marinade ... read more,224.1
Starters,Malai Pan Fried Paneer,1,0,"Crisp, melt in your mouth paneer fritters, stuffed with a delicious mixed of ... read more",224.1
Starters,Arabian Pan Fried Paneer,1,0,"A savory dish made with paneer and fresh vegetables, cooked to perfection in ... read more",224.1
Starters,Hot Chilli Pan Fried Paneer,1,0,A delectable dish made with paneer cubes tossed in a spicy and flavorful ... read more,224.1
Starters,Black Pepper Pan Fried Paneer,1,0,"A spicy and flavorful dish made with paneer and black pepper, a perfect ... read more",224.1
