Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Fresh Juice,Anjeer Juice,1,0,,250.0
Fresh Juice,Apple Juice,1,0,,210.0
Fresh Juice,Black Grapes Juice,1,0,,160.0
Fresh Juice,Cocktail Juice,1,0,,160.0
Fresh Juice,Mix Fruit Platter,1,0,,230.0
Fresh Juice,Ganga Jamuna Juice,1,0,,130.0
Fresh Juice,Ganga Jamuna Saraswati Juice,1,0,,160.0
Fresh Juice,Kiwi & Strawberry (Seasonal) Juice,1,0,,250.0
Fresh Juice,Kiwi Juice,1,0,,210.0
Fresh Juice,Mango (Seasonal) Juice,1,0,,250.0
Fresh Juice,Mara Mari Juice,1,0,,160.0
Fresh Juice,Mosambi Juice,1,0,,120.0
Fresh Juice,Orange Juice,1,0,,130.0
Fresh Juice,Papaya Juice,1,0,,120.0
Fresh Juice,Pineapple Juice,1,0,,150.0
Fresh Juice,Pomegranate Juice,1,0,,200.0
Fresh Juice,Strawberry (Seasonal) Juice,1,0,,250.0
Fresh Juice,Water Melon Juice,1,0,,110.0
Fresh Fruit Milk Shake,Apple Shake,1,0,,160.0
Fresh Fruit Milk Shake,Banana Shake,1,0,,110.0
Fresh Fruit Milk Shake,Black Grapes Shake,1,0,,160.0
Fresh Fruit Milk Shake,Chickoo Shake,1,0,,120.0
Fresh Fruit Milk Shake,Fresh Anjeer (Seasonal) Shake,1,0,,180.0
Fresh Fruit Milk Shake,Kiwi Shake,1,0,,210.0
Fresh Fruit Milk Shake,Litchi (Seasonal) Shake,1,0,,210.0
Fresh Fruit Milk Shake,Mango Shake,1,0,,210.0
Fresh Fruit Milk Shake,Papaya Shake,1,0,,110.0
Fresh Fruit Milk Shake,Sitafal Shake,1,0,,210.0
Fresh Fruit Milk Shake,Strawberry Shake,1,0,,210.0
Falooda,Chocolate Falooda,1,0,,250.0
Falooda,Dry Fruit Falooda,1,0,,270.0
Falooda,Rose Falooda,1,0,,220.0
Falooda,Shahi Gulab Falooda,1,0,,240.0
Special Shake,Belgium Chocolate Shake,1,0,[Veg preparation],290.0
Special Shake,Chic Choc Shake,1,0,[Veg preparation],230.0
Special Shake,Classic Chocolate Shake,1,0,,220.0
Special Shake,Cold Coffee Shake,1,0,,210.0
Special Shake,Kaju Anjeer Shake,1,0,[Veg preparation],250.0
Special Shake,Oreo Shake,1,0,,220.0
Special Shake,Shahi Gulab Shake,1,0,,210.0
Special Shake,Vanilla Shake,1,0,,210.0
Fresh Fruit Cream,Apple Cream,1,0,,210.0
Fresh Fruit Cream,Banana Cream,1,0,,170.0
Fresh Fruit Cream,Hic Choc Cream,1,0,,170.0
Fresh Fruit Cream,Chickoo Cream,1,0,,170.0
Fresh Fruit Cream,Jamun Cream,1,0,,230.0
Fresh Fruit Cream,Kiwi Cream,1,0,,190.0
Fresh Fruit Cream,Litchi Cream,1,0,,230.0
