Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Soups,Spinach Soup,1,0,"Spinach soup made up of fresh spinach puree, flavoured with mild spices & ... read more",260.0
Soups,Tomato Soup,1,0,"Tomato soup made up of fresh tomato puree, flavoured with mild spices & ... read more",250.0
Soups,Hot & Sour Soup,1,0,(NOT AVAILABLE IN JAIN) A spicy & tangy soup,250.0
Soups,Sweet Corn Vegetable Soup,1,0,A delicately flavoured broth with corn kernels & chopped veggies,250.0
Soups,Creamy Mushroom Soup,1,0,(NOT AVAILABLE IN JAIN) Garlic sauteed mushroom in a rich Veloutte sauce.,270.0
Soups,Lemon Coriander Soup,1,0,(NOT AVAILABLE IN JAIN ) A tangy clear soup of vegetables with coriander ... read more,260.0
Soups,Minestrone Soup,1,0,"A thick tomato based soup, made with veggies, beans and pasta",260.0
Soups,Veg Wonton Soup,1,0,(NOT AVAILABLE IN JAIN) A clear soup of Bok choy and broth boiled ... read more,250.0
Soups,Roasted Tomato & Bellpepper Soup,1,0,Roasted bellpeppers and tomatoes simmered into a hearty bisque,250.0
Soups,Cantonese Soup with Crispy Noodles,1,0,(NOT AVAILABLE IN JAIN) A soy based hot and sour soup with vegetables ... read more,270.0
Soups,Thukpa Soup,1,0,Tibetan noodle soup with vegetables & clear broth,270.0
Starters,Stuffed Aloo,1,0,"(NOT AVAILABLE IN JAIN) stuffed baby potatoes marinated in yogurt, flavoured with Indian ... read more",385.0
Starters,Hariyali Paneer Tikka,1,0,Cubes of fresh cottage cheese marinated in pudina tikka masala & grilled in ... read more,460.0
Starters,Hara Bhara Kebab,1,0,"Delicate kebabs fashioned with spinach, green peas & cottage cheese, spiced with herbs ... read more",385.0
Starters,Assorted Veg Platter,1,0,"(NOT AVAILABLE IN JAIN) Platter of stuffed mushroom tikka, paneer tikka, achari aloo, ... read more",490.0
Starters,Paneer Tikka,1,0,Cubes of fresh cottage cheese marinated in spicy tikka masala & grilled in ... read more,450.0
Starters,Bharwaan Mushroom,1,0,"(NOT AVAILABLE IN JAIN) Fresh mushroom stuffed with cheese, marinated in yogurt, flavoured ... read more",450.0
Starters,Paneer Nazakat,1,0,"Nazakat’ Means Delicate Elegance. Paneer Cubes Thinly Stuffed And Marinated In Masalas, Grilled ... read more",450.0
Starters,Tandoori Dim Sum,1,0,"This Humble Snack Gets ‘Delhified’ In Our Tandoori Version. Steamed Momos, Doused In ... read more",450.0
Starters,Dahi Ke Kebab,1,0,"(6 pcs.) A Classic Mughlai appetizer made using hang curd, creamy on the ... read more",420.0
Starters,Beetroot Peanut Cutlet with Mango Chilli Sauce,1,0,(NOT AVAILABLE IN JAIN) Panko breadcrumbs crusted and pan fried crispy beetroot and ... read more,460.0
Starters,Chinese Cigar,1,0,(N/A in JAIN) Made by rolling a succulent stuffing of mixed vegetables and ... read more,430.0
Starters,Veg Wontons,1,0,"(NOT AVAILABLE IN JAIN) A Chinese starter consisting of dumplings filled with vegetables, ... read more",420.0
Starters,Pesto Mushroom Crostini,1,0,(NOT AVAILABLE IN JAIN) Toasted bread topped with grilled mushrooms on a bed ... read more,360.0
Starters,Lebanese Platter,1,0,"(NOT AVAILABLE IN JAIN) House made piri-piri tortilla chips, whole wheat pita bread, ... read more",490.0
Starters,Tomato & Basil Bruschetta,1,0,"(6 pcs) This classic Italian antipasto uses toasted Italian bread rubbed with garlic, ... read more",360.0
Starters,Exotic Veggie Crostini,1,0,"Toasted bread topped with grilled zucchini, bell peppers, baby corns and aubergine on ... read more",360.0
Starters,Spinach and Cheese Cigars,1,0,"(NOT AVAILABLE IN JAIN) Sauteed spinach, roasted corn, cheddar and mozzarella cheese made ... read more",430.0
Starters,Mushroom Paneer Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Mushroom and cottage cheese marinated in lebanese spices, grilled ... read more",320.0
Starters,Paneer Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Cottage cheese marinated in lebanese spices, grilled and rolled ... read more",320.0
Starters,Mixed Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Cottage cheese, mushroom and potato marinated in lebanese spices, ... read more",320.0
Starters,Deconstructed Mushroom Paneer Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Shawarma of your choice, in an open format (instead ... read more",320.0
Starters,Hummus With Pita,1,0,"(NOT AVAILABLE IN JAIN) A smooth creamy dip of puffed chickpeas with tahini, ... read more",290.0
Starters,Spinach Corn & Cheese Roll,1,0,"spinach corn & cheese masala rolled in Indian bread with onions, lettuce & ... read more",290.0
Starters,Mushroom Tandoori Roll,1,0,(NOT AVAILABLE IN JAIN) Tandoori mushroom & tandoori paneer tikka marinated in Indian ... read more,290.0
Starters,Paneer Tikka Tandoori Roll,1,0,"Tandoori paneer tikka marinated in Indian spices, rolled in Indian bread with onions, ... read more",290.0
Starters,Deconstructed Paneer Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Shawarma of your choice, in an open format (instead ... read more",320.0
Starters,Extra Pita Bread,1,0,,80.0
Starters,Deconstructed Mixed Shawarma,1,0,"(NOT AVAILABLE IN JAIN) Shawarma of your choice, in an open format (instead ... read more",320.0
Starters,Falafel in pesto hummus,1,0,(NOT AVAILABLE IN JAIN) Whole Wheat Pita Bread Wrap Of Falafel Balls In ... read more,330.0
