Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Pavan Omelette Special,Egg Cassata [5 Eggs],0,0,,400.0
Pavan Omelette Special,Egg Paplet with Cheese [4 Eggs],0,0,,320.0
Pavan Omelette Special,Egg Toofani Tadka [6 Eggs],0,0,,450.0
Pavan Omelette Special,Egg 007 [5 Eggs],0,0,,400.0
Pavan Omelette Special,Red Goti Gotala,0,0,,170.0
Pavan Omelette Special,Green Goti Gotala,0,0,,170.0
Special,Plain Lasan Fry,0,0,[2 Eggs] Sunny Side Up Topped with Special Gravy Made out of ... read more,150.0
Special,Tomato Fry,0,0,[2 Eggs] [Serves with 5 Pav],150.0
Special,Lasan Fry Gravy,0,0,[2 Eggs] Sunny side up topped with special gravy made out of ... read more,150.0
Special,Australian Fry,0,0,[4 Egg] [chefs Special] This is half fry prepared with yolk based cheesy ... read more,290.0
Special,Afgani Fry Cheese,0,0,[4 Eggs] with 6 Butter Pav,290.0
Special,Lasan Kachu Paku,0,0,[2 Eggs] with 5 Pav,150.0
Special,Chinese Fry,0,0,[2 Eggs] [Serves with 5 Pav],150.0
Special,Cheese Tomato Fry,0,0,[2 Eggs] with 2 Pav,170.0
Combo Offer,Breakfast Special Combo,0,0,Bombay Omelette [2 Eggs]+Egg Sandwich [2 Pieces]+Ketchup+Pav [4 Pav]+Buttermilk [200 ml],259.0
Combo Offer,Egg Breakfast Combo,0,0,Regular Omelette [2 Eggs]+Egg Cutlet [2 Pieces]+Tomato Ketchup+Pav [4 Pav],230.0
Combo Offer,Egg Biryani Combo,0,0,Egg Biryani+Green Chutney+Buttermilk [200 ml],229.0
Combo Offer,Egg Laziz Combo,0,0,Egg Laziz [2 Eggs]+Green Ghotala [2 Eggs]+Egg Omelette [2 Eggs]+Butter Pav [10 Pav]+Buttermilk ... read more,369.0
Combos,Egg Lahori Combo,0,0,Egg Lahori [2 Eggs]+Lasan Fry [2 Eggs]+Egg Pulao+Butter Pav [8 Pav]+Buttermilk [200 ml] ... read more,399.0
Combos,Egg Chinese Fry Combo,0,0,Egg Chinese Fry [2 Eggs]+Lasan Kachu Paku [2 Eggs]+Butter Pav [8 Pav]+Buttermilk [200 ... read more,300.0
Combos,Egg Australian Fry Combo,0,0,Egg Australian Fry [4 Eggs]+Egg Biryani+Butter Pav [7 Pav]+Buttermilk [200 ml] Prepared in ... read more,400.0
Combos,Egg Hyderabadi Combo,0,0,Egg Hyderabadi [3 Eggs]+Cream and Onion [2 Eggs]+Butter Pav [10 Pav]+Buttermilk [200 ml] ... read more,450.0
Combos,Egg Thikhari Combo,0,0,Egg Thikari [3 Eggs]+Egg Rawaiya [2 Eggs]+Cheese and Cream Boil Fry [2 Eggs]+Butter ... read more,550.0
Combos,Egg Maharaja Combo,0,0,Egg Maharaja [5 Eggs]+Egg Biryani+Butter Pav [8 Pav]+Buttermilk [200 ml] Prepared in butter.,499.0
Thali,Silver Egg Thali,0,0,Green Kheema+Red Egg Curry [1 Egg]+1 Boiled Egg+Egg Biryani+4 Roti+Salad+Butter Milk [200 ml] ... read more,295.0
Thali,Golden Egg Thali,0,0,Green Kheema+Red Egg Curry [1 Egg]+1 Boiled Egg+Egg Biryani+5 Pav+Salad+Butter Milk [200 ml] ... read more,295.0
Starters,Boiled Egg [2 Eggs],0,0,Soft boiled egg perfect for dipping.,40.0
Starters,Gym Special Boiled Egg [5 Eggs],0,0,Deliciously boiled and protein packed eggs.,100.0
Starters,Green Kheema,0,0,"A savory and satisfying start to any meal, this flavorful dish features tender ... read more",170.0
Starters,Green Katki Gotala,0,0,A delicious egg based starter served with  fluffy pav [5 pav] buns.,170.0
Starters,Egg Lachko [2 Eggs],0,0,Fluffy egg sandwiched in a soft pav.,170.0
Starters,Egg Bhurji [2 Eggs] with 5 Pav,0,0,"An egg based starter with fluffy bhurji and soft pav buns, perfect for ... read more",170.0
Starters,Red Gotala,0,0,,170.0
Starters,Red Katki Gotala,0,0,,170.0
Starters,Lasan Bhurji [2 Eggs],0,0,With 5 pav.,170.0
Starters,Cheese Bhurji [2 Eggs],0,0,With 5 pav.,170.0
Starters,Egg Curry [2 Eggs],0,0,With 5 pav.,170.0
Starters,Cheese Egg Curry [2 Eggs],0,0,With 5 pav.,200.0
