Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Exotic Bowls,Veg Ramen Bowl,1,0,"Finely chop cilantro, sliced jalapeno, carrots, edamame, baby bokchoy. pan fried paneer and ... read more",485.0
Exotic Bowls,Hoisin Kai Yang Bowl,1,0,"Hoisin veggies, cottage cheese, fried rice and butter cabbage salad",485.0
Exotic Bowls,Pesto Paneer Bowl,1,0,"Pesto Cottage Cheese, Stir Fried Garlic Rice and butter cabbage. Served with salad ... read more",495.0
Exotic Bowls,Cheesy Mornay Quinoa,1,0,"Sauteed Diced cut Veggies & Jalapeno Stir on pan with quinoa rice, cripy ... read more",495.0
Exotic Bowls,Capri Paneer Bowl,1,0,"Butter pepper rice and marinated cottage cheese with yogurt, tossed on wok in ... read more",500.0
Exotic Bowls,Pad Thai Bowl,1,0,Flat Noodles tossed on wok with brocolli salad and sesame cottage chees,515.0
Exotic Bowls,Spicy Bangkok Curry Bowl,1,0,"Butter Rice, Bangkok Curry, Roasted peanut and sprout salad",540.0
Exotic Bowls,Exotic Rambo Bowl,1,0,"Stir fried Rambo rice, exotic veggies, bell pepper and garlic sauce with kimchi ... read more",550.0
Exotic Bowls,Spicy Miso Ramen Bow,1,0,"Boiled ramen noodles, shiitake mushroom, corn, soya sauce, stock broth, chop shallots chilly ... read more",530.0
Exotic Bowls,Shoyu Ramen Bowl,1,0,Boiled reman noodles mushroom bamboo shoot finger spring onion pokchoi chop Chinese cabbage ... read more,515.0
Exotic Bowls,Kurume Coconut Ramen Bowl,1,0,Boiled reman noodles coconut milk mushroom cottage cheese and veggies a close relative ... read more,515.0
Exotic Bowls,Shio Ramen Bowl,1,0,"Slice dip fried of paneer, boiled reman noodles, corn cube spring onion celery ... read more",500.0
Fried Rice and Noodles,Veg Manchurian Fried Rice,1,0,Cut of manchurian & chop veggies boiled rice toss on chilli sauce.,235.0
Fried Rice and Noodles,Veg Singapuri Fried Rice,1,0,Chop cut of veggies cashew nut Kolhapuri chilli toss on wok in Singapuri ... read more,260.0
Fried Rice and Noodles,Ginger Paneer Fried Rice,1,0,Chop cut of veggies boiled rice toss on wok in ginger & paneer.,270.0
Fried Rice and Noodles,Taiwan Bhel,1,0,Chop of exotic veggies boiled rice toss on wok in kung pao sauce.,280.0
Fried Rice and Noodles,Veg Singapuri Bhel,1,0,Chop cut of exotic veggies sticks noodles wow noodles boiled rice toss on ... read more,280.0
Fried Rice and Noodles,Veg Shanghai Fried Rice,1,0,Chop cut of exotic veggies boiled rice toss on wok in spicy Shanghai ... read more,290.0
Fried Rice and Noodles,Veg Hunan Fried Rice,1,0,Chop cut of exotic veggies toss on wok in hunan sauce.,295.0
Fried Rice and Noodles,Veg Triple Fried Rice,1,0,"Chop cut of veggies three layered rice, served with hot garlic sauce.",315.0
