Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Combos,Classic Veg Burger Combo,1,0,Classic Veg Burger+French Fries+Any Mojito [Non Alcoholic],219.0
Combos,Veg Cheese Grilled Sandwich Combo,1,0,Veg Cheese Grilled Sandwich+French Fries+Any Mojito [Non Alcoholic],269.0
Combos,Any One Pasta Combo,1,0,Any One Pasta From Menu+French Fries+Any Mojito [Non Alcoholic],279.0
Combos,Veg Exotic Pizza Combo,1,0,Veg Exotic Pizza+Cheese Garlic Bread+French Fries+Any Mojito [Non Alcoholic],419.0
Combos,Any One Pasta Combo,1,0,Any One Pasta From Menu+Cappucccino+Cold Coffee,249.0
Combos,Classic Litti Chokha Combo,1,0,Classic Litti Chokha/Fried Litti Chokha+1 Any Mojito+Desserts,219.0
Combos,Mojito Combo,1,0,Mojito [Non Alcoholic]+French Fries/Garlic Bread,159.0
Breads,1 Regular Stuffed Sattu Paratha,1,0,,149.0
Breads,1 Regular Stuffed Paneer Sattu Paratha,1,0,,169.0
Pizza and Pasta,Margherita Pizza,1,0,Neapolitan pizza with special sauce and cheese.,149.0
Pizza and Pasta,Jalapeno and Onion Cheese Pizza,1,0,"Jalapeno, onion, cheese and sauce.",169.0
Pizza and Pasta,Cheese Golden Corn Pizza,1,0,Loved american corns with cheese and sauce.,179.0
Pizza and Pasta,Hot To Hell Cheese Pizza,1,0,Spicy itna ki yaad dila de jitna.,199.0
Pizza and Pasta,Veg Exotica Pizza,1,0,"Olives, jalapeno, capsicum, red paprika, onion with sauce and cheese.",239.0
Pizza and Pasta,Ultimate Paneer Peri Peri Pizza,1,0,"Paneer capsicum, red paprika with special sauce, spices and cheese.",249.0
Pizza and Pasta,Paneer Makhani Burst Pizza,1,0,"Ther burst makhani tossed with paneer, capsicum, onion, corn and cheese.",299.0
Pizza and Pasta,Mac and Cheese Burst Pizza Pizza,1,0,Pizza topped with cheesy creamy white sauce pasta and Italian herbs and lots ... read more,339.0
Pizza and Pasta,Momos Cheese Bite Pizza,1,0,The best ever fusion with special Tibetan sauce and topped momos.,359.0
Pizza and Pasta,Roller Coaster Special Arrabbiata Pasta,1,0,[Chef's Special],119.0
Pizza and Pasta,Alfredo Pasta,1,0,,119.0
Pizza and Pasta,Pink Sauce Pasta,1,0,,129.0
Pizza and Pasta,Peri Peri Pasta,1,0,,129.0
Pizza and Pasta,Magic Maggi Masala Pasta,1,0,,129.0
Burgers and Sandwiches,Classic Veg Burger,1,0,,89.0
Burgers and Sandwiches,Peri Peri Burger,1,0,,99.0
