Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
MPB Special Combos,Chinese Combo,1,0,Veg Manchow Soup + Hakka Noodles + Manchurian Gravy. Full Portion of all ... read more,561.0
MPB Special Combos,Fast Food Combo,1,0,Cheese Grilled Sandwich + Fries + 2 Soft Drink(250Ml). | Serves 1 | ... read more,408.0
MPB Special Combos,Meal For 2,1,0,Fry Pavbhaji + Kashmiri Pulao + Paneer Chilly Half + 2 Soft Drinks ... read more,680.0
MPB Special Combos,Meal For 3,1,0,2 Regular Bhaji + 1 Tawa Pulav + Veg Manchurian + 3 Soft ... read more,901.0
MPB Special Combos,Mini Pavbhaji Meal,1,0,Good for 1 Person,192.0
MPB Special Combos,Pavbhaji N Pulav Combo In Tray Pack,1,0,| Serves 1 | Good for 1 Person,255.0
MPB Special Combos,Pizza Combo,1,0,"Veggie Delight Pizza (7"") + Spiral Peri Peri + French Fries + 2 ... read more",578.0
Summer Special Combos,Cheesy Combo,1,0,Cheese Bhaji [4 Pav] + Manchurian Rice. Full Portion of all Products.,459.0
Summer Special Combos,Fancy Dosa Combo,1,0,Jini Roll Dosa + Garlic Sada Dosa + Butter Milk. Full Portion of ... read more,434.0
Summer Special Combos,Deadly Dosa Combo,1,0,Mysore Masala Dosa + Masala Dosa + Butter Milk. Full Portion of all ... read more,366.0
Summer Special Combos,Chaat Combo,1,0,Pani Puri + Dahi Puri + Spiral Potato Barbeque Salted. Full Portion of ... read more,280.0
Summer Special Combos,Our Signature Combo,1,0,Regular Pavbhaji + Kashmiri Pulav + Butter Milk [2 Bottle] + Roasted Papad. ... read more,459.0
Summer Special Combos,Dosa Hi Dosa,1,0,Sada Dosa + Masala Dosa + Butter Milk [2 Bottle]. Full Portion of ... read more,306.0
Summer Special Combos,Premium Combo,1,0,Tawa Pulav + Fry Bhaji [4 Pav] + Butter Milk + Salad + ... read more,485.0
Summer Special Combos,The Great Chinese Combo,1,0,Veg Manchurian Dry + Chinese Bhel + Butter Milk [2 Bottle]. Full Portion ... read more,459.0
Summer Special Combos,Traditional Chinese Combo,1,0,Veg Manchurian Dry + Hakka Noodles + Butter Milk [2 Bottle]. Full Portion ... read more,459.0
Pav Bhaji,Cheese Bhaji,1,0,"| Serves 1 , 300 ml | Comes with 4 Pav, Salad and ... read more",255.0
Pav Bhaji,Cheese Jain Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",255.0
Pav Bhaji,Cheese Masala Pav [4 Piece],1,0,Masala Pav Topped with Cheese,144.0
Pav Bhaji,Double Butter Pav[4 Pcs],1,0,Butter Pav Slapped again with Butter,58.0
Pav Bhaji,Extra Pav (1 Piece),1,0,| Serves 1 |,10.0
Pav Bhaji,Fry Bhaji,1,0,"| 300 ml | Comes with 4 Pav, Salad and 1 Roasted Papad ... read more",238.0
Pav Bhaji,Fry Cheese Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",289.0
Pav Bhaji,Green Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",238.0
Pav Bhaji,Italian Pavbhaji,1,0,"| Serves 1 | Contains Chilly Flakes, Oregano, Pasta, Cheese and Toasted Pav. ... read more",255.0
Pav Bhaji,Jain Pavbhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",204.0
Pav Bhaji,Khada Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",238.0
Pav Bhaji,Kora Pav[12 Pcs],1,0,Raw Pav,60.0
Pav Bhaji,Masala Pav [4 Piece],1,0,Pav Dipped in Garlic and Onion Paste,100.0
Pav Bhaji,Only Bhaji,1,0,"| Serves 1 , 300 ml | No Accompaniments",153.0
Pav Bhaji,Only Bhaji (1 Kg),1,0,Comes without pav and papad (Salad included),425.0
Pav Bhaji,Paneer Cheese Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",272.0
Pav Bhaji,Paneer Cheese Jain Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",289.0
Pav Bhaji,Paneer Jain Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",255.0
Pav Bhaji,Paneer Pavbhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",255.0
Pav Bhaji,Pav Bhaji Regular,1,0,"| Serves 1 , 300 ml | Comes with 4 Pav, Salad and ... read more",204.0
Pav Bhaji,Potato Fry Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",204.0
Pav Bhaji,Red Bhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",238.0
Pav Bhaji,Swaminarayan Pavbhaji,1,0,Without Onion and Garlic,204.0
Pav Bhaji,Toast Pav [4 Pieces],1,0,Pav made Crispy,60.0
Pav Bhaji,Yellow Pavbhaji,1,0,"Comes with 4 Pav, Salad and 1 Roasted Papad",238.0
Rice,Bhaji Pulav,1,0,,340.0
Rice,Cheese Kashmiri Pulav,1,0,"Comes with Kadhi, Salad and 1 Roasted Papad",306.0
Rice,Cheese Paneer Kashmiri Pulav,1,0,"Comes with Kadhi, Salad and 1 Roasted Papad",340.0
Rice,Cheese Paneer Tava Pulav,1,0,"Comes with Chatni, Salad and 1 Roasted Papad",340.0
Rice,Cheese Tava Pulav,1,0,"Comes with Chatni, Salad and 1 Roasted Papad",306.0
Rice,Jeera Rice,1,0,,204.0
Rice,Kashmiri Pulav,1,0,"Comes with Kadhi, Salad and 1 Roasted Papad.",255.0
Rice,Paneer Kashmiri Pulav,1,0,"| 500 ml | Comes with Kadhi, Salad and 1 Roasted Papad",306.0
Rice,Paneer Tava Pulav,1,0,"Comes with Chatni, Salad and 1 Roasted Papad",306.0
Rice,Tava Pulav,1,0,"| Serves 1 , 500 ml |Comes with Chatni, Salad and 1 Roasted ... read more",255.0
South Indian Dishes,Aloo Palak Dosa,1,0,,204.0
South Indian Dishes,American Chopsuey Dosa,1,0,,255.0
South Indian Dishes,Bangalore Spring Dosa,1,0,,272.0
South Indian Dishes,Cheese Frankie Dosa,1,0,,306.0
South Indian Dishes,Cheese Garlic Nylon,1,0,| Serves 1 |,187.0
South Indian Dishes,Cheese Garlic Sada,1,0,,170.0
South Indian Dishes,Cheese Masala Dosa,1,0,| Serves 1 |,238.0
South Indian Dishes,Cheese Mysore Dosa,1,0,,238.0
South Indian Dishes,Cheese Nylon Dosa,1,0,,204.0
South Indian Dishes,Cheese Onion Sada,1,0,,170.0
South Indian Dishes,Cheese Palak Dosa,1,0,,272.0
South Indian Dishes,Cheese Paneer Mysore Dosa,1,0,,272.0
South Indian Dishes,Cheese Sada Dosa,1,0,| Serves 1 |,170.0
South Indian Dishes,Cheese Sweet Corn Dosa,1,0,,272.0
South Indian Dishes,Chinese Dosa,1,0,,255.0
South Indian Dishes,Dilkhush Dosa,1,0,,340.0
South Indian Dishes,Garlic Nylon Dosa,1,0,,153.0
South Indian Dishes,Garlic Sada Dosa,1,0,| Serves 1 |,136.0
South Indian Dishes,Green Cheese Chilly Dosa,1,0,,306.0
South Indian Dishes,Jhanak Jhanak Payal Dosa,1,0,,300.0
South Indian Dishes,Jini Roll Dosa,1,0,| 1 Pc | A popular mumbai spicy street style dosa stuffed with ... read more,272.0
South Indian Dishes,Manchurian Dosa,1,0,,255.0
South Indian Dishes,Masala Dosa,1,0,| 1 Pc | A thin crispy dosa stuffed with aloo masala served ... read more,153.0
South Indian Dishes,Mixed Mysore Dosa,1,0,,306.0
