Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Thick Shakes,Chocolate Thickshake - 250ml,1,0,,169.0
Thick Shakes,Rich Nutella Thickshake -250ml,1,0,,169.0
Thick Shakes,Pineapple Thickshake-250ml,1,0,,169.0
Thick Shakes,Royal Rose Thickshake -250ml,1,0,,169.0
Thick Shakes,Blackcurrant Thickshake -250ml,1,0,,169.0
Thick Shakes,Strawberry Thickshake -250ml,1,0,,169.0
Thick Shakes,Kit-Kat Thickshake -250ml,1,0,,169.0
Thick Shakes,Kaju Anjir Thickshake -250ml,1,0,,169.0
Thick Shakes,Kaju Gulkand Thickshake -250ml,1,0,,169.0
Thick Shakes,Kaju Badam Pista Thickshake -250ml,1,0,,169.0
Thick Shakes,Cold Coffee Thickshake -250ml,1,0,,169.0
Thick Shakes,Rajbhog Thickshake -250ml,1,0,,169.0
Thick Shakes,Kaju Draksh Thickshake -250ml,1,0,Thickshake,169.0
Thick Shakes,Kesar Pista Thickshake -250ml,1,0,Kesar Pista,169.0
Thick Shakes,Thandai Thickshake -250ml,1,0,Thandai With Dryfruits,199.0
Samosa & Kachauri,Rajasthani Samosa 2pcs,1,0,,199.0
Samosa & Kachauri,Rajasthani Samosa 4pcs,1,0,,299.0
Samosa & Kachauri,Punjabi Samosa 2pc,1,0,,129.0
Samosa & Kachauri,Shekhawati Samosa 12pcs,1,0,,799.0
Samosa & Kachauri,Punjabi Samosa 4pcs,1,0,,199.0
Combo Specials,Veg Pizza + Garlic Bread Sticks,1,0,,299.0
Combo Specials,Onion Paneer Pizza + Garlic Bread Sticks,1,0,,299.0
Crepe,Belgian Chocolate CREPE,1,0,,199.0
Crepe,Nutella Forever CREPE,1,0,,199.0
Crepe,Rainbow French CREPE,1,0,,199.0
Crepe,Red Velvet Cheese Oreo CREPE,1,0,,199.0
Crepe,Indulge In Chocolate Dryfruits CREPE,1,0,,229.0
Crepe,Milk Chocolate CREPE,1,0,,199.0
Crepe,Hazelnut Chocolate CREPE,1,0,,199.0
Thandai,Badam Kesar Thandai 250ml,1,0,,169.0
Thandai,Kulhad Kesar Pista Thandai 250ml,1,0,,169.0
Thandai,Classic Kulhad Thandai 250ml,1,0,,149.0
Thandai,Kulhad Dryfruit Thandai 250ml,1,0,,159.0
Thandai,Kulhad Rose Almond Thandai 250ml,1,0,,159.0
Thandai,Kulhad Kesar Dryfruit Thandai 250ml,1,0,,159.0
Chocolate Waffle,Chocolate Waffle Sandwich (Blue Cookie Cream),1,0,,149.0
Veg Maggi,Masala Vegetable Maggi - 500g,1,0,,169.0
Veg Maggi,Cheese Maggi - 500g,1,0,,179.0
Veg Maggi,Paneer Maggi - 500g,1,0,,159.0
Veg Maggi,Schezwan Maggi - 500g,1,0,,149.0
Veg Maggi,Cheese Corn Maggi - 500g,1,0,,189.0
Veg Maggi,Plain Maggi - 500g,1,0,,139.0
Lava Cakes,Choco Lava Cake,1,0,"Chocolate lovers delight! Indulgent, gooey molten lava inside chocolate cake.",89.0
Lava Cakes,Red Velvet Lava Cake,1,0,A truly indulgent experience with sweet and rich red velvet cake on a ... read more,119.0
Lava Cakes,Kolkata Paan Lava Cake,1,0,Enjoy Molten Lava made of Kolkata Paan,99.0
Special Maggi,Classic Plain Maggi - 200g,1,0,,70.0
Special Maggi,Vegatable Maggi - 200g,1,0,,139.0
Special Maggi,Cheese Maggi - 200g,1,0,,179.0
Special Maggi,Matka Maggie,1,0,,129.0
Hot Chocolate,Rich Hot Chocolate - 250ml,1,0,"Perfect hot beverage for chocolate lovers. It's thick, luscious and indulgent.",99.0
Hot Chocolate,Hot Chocolate with Brownie Bits - 250ml,1,0,"Perfect hot beverage for chocolate lovers. It's thick, luscious, with brownie bits and ... read more",149.0
Hot Chocolate,Rich Hot Chocolate - 250ml + French Fries,1,0,Perfect hot beverage & french fries for chocolate lovers.,179.0
