Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Thali and Mini Meals,Special Punjabi Thali,1,0,4 Butter Chapati+1 Paneer Sabji+1 Veg Sabji+Jeera Rice+Dal Fry+Roasted Papad+Buttermilk+ Chikki [1 Piece]+Salad+Pickle ... read more,170.0
Thali and Mini Meals,Rajma Chawal Combo,1,0,[Combo Item] Rajma Steam Rice [500 grams]+1 Salad+1 Pickle [Salad-Subject to Availability],129.0
Thali and Mini Meals,Chole Chawal Combo,1,0,[Combo Item]  Chole Steamed Rice [500 grams]+1 Salad+1 Pickle [Salad-Subject to Availability],129.0
Thali and Mini Meals,Kadhi Chawal Combo,1,0,[Combo Item]  Kadhi Steam Rice [500 grams]+1 Salad+1 Pickle [Salad-Subject to Availability],129.0
Thali and Mini Meals,2 Aloo Onion Paratha with Masala Dahi & Pickle,1,0,2 Aloo Onion Paratha+Masala Dahi [150 grams]+Pickle,169.0
Main Course,Matar Paneer,1,0,Matar paneer is a North Indian dish featuring peas and paneer in a ... read more,160.0
Main Course,Palak Paneer,1,0,Palak paneer is a classic North Indian dish where Indian cottage cheese [paneer] ... read more,160.0
Main Course,Paneer Butter Masala,1,0,"Creamy and mildly sweet gravy made with butter, tomatoes, spices and paneer.",160.0
Main Course,Paneer Kali Mirch,1,0,Paneer kali mirch is a North Indian dish where cubes of Indian cottage ... read more,160.0
Main Course,Paneer Handi,1,0,Paneer handi is a mouth-watering vegetarian recipe. Prepared with this extremely delicious and ... read more,160.0
Main Course,Paneer Kadhai,1,0,Paneer kadhai is a North Indian dish where cubes of Indian cottage cheese ... read more,160.0
Main Course,Paneer Tawa,1,0,Paneer tawa is a North Indian dish where cubes of Indian cottage cheese ... read more,160.0
Main Course,Sweet Shahi Paneer,1,0,Sweet.,160.0
Main Course,Paneer Do Pyaza,1,0,Paneer do pyaaza is a North Indian curry featuring Indian cottage cheese [paneer] ... read more,160.0
Main Course,Paneer Toofani,1,0,Cottage cheese cubes in spicy tomato & onion gravy mixed with Indian spices.,160.0
Main Course,Paneer Lababdar,1,0,Cubes of paneer cooked in special lababdar spices with brown gravy.,160.0
Main Course,Paneer Kaju,1,0,Paneer kaju is a North Indian dish that combines Indian cottage cheese [paneer] ... read more,160.0
Main Course,Paneer Lemon,1,0,Dices of paneer with gravy and flavour of lemon into it,160.0
Main Course,Paneer Tikka Butter Masala,1,0,Indulge in the exquisite fusion of smoky paneer tikka and rich butter masala ... read more,180.0
Main Course,Paneer Bhurji,1,0,"Savor the culinary delight of our paneer bhurji, a flavorful masterpiece where crumbled ... read more",180.0
Main Course,Shahi Palak Paneer,1,0,Dices of paneer in palak gravy with crushed cottage cheese,180.0
Main Course,Paneer Chana Masala,1,0,Red gravy with chana and diced paneer,180.0
Main Course,Paneer Angoori,1,0,Red gravy with paneer angoors,180.0
Main Course,Paneer Chatpata,1,0,"Luscious combination of paneer and exotic gravy made from tomato puree,chopped onions and ... read more",180.0
Main Course,Paneer Angara,1,0,Red gravy with paneer angoors.,180.0
Main Course,Paneer Cheese Angoori,1,0,Red gravy assorted paneer and cheese balls.,200.0
Main Course,Paneer Kofta,1,0,Red gravy with paneer kofta,200.0
Main Course,Rajma Masala,1,0,"Rajma masala is a north indian dish made with kidney beans,onions,tomatoes,spices and herbs",140.0
Main Course,Sev Tomato,1,0,"|| Images used are for representation purposes only, and do not indicate size, ... read more",140.0
Main Course,Dahi Fry,1,0,Dahi is fried with the veggies and some spices.,140.0
Main Course,Aloo Chana,1,0,"A soulwarming blend of tender potatoes and hearty chickpeas, expertly seasoned with aromatic ... read more",140.0
Main Course,Aloo Jeera,1,0,"|| Images used are for representation purposes only, and do not indicate size, ... read more",140.0
Main Course,Dum Aloo,1,0,"Dum aloo, where baby potatoes are slow cooked in a flavorful blend of ... read more",140.0
Main Course,Aloo Gobhi,1,0,"Aloo gobhi, a classic Indian dish showcasing the perfect blend of spiced cauliflower ... read more",140.0
Main Course,Chana Masala,1,0,Black peas boiled and cooked with semi thick tomato and onion gravy with ... read more,140.0
Main Course,Aloo Matar,1,0,Tender potatoes and peas simmered in a spiced tomato based curry.,140.0
Main Course,Chana Fry Dry Masala,1,0,Fried chana with some veggies.,160.0
