Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Big Save Combos,Cheese N Corn Pizza(Small) +Fries+Coke,1,0,,229.0
Big Save Combos,Farmhouse (Small) +Fries+Coke,1,0,,259.0
Big Save Combos,Margherita Pizza(Small) +Fries+Coke,1,0,,189.0
Big Save Combos,Paneer Tikka Pizza (Small) +Fries+Coke,1,0,,389.0
Big Save Combos,Aloo Tikki Burger + Fries + Coke,1,0,,159.0
Big Save Combos,Crunchy Paneer Burger +Fries+Coke,1,0,,219.0
Big Save Combos,Veg Burger + Fries + Coke,1,0,,179.0
Pizza,Cheese N Onion Pizza,1,0,,149.0
Pizza,Cheese N Tomato Pizza,1,0,,149.0
Pizza,Margherita Pizza,1,0,,129.0
Pizza,Cheese N Corn Pizza,1,0,(Onion N Corn),179.0
Pizza,Cheese N Mushroom,1,0,(Onion N Mushroom),179.0
Pizza,Corn N Capsicum Pizza,1,0,(Corn N Capsicum),189.0
Pizza,Corn N Peprica Pizza,1,0,(Corn N Red Peprica),189.0
Pizza,Fresh Veggie Pizza,1,0,(Onion N Capsicum),199.0
Pizza,Veggie Buddy,1,0,(Tomato N Capsicum),199.0
Pizza,Achari Do Pyaz Pizza,1,0,(Onion With Achaari Flavour),279.0
Pizza,Blazing Onion & Peprica Pizza,1,0,"(Onion,Red Peprica With Peri Peri Sauce)",279.0
Pizza,Delux Veggie Pizza,1,0,(Onion N Tomato N Capsicum),259.0
Pizza,Exotic King Pizza,1,0,"(Onion,Capsicum,Jalapeno,Corn,Carrot,)",299.0
Pizza,Farmhouse Pizza,1,0,"(Onion,Tomato ,Capsicum,Mushroom)",269.0
Pizza,Mexican Lover Pizza,1,0,"(Blavk Olive,Jalapeno,Corn,Red Peprica)",299.0
Pizza,Mushroom Corn Delight Pizza,1,0,"(Onion,Corn,Mushroom,Red Peprica)",279.0
Pizza,Spicy Veggie Paradise Pizza,1,0,"(Onion,Tomato ,Capsicum,Green Chilli , Red Peprica)",269.0
Pizza,Triple Veg Pizza,1,0,"(Corn,Red Peprica,Jalapeno)",269.0
Pizza,Veg Extravaganza Pizza,1,0,"(Onion,Tomato ,Capsicum,Mushroom,Corn,Black Olives,Jalapeno)",299.0
Pizza,Veggie Feista Pizza,1,0,"(Corn,Red Peprica,Capsicum)",269.0
Pizza,Veggie Paradise Pizza,1,0,"(Capsicum,Corn,Red Peprica,Black Olive)",269.0
Pizza,Achari Paneer Pizza,1,0,"(Onion, Paneer With Achaari Flavour)",309.0
Pizza,Paneer Makhani Pizza,1,0,"(Onion,Capsicum,Green Chilli, Red Peprica Paneer With Makahani Flavour )",309.0
