Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Burgers,Mayo Burger,1,0,Mayo burger with fresh aloo tikki and cheesy sauce.,67.15
Burgers,Aloo Tikki Burger,1,0,"Enjoy your favorite aloo tikki burger with fresh aloo patty, onion & cheesy ... read more",92.65
Burgers,Crispy Veg Burger,1,0,"Enjoy wow crispy veg burger with topping of crispy veg patty, onion & ... read more",101.15
Burgers,Peri Peri Veg Burger,1,0,"Enjoy wow peri peri burger with topping of crispy veg patty, onion, lettuce ... read more",109.65
Burgers,Chilli Cheese Burger,1,0,"Enjoy wow chilli cheese burger with topping of crispy veg patty, onion, lettuce ... read more",118.15
Burgers,Supreme Veg Burger,1,0,"Enjoy wow supreme veg burger with topping of crispy veg patty, onion, lettuce ... read more",101.15
Burgers,Jalapeno Burger,1,0,"Enjoy wow jalapeno burger with topping of corn patty, onion, jalapeno slice, spicy ... read more",118.15
Burgers,Corn & Cheese Burger,1,0,"Enjoy wow special corn & cheese burger with topping of corn patty, onion, ... read more",135.15
Burgers,Spicy Paneer Burger,1,0,"Enjoy wow spicy paneer burger with topping of paneer patty, lettuce and spicy ... read more",152.15
Double Patty Burgers,Double Decker Mayo Burger,1,0,Mayo double decker burger with fresh 2 aloo tikki and cheesy sauce.,92.65
Double Patty Burgers,Double Decker Aloo Tikki Burger,1,0,"Enjoy your favorite double decker aloo tikki burger with fresh 2 aloo patty, ... read more",101.15
Double Patty Burgers,Double Decker Crispy Veg Burger,1,0,Enjoy wow double decker crispy veg burger with topping of crispy veg patty ... read more,109.65
Double Patty Burgers,Double Decker Peri Peri Burger,1,0,Enjoy wow double decker peri peri burger with topping of crispy veg patty ... read more,118.15
Double Patty Burgers,Double Decker Chilli Cheese Burger,1,0,Enjoy wow double decker chilli cheese burger with topping of crispy veg patty ... read more,126.65
Double Patty Burgers,Double Decker Supreme Veg Burger,1,0,Enjoy wow double decker supreme veg burger with topping of crispy veg patty ... read more,135.15
Double Patty Burgers,Double Decker Jalapeno Burger,1,0,"Enjoy wow double decker jalapeno burger with topping of corn patty [2 Patty], ... read more",160.65
Double Patty Burgers,Double Decker Corn and Cheese Burger,1,0,Enjoy wow double decker special corn and cheese burger with topping of corn ... read more,177.65
Regular Burger Combos,Mayo Burger Meal,1,0,Mayo Burger+Fries [Medium]+Coke Soft Beverage [250 ml],152.15
Regular Burger Combos,Aloo Tikki Burger Meal,1,0,Aloo Tikki Burger+Fries [Medium]+Coke [250 ml],160.65
Regular Burger Combos,Crispy Veg Burger Meal,1,0,Crispy Veg Burger+Fries [Medium]+Coke Soft Beverage [250 ml],169.15
Regular Burger Combos,Peri Peri Burger Meal,1,0,Peri Peri Burger+Fries [Medium]+Coke Soft Beverage [250 ml],177.65
Regular Burger Combos,Chilli Cheese Burger Meal,1,0,Chilli Cheese Burger+Fries [Medium]+Coke Soft Beverage [250 ml],186.15
