Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Summer Specials,Mango Fruitini,1,0,Refreshing Fruity Mocktail - Made with real fruit and milk! A delicious treat ... read more,225.0
Summer Specials,Purple Fusion Fruitini,1,0,Refreshing Fruity Mocktail - Made with real fruit and milk! A delicious treat ... read more,225.0
Summer Specials,Strawberry Fruitini,1,0,Refreshing Fruity Mocktail - Made with real fruit and milk! A delicious treat ... read more,225.0
Summer Specials,Tropical Fruitini,1,0,Refreshing Fruity Mocktail - Made with real fruit and milk! A delicious treat ... read more,225.0
Summer Specials,Lollipop Sundae,1,0,Add a swirl of fun to your ice cream. Lollipop Sundae comes with ... read more,150.0
Summer Specials,Cheese Cake Gold Medal Ribbon Sundae,1,0,Baked Cheesecake topped with a scoop of Gold Medal Ribbon Ice Cream and ... read more,305.0
Summer Specials,Golden Ferrero Sundae,1,0,"Irresistible Gold Medal Ribbon ice cream crowned with chocolate sauce, Ferrero Rocher crumble, ... read more",215.0
Summer Specials,Hazelnut Ice Cream Rocks,1,0,"Creamy Bite-Sized Vanilla Ice Cream Coated with hazelnut flavored chocolate, roasted hazelnut pieces ... read more",275.42
Chocolate Ice Creams,Belgian Bliss Ice cream,1,0,"Rich Chocolate ice cream with hidden treasures of dark chocolate cookies, hugged by ... read more",99.0
Chocolate Ice Creams,Dutch Chocolate Ice cream,1,0,Tempting chocolate ice cream with a distinct hint of cocoa. The mother of ... read more,87.0
Chocolate Ice Creams,Gold Medal Ribbon Ice cream,1,0,"Heavenly medley of vanilla&chocolate, embraced by caramel ribbon. This vanilla &chocolate combo is ... read more",99.0
Chocolate Ice Creams,Mississippi Mud Ice Cream,1,0,"Delectable chocolate fudge and ice cream, married by a fudge ribbon and sprinkled ... read more",99.0
Chocolate Ice Creams,Snickers Ice Cream,1,0,"Velvety vanilla icecream with chocolatey chunks of Snickers, swirled with caramel ribbon. Don't ... read more",99.0
Chocolate Ice Creams,Bavarian Chocolate Ice Cream,1,0,Rich chocolate based ice cream adorned with chocolate pieces and cashew nut crispies. ... read more,99.0
Chocolate Ice Creams,Mint Milk Chocolate Chips Ice Cream,1,0,An ice cream that tells the mint and chocolate love story like no ... read more,99.0
