Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Bubble Wraps,5.0 Bubble,1,0,"Golden bubble waffle, gems, oreo,strawberry pulp, melted dark chocolate,whipped cream or ice cream",260.0
Bubble Wraps,Almond Cruchy Bubble,1,0,Original bubble with milk chocolate and almond flakes,250.0
Bubble Wraps,Around The Berry Bubble,1,0,"Golden bubble waffle, whipped cream or ice-cream, blueberry pulp, strawberry pulp, melted dark ... read more",250.0
Bubble Wraps,Bubble Kit Kat,1,0,"Chocolate base, milk chocolate nutella,whipped cream or ice cream, choco chips,kitkat",260.0
Bubble Wraps,Bubble Overload,1,0,"Chocolate base, dark chocolate, stick rolls,choco balls, whipped cream or ice cream",260.0
Bubble Wraps,Bubble Special,1,0,"Golden bubble waffle, whipped cream,melted milk chocolate, strawberry pulp",250.0
Bubble Wraps,Chocolate Fantasy Bubble Waffle,1,0,"Chocolate base, melted milk chocolate, melted dark chocolate, whipped creamor ice cream, choco ... read more",260.0
Bubble Wraps,Fudging Good Bubble,1,0,"Golden bubble waffle, banana peanut butter, whipped cream or ice-cream",250.0
Bubble Wraps,Mojo Bubble,1,0,"Golden bubble waffle, melted nutella,whipped cream or ice cream, banana, strawberry pulp",250.0
Bubble Wraps,Mr. Oreo Bubble,1,0,"Chocolate bubble waffle, dark chocolate,whipped cream/ice cream, or oreo",250.0
Bubble Wraps,Queen Berry Bubble,1,0,"Golden bubble waffle, nutella, strawberry pulp, raspberry pulp, blueberry pulp, whipped cream or ... read more",270.0
Bubble Wraps,Stoned Bubble Waffle,1,0,Chocolate bubble with dark and milk chocolate combo with stone chocolates,250.0
Bubble Wraps,The Red Wonder Bubble,1,0,"Crispy red velvet bubble base,strawberry pulp, melted dark chocolate,cream cheese/ white chocolate,whipcream or ... read more",280.0
Mini Pancakes,Almond Crunch Mini Pancakes,1,0,"Original mini pancakes with nutella, milk chocolate and almond crunch",140.0
Mini Pancakes,Banoffee Mini Pancakes,1,0,"Original mini pancakes with homemade cream Cheese, banana, and coffee",120.0
Mini Pancakes,Belgian Dark Mini Pancakes,1,0,Chocolate mini pancakes with hot melteddark chocolate,115.0
Mini Pancakes,Belgian Milk Mini Pancakes,1,0,Chocolate mini pancakes with hot melted milkchocolate,110.0
Mini Pancakes,Blueberry Creamcheese Pancake,1,0,Golden mini pancakes with blueberry pulp and Homemade cream cheese,130.0
Mini Pancakes,Blueberry Mini Pancakes,1,0,"Original mini pancakes with homemade cream Cheese, banana, and blueberry filling",125.0
Mini Pancakes,Chocolate Overload Pancakes,1,0,"Chocolate mini pancakes with hot melted dark chocolate, nutella, and crunchy choco chip",125.0
Mini Pancakes,Cofee Break Mini Pancake,1,0,"Chocolate mini pancakes with hot melted milk chocolate, coffee powder and crunchy biscuits",125.0
Mini Pancakes,Honey Pancakes,1,0,Golden mini pancakes with melted honey. It's a classic,110.0
Mini Pancakes,Kitkat Mini Pancake,1,0,Chocolate mini pancakes with hot melted milkchocolate and crunchy kitkat,120.0
Mini Pancakes,Maple Pancakes,1,0,Golden mini pancakes with pure maple joy,120.0
Mini Pancakes,Monkeytella Mini Pancakes,1,0,Golden mini pancakes with melted milk chocolate And banana,120.0
Mini Pancakes,Peanut Butter Mini Pancakes,1,0,"Original mini pancakes with peanut butter, milk chocolate and peanut crunch",130.0
Mini Pancakes,Quadruple Mini Pancakes,1,0,"Chocolate mini pancakes with hot melted milk chocolate, hot melted dark chocolate, white ... read more",120.0
