Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Biryani,Chicken Dum Biryani With Bone,0,0,Chicken Biryani,410.0
Biryani,Egg Dum Biryani,0,0,Egg Biryani,340.0
Biryani,Chicken Tikka Dum Biryani (Boneless),0,0,Chicken Tikka Biryani (Boneless),450.0
Biryani,Soya Chaap Dum Biryani,1,0,BBC Special Soya Chaap Biryani,400.0
Biryani,Mix Veg. Dum Biryani,1,0,Mix Veg. Biryani,340.0
Biryani,BBC Special Kofta Dum Biryani,1,0,BBC Special Veg. Kofta Biryani,400.0
Biryani,Prawns Dum Biryani,0,0,Prawns Biryani,510.0
Biryani,Mutton Dum Biryani,0,0,Mutton Biryani,530.0
Biryani,Paneer Tikka Dum Biryani,1,0,Paneer Tikka Biryani,380.0
Rolls,Chicken Tikka Roll,0,0,Bbc Special Chicken Tikka Roll,250.0
Rolls,Egg Roll,0,0,Bbc Special Egg Roll,190.0
Rolls,Mashroom Roll,1,0,Bbc Special Mashroom Roll,250.0
Rolls,Mutton Bhuna Roll,0,0,Bbc Special Mutton Bhuna Roll,320.0
Rolls,Paneer Tikka Roll,1,0,Bbc Special Paneer Tikka Roll,230.0
Nonveg. Soup,Chicken Hot & Sour Soup,0,0,Hot & Sour Soup (Chicken),210.0
Nonveg. Soup,Chicken Lemon Coriander Soup,0,0,Lemon Coriander Soup (Chicken),210.0
Nonveg. Soup,Chicken Manchow Soup,0,0,Manchow Soup (Chicken),210.0
Nonveg. Soup,Chicken Noodle Broth Soup,0,0,Noodle Broth Soup (Chicken),210.0
Nonveg. Soup,Chicken Tom Yum Soup,0,0,Tom Yum Soup (Chicken),210.0
Veg. Soup,Veg. Hot & Sour Soup,1,0,Hot & Sour Soup,180.0
Veg. Soup,Veg. Lemon Coriander Soup,1,0,Lemon Coriander Soup,180.0
Veg. Soup,Veg. Manchow Soup,1,0,Manchow Soup,180.0
Veg. Soup,Veg. Noodle Broth Soup,1,0,Noodle Broth Soup,180.0
Veg. Soup,Veg. Tom Yum Soup,1,0,Tom Yum Soup,180.0
Chicken Starters,Chicken Peri Peri Tikka,0,0,Bbc Special Chicken Peri Peri Tikka,410.0
Chicken Starters,BBC Special Chicken Tukdi Roll,0,0,Chicken Tukdi Roll,420.0
Chicken Starters,Tandoori Grilled Chicken Lollipop,0,0,Bbc Special Tandoori Grilled Chicken Lollipop,410.0
Chicken Starters,Chicken Banjara Tikka,0,0,Banjara Chicken Tikka,430.0
Chicken Starters,Chicken Malai Tikka,0,0,Malai Chicken Tikka,440.0
Chicken Starters,Chicken Kali Mirch Tikka,0,0,Kali Mirch Chicken Tikka,410.0
Chicken Starters,Chicken Lahsuni Tikka,0,0,Lahsuni Chicken Tikka,410.0
Chicken Starters,BBC Special Matki Tikka,0,0,Bbc Special Chicken Matki Tikka,450.0
Chicken Starters,Chicken Iryani Tikka,0,0,BBC Special Iryani Chicken Tikka,410.0
Chicken Starters,Chicken Achari Tikka,0,0,Achari Chicken Tikka,410.0
Chicken Starters,BBC Special Chicken Tandoori Leg,0,0,Chicken Tandoori Leg,630.0
Chicken Starters,Chicken Mughlai Tikka,0,0,Bbc Special Mughlai Tikka,440.0
Chinese Starter Nonveg.,Chicken 65,0,0,Chicken 65 (Dry),380.0
Chinese Starter Nonveg.,Chicken Chilly Dry,0,0,Chicken Chilly (Dry),350.0
Chinese Starter Nonveg.,Chicken Chilly Gravy,0,0,Chicken Chilly (Gravy),380.0
Chinese Starter Nonveg.,Classic Chilli Chicken,0,0,Classic Chilli Chicken (Dry),360.0
