Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
NYC Supreme Croissant,Pistachio NYC Croissant,1,0,Pistachio dipped Supreme Pinwheel Croissant,200.0
NYC Supreme Croissant,White Chocolate Croissant,1,0,White Chocolate dipped Supreme Pinwheel Croissant,200.0
Smoothie Bowl,Acai Berry Bowl,1,0,"Blend- Blueberry, Banana. Garnish -Blueberry, Strawberry, Kiwi, Granola, Chia ... read more",450.0
Smoothie Bowl,Cold Brew Smoothie Bowl,1,0,"Blend- CC Signature Cold Brew, Banana. Blend- Dark ... read more",450.0
Smoothie Bowl,Cosmic Strawberry Bowl,1,0,"Blend- Strawberry, Banana. Garnish -Strawberry, Blueberry, Dragon Fruit , ... read more",450.0
Smoothie Bowl,Mixed Berry Bowl,1,0,"Blend - Strawberry, Raspberry, Banana. Garnish - Blueberry Strawberry, Dragon ... read more",450.0
Hot Brew,Americano.,1,0,American is a type of coffee drink prepared by diluting an espresso with ... read more,175.0
Hot Brew,Cappuccino.,1,0,Espresso With 2/3 Part Of Steam Milk and 2 Cm of Foam,210.0
Hot Brew,Flat White,1,0,"A flat white has espresso, Hot Milk and Small Layer of microfoam but ... read more",220.0
Hot Brew,Latte,1,0,Latte is a coffee-based drink made primarily from espresso and steamed milk. It ... read more,220.0
Hot Brew,Make Your Own Latte,1,0,Regula Latte With Choice of Your Own Flavour,250.0
Hot Brew,Mocha,1,0,Espresso and hot milk with added Italian Cocoa,250.0
Hot Brew,White Mocha,1,0,Espresso and hot milk with added White Chocolate,250.0
Manual Brews,Aero Press,1,0,"Ground coffee beans and water are steeped inside, then forced through a filter ... read more",250.0
Manual Brews,French Press,1,0,Coffee is brewed by placing coarsely ground coffee in the empty beaker and ... read more,250.0
Manual Brews,Siphon,1,0,A vacuum coffee maker brews coffee using two chambers where vapor pressure and ... read more,250.0
Manual Brews,V60 Pourover,1,0,Filter paper is inserted into the V shape and coffee grounds placed within ... read more,250.0
Ice Blended Frappe,Biscoff Ice Blended Frappe,1,0,,300.0
Ice Blended Frappe,Caramel Ice Blended Frappe,1,0,,275.0
Ice Blended Frappe,Coffee Ice Blended Frappe,1,0,,250.0
Ice Blended Frappe,Mocha Ice Blended Frappe,1,0,,275.0
Ice Blended Frappe,Nutella Ice Blended Frappe,1,0,,300.0
Ice Blended Frappe,Salted Caramel Ice Blended Frappe,1,0,,275.0
Ice Blended Frappe,Spicy Cinnamon Ice Blended Frappe,1,0,,275.0
Cc Classic,Double Dark Hot Chocolate,1,0,A warm & thick Chocolate Milk,300.0
Cc Classic,Caramel Classic Cold Coffee,1,0,"Caramelized combination of caramel syrup blended with espresso, topped with ice cream",250.0
Cc Classic,Choco Brownie Mochochillo,1,0,"Get lost in the flavors of yumminess!! Blended Cold Coffee, Ice Cream & ... read more",350.0
Cc Classic,Choco Frappe Cold Coffee,1,0,Sweet chocolate drink blended ice cream,220.0
Cc Classic,Classic Irish,1,0,"Irish flavored Cold Coffee, topped with Ice Cream and glazed with Chocolate Sauce",275.0
Cc Classic,Coffee Chocolate Shake,1,0,Chocolaty Coffee drink blended with Chocolate Ice Cream and Chocolate Sauce,275.0
Cc Classic,Culture Addiction Cold Coffee,1,0,"A rich sweet and creamy combination of cold coffee, hazelnut syrup blended with ... read more",350.0
Cc Classic,Culture Frappe Cold Coffee,1,0,Sweet and refreshing cold coffee mixed with vanilla ice cream- blended,210.0
