Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Lite Sundae&Faluda (No Added Sugar) Icecream,Lite Brownie Sundae (Regular),1,0,"The original sundae with a twist, a rich moist brownie gets soaked in ... read more",225.0
Lite Sundae&Faluda (No Added Sugar) Icecream,Lite Caramel Mocha Sundae (Small),1,0,A love story of caramel with a twist of Sugarfree Chocolate & Sugarfree ... read more,195.0
Lite Sundae&Faluda (No Added Sugar) Icecream,Lite Hot Chocolate Fudge (Small),1,0,Our iconic HCF sundae tells the story of when our delicious hot chocolate ... read more,195.0
Sundaes,Banana Split,1,0,"A threesome between our classic scoops (Vanilla, Strawberry, Choco Chip) topped with delicious ... read more",253.0
Sundaes,Banoffee Pie Sundae,1,0,"Banoffee pie is a pure love of crushed cookies, banana pieces and our ... read more",175.0
Sundaes,Belgian Waffle,1,0,Our classic vanilla & Belgian Chocolate Ice Cream mixed with chocolate sauce & ... read more,230.0
Sundaes,Brownie Sundae,1,0,"The original sundae with a twist, a rich moist brownie gets soaked in ... read more",230.0
Sundaes,Brownie With Chocolate Sauce [without Ice Cream],1,0,Rich moist brownie with our delicious hot chocolate fudge sauce.,117.0
Sundaes,Caramel Mocha Sundae,1,0,A love story of caramel with a twist of choco chip & coffee ... read more,175.0
Sundaes,Choco Caramello,1,0,Our classic vanilla ice cream layered with banana slice topped with caramel sauce ... read more,175.0
Sundaes,Chocolate Divine,1,0,A Chocolate Lovers Dream Come True! Crunchy Dark Chocolate Ice Cream in Chocolate ... read more,195.0
Sundaes,Create Your Own Sundae,1,0,,273.0
Sundaes,Hot Chocolate Fudge,1,0,Our iconic HCF sundae tells the story of when our delicious hot chocolate ... read more,175.0
Sundaes,Kit-Kat Sundae,1,0,Our classic Vanilla ice cream and chocochip Ice cream layered with our delicious ... read more,195.0
Sundaes,Kuch Nahi Sundae,1,0,KuchNai Sundae- Kyakhayengeaap- kuchnai ! What will you have Nothing ! ... read more,268.0
Sundaes,Mango Punch,1,0,Vanilla Ice cream with the king of fruits- MANGO!! Mango crush & pulp ... read more,171.0
Sundaes,Pineapple Sundae,1,0,A sundae that gives you a treat of refreshing pineapple flavor blended with ... read more,222.0
Sundaes,Strawberry Oreo,1,0,Vanilla ice cream mixed with crushed oreos & strawberry crush placed on our ... read more,175.0
Sundaes,Strawberry Sundae,1,0,The juicy strawberry crush makes it smooth yet wild with our classic vanilla ... read more,171.0
Sundaes,Tripping Tiramisu Sundae,1,0,,212.0
Sundaes,Tutti Fruity Special [Fruit Salad],1,0,A Desert with refreshing taste of rose and strawberry topped over our classic ... read more,247.0
Sundaes,Vanilla With Fresh Mangoes [Seasonal],1,0,Our Classic Vanilla ice cream with fresh mango fruit pieces with a hint ... read more,230.0
Ice Creams,Butterscotch,1,0,,83.0
Ice Creams,Choco Chip,1,0,,83.0
Ice Creams,Chocolate Love,1,0,,68.0
Ice Creams,Coffee,1,0,,83.0
