Category,Item_Name,"Is_Veg(1:veg,0:non-veg)","Is_Alcohol(1:alcoholic,0:non-alcoholic)",Description,Price
Ice Cream,2 Almond Mocha Blockbuster Candy [80 ml],1,0,Almond mocha blockbuster candy.,101.69
Ice Cream,2 Triple Chocolate Blockbuster Candy [80 ml],1,0,Triple chocolate blockbuster candy.,118.64
Ice Cream,2 Wild Berry Blockbuster Candy [80 ml],1,0,Wild berry blockbuster candy.,101.69
Ice Cream,2 Zulubar Candy [80 ml],1,0,"[Protein: 4.1 grams, Carbohydrate: 39.6 grams, Total Sugar: 33.7 grams, Added Sugar: 30.6 ... read more",76.27
Ice Cream,2 Zulubar Dark Crunch Candy [80 ml],1,0,Get ready to indulge in the darkness with the irresistible zulubar dark crunch ... read more,84.75
Ice Cream,2 Kesar Multi Signature Cup Ice Cream [125 ml],1,0,Kesar multi signature cup ice cream.,101.69
Ice Cream,2 Nutty Belgian Dark Chocolate Signature Cup Ice Cream [125 ml],1,0,Nutty Belgian dark chocolate signature cup ice cream.,101.69
Ice Cream,2 Butterscotch Cone [100 ml],1,0,Butterscotch cone.,50.85
Ice Cream,2 Dark Chocolate Cone [110 ml],1,0,Dark chocolate  cone.,84.75
Ice Cream,Double Belgian Chocolate World Cone [150 ml],1,0,Double Belgian chocolate world cone.,76.27
Ice Cream,Swiss Choco Brownie Cone [150 ml],1,0,[Calories: 387.1 kcal] Brownies are usually enjoyed hot. But what if you could ... read more,76.27
Ice Cream,Italian Tiramisu World Cone [150 ml],1,0,Italian tiramisu world cone.,76.27
Ice Cream,2 Raja Rani Roll Cut Specially [100 ml],1,0,,67.8
Ice Cream,2 Wild Berries Sandwich [180 ml],1,0,"Playing around the tagline It's that good, the delightful campaign reiterates how having ... read more",101.69
Ice Cream,2 Cookie N Cream Sandwich [180 ml],1,0,The chipwich is a brand of ice cream sandwich made of ice cream between ... read more,101.69
Ice Cream,"Novelty Cassata [2 Slices, 150 ml]",1,0,Slice cassata novelties of Havmor.,101.69
Ice Cream,2 Rajbhog Kulfi [50 ml],1,0,"Well, this one is just made for your taste buds. Rajbhog kulfi is ... read more",50.85
Ice Cream,2 Chowpatty Kulfi [60 ml],1,0,"Traditional chowpatty kulfi made with caramelized milk, cardamom powder, cashew nuts, pista and ... read more",67.8
Ice Cream,American Mud Cake Tub [750 ml],1,0,American mud cake tub.,254.24
Ice Cream,Nutty Belgian Dark Chocolate Tub [750 ml],1,0,A shout-out to all the dark chocolate lovers Belgian Dark Chocolate is best ... read more,254.24
Ice Cream,Taj Mahal Tub [750 ml],1,0,Taj mahal tub.,254.24
Ice Cream,Rajwadi Kulfi Falooda Tub [750 ml],1,0,Experience the luxurious flavor of Rajwadi Kulfi Falooda. A creamy blend of kulfi ... read more,245.76
Ice Cream,Choco Brownie Tube [750 ml],1,0,Choco brownie tube.,211.86
Ice Cream,Mocha Brownie Fudge Tub [750 ml],1,0,"What do you get when you mix two of your favourite things, that ... read more",237.29
Ice Cream,Dry Fruit Malai Tub [750 ml],1,0,"Ice cream made with thickened milk and rich dry fruits like almonds, pistachio. ... read more",254.24
Ice Cream,Sitaphal Tub [750 ml],1,0,Sitaphal tub.,279.66
Ice Cream,Premium Butterscotch Tub [750 ml],1,0,Premium butterscotch tub.,169.49
Combos,American Nut Combo [700 ml+700 ml],1,0,American nut combo.,296.61
Combos,Chocolate Chips Combo [700 ml+700 ml],1,0,[Calories: 134.4 kcal] Load your senses with the divine taste of chocolate & ... read more,254.24
Combos,Butterscotch Combo [700 ml+700 ml],1,0,[Veg preparation],237.29
Combos,Rajbhog [Combo] 700+700ML [1+1],1,0,Newly Added Item,338.98
Combos,Cookie Cream[Combo] 700+700ML [1+1],1,0,[Calories: 134.4 kcal] Load your senses with the divine taste of Cookie & ... read more,254.24
Combos,Almond Carnival[Combo] 700+700ML [1+1],1,0,Almond Carnival with Havmor Ice Cream,296.61
Cakes,Black Forest Ice Cream Cake,1,0,"Rich and creamy, our black forest ice cream cake is a decadent dessert ... read more",508.47
Cakes,Chocolate Ice Cream Cake,1,0,We present to you this mouth-watering bite to fulfill your fantasy. Crafted to ... read more,254.24
Cakes,Italian Cassata Ice Cream Cake,1,0,We present to you this mouth-watering bite to fulfill your fantasy. Crafted to ... read more,254.24
Cakes,Golden Fantasy Ice Cream Cake,1,0,Rich vanilla ice cream sandwiched between the layers of freshly baked vanilla cake ... read more,508.47
Cakes,Red Velvet Ice Cream Cake 450 ML,1,0,Indulge in a creamy delight with Havmor’s Red Velvet Heartbeat Cake. The perfect ... read more,254.23
